timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
1777227221569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03887303,0.0073461933,6.559026e-11,0.015322891,0.022026828,-9.78606,0.0048576063,0.0022796658,0.00046871635,0.000994537,0.0015935521,0.002470601,2.7715316e-05,1.8641736e-05,4.8496127e-05,0.0,0.0
1777227222569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.037933122,0.0072698602,4.3704235e-11,0.0069910693,0.025282942,-9.811343,-0.0012996227,0.0019600866,-0.0011291802,0.0006405354,0.001536746,0.0015670359,1.7047358e-05,4.663791e-05,2.5894926e-05,0.0,0.0
1777227223569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039850798,0.007107131,5.03417e-11,0.015514427,0.025282942,-9.809427,0.001533981,0.0012357067,-0.002279666,0.0006535283,0.0024682288,0.0023390818,3.6155303e-05,5.9357e-05,2.2826269e-05,0.0,0.0
1777227224569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039767597,0.007243444,6.883251e-11,0.009959879,0.013311933,-9.78788,0.0015978967,-0.0030040457,0.0025566346,0.0014964296,0.0015725724,0.00056351133,2.907895e-05,3.1960368e-05,4.1088795e-05,0.0,0.0
1777227225569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04605156,0.008090571,2.157117e-10,-0.0141736735,0.00976853,-10.705625,-0.020069582,0.0021731395,-0.0016831178,0.0012949617,0.002123265,0.0023827385,8.682833e-05,0.0001084886,3.4319783e-05,0.0,0.0
1777227226569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.042281117,0.008728523,1.1339665e-10,0.023654712,0.010247366,-10.484784,0.0014913703,0.001107875,-0.0008309063,0.0010434136,0.0008911281,0.0011222031,6.5794084e-05,0.00019220289,3.584229e-05,0.0,0.0
1777227227569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039828256,0.008496121,1.223767e-10,-0.0089064315,0.0009578526,-9.871102,-2.1305517e-05,-0.0047510797,-0.000213053,0.0013210432,0.00075521757,0.002033934,0.00011318285,0.00017357347,2.9906401e-05,0.0,0.0
1777227228569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.043193698,0.008235927,8.187273e-11,0.009289502,0.024133723,-9.835476,-0.0011291804,-0.0019813918,-0.003621899,0.0010577441,0.0008483277,0.0022143156,9.246918e-05,2.4055622e-05,5.579376e-05,0.0,0.0
1777227229569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.041493136,0.008141197,1.2533155e-10,0.011492168,0.018291872,-9.804256,0.00057524274,0.0020879183,-0.0018961707,0.00079773145,0.0008635944,0.0014856107,9.976492e-05,0.000105840765,3.7568116e-05,0.0,0.0
1777227230569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.043933947,0.0075303046,9.5575825e-11,-0.010055647,-0.0086189555,-9.806555,0.0039201733,-0.00068176945,-0.0007882956,0.00059805973,0.0019761766,0.0031414977,4.590881e-05,9.5736425e-05,4.735661e-05,0.0,0.0
