timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1777227220821000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227221325000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227221829000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227222177000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227222189000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227222693000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227223197000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227223701000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227224205000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227224709000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227225217000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227225721000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227226225000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227226729000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227227233000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227227737000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227228241000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227228745000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227229249000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227229753000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227230261000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227230765000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227231269000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227231773000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227232277000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227232781000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227233033000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227233045000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227233549000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227234053000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227234557000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227235061000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227235565000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227236069000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777227236577000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
