timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
1777320737109000,1777320737029000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423152,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0053786933,0.0004619984,-0.005280316,0.07323278,-0.027095068,0.00023969088,0.0,0.0,0.0,0.0,0.0,0.0
1777320737117000,1777320737037000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423152,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0053786933,0.0004619984,-0.005280316,0.08220565,-0.004834209,0.00014060613,0.0,0.0,0.0,0.0,0.0,0.0
1777320737125000,1777320737045000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423152,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0063626766,-0.0015022065,-0.012764692,0.038313,0.0018554493,0.00013024581,0.0,0.0,0.0,0.0,0.0,0.0
1777320737133000,1777320737053000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423152,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0063626766,-0.0015022065,-0.012764692,-0.009965013,-0.03524021,6.0332124e-05,0.0,0.0,0.0,0.0,0.0,0.0
1777320737141000,1777320737061000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423152,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0063626766,-0.0015022065,-0.012764692,-0.015781276,-0.005722081,-7.445604e-05,0.0,0.0,0.0,0.0,0.0,0.0
1777320737149000,1777320737069000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423152,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0063626766,-0.0015022065,-0.012764692,0.023854548,-0.018891469,0.00018946978,0.0,0.0,0.0,0.0,0.0,0.0
1777320737157000,1777320737077000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09582267,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0063626766,-0.0015022065,-0.012764692,-0.007991811,-0.020082891,3.385014e-05,0.0,0.0,0.0,0.0,0.0,0.0
1777320737165000,1777320737085000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09582267,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0063626766,-0.0015022065,-0.012764692,0.032370374,0.043661337,-0.00019076339,0.0,0.0,0.0,0.0,0.0,0.0
1777320737173000,1777320737093000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09582267,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0063626766,-0.0015022065,-0.012764692,0.06838754,0.0034136113,0.00015418587,0.0,0.0,0.0,0.0,0.0,0.0
1777320737181000,1777320737101000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09582267,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0063626766,-0.0015022065,-0.012764692,0.08299433,-0.010563682,0.00020164863,0.0,0.0,0.0,0.0,0.0,0.0
