timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
1777316741498000,1777316741498000,6620172,487.98544,0.0,95599.375,1.1358788,0
1777316741594000,1777316741548000,6620172,488.06055,0.0,95598.47,1.135868,0
1777316741598000,1777316741598000,6620172,488.26715,0.0,95596.086,1.1358396,0
1777316741694000,1777316741648000,6620172,488.0981,0.0,95598.04,1.1358628,0
1777316741698000,1777316741698000,6620172,488.0089,0.0,95599.086,1.1358753,0
1777316741798000,1777316741798000,6620172,488.0934,0.0,95598.11,1.1358637,0
1777316741894000,1777316741848000,6620172,488.06995,0.0,95598.414,1.1358674,0
1777316741898000,1777316741898000,6620172,487.7507,0.0,95602.03,1.1359103,0
1777316741994000,1777316741948000,6620172,488.04648,0.0,95598.65,1.1358701,0
1777316741998000,1777316741998000,6620172,488.04178,0.0,95598.73,1.135871,0
1777316742094000,1777316742048000,6620172,488.07465,0.0,95598.35,1.1358665,0
1777316742098000,1777316742098000,6620172,488.03708,0.0,95598.74,1.1358712,0
1777316742194000,1777316742148000,6620172,488.07935,0.0,95598.28,1.1358657,0
1777316742198000,1777316742198000,6620172,488.02768,0.0,95598.91,1.1358731,0
1777316742294000,1777316742248000,6620172,488.1028,0.0,95598.01,1.1358625,0
1777316742298000,1777316742298000,6620172,488.0887,0.0,95598.195,1.1358647,0
1777316742394000,1777316742348000,6620172,488.0887,0.0,95598.18,1.1358645,0
1777316742398000,1777316742398000,6620172,487.8399,0.0,95601.02,1.1358984,0
1777316742494000,1777316742448000,6620172,488.1028,0.0,95598.02,1.1358626,0
1777316742498000,1777316742498000,6620172,488.04648,0.0,95598.664,1.1358702,0
1777316742594000,1777316742548000,6620172,488.06055,0.0,95598.51,1.1358684,0
1777316742598000,1777316742598000,6620172,488.0183,0.0,95598.96,1.1358738,0
1777316742694000,1777316742648000,6620172,488.07935,0.0,95598.27,1.1358657,0
1777316742698000,1777316742698000,6620172,488.0981,0.0,95598.055,1.1358631,0
1777316742794000,1777316742748000,6620172,488.05118,0.0,95598.6,1.1358695,0
1777316742798000,1777316742798000,6620172,488.13568,0.0,95597.62,1.1358578,0
1777316742894000,1777316742848000,6620172,488.06995,0.0,95598.38,1.1358669,0
1777316742898000,1777316742898000,6620172,487.98544,0.0,95599.37,1.1358787,0
1777316742994000,1777316742948000,6620172,488.06055,0.0,95598.48,1.1358681,0
1777316742998000,1777316742998000,6620172,488.28592,0.0,95595.94,1.1358378,0
1777316743094000,1777316743048000,6620172,488.06525,0.0,95598.44,1.1358676,0
1777316743098000,1777316743098000,6620172,488.06055,0.0,95598.51,1.1358684,0
1777316743194000,1777316743148000,6620172,488.05118,0.0,95598.586,1.1358694,0
1777316743198000,1777316743198000,6620172,488.15445,0.0,95597.414,1.1358554,0
1777316743294000,1777316743248000,6620172,488.06055,0.0,95598.5,1.1358683,0
1777316743298000,1777316743298000,6620172,488.0887,0.0,95598.19,1.1358646,0
1777316743394000,1777316743348000,6620172,488.0981,0.0,95598.03,1.1358627,0
1777316743398000,1777316743398000,6620172,488.08405,0.0,95598.24,1.1358652,0
1777316743494000,1777316743448000,6620172,488.07465,0.0,95598.31,1.135866,0
1777316743498000,1777316743498000,6620172,488.04178,0.0,95598.72,1.1358709,0
1777316743594000,1777316743548000,6620172,488.07935,0.0,95598.27,1.1358657,0
1777316743598000,1777316743598000,6620172,488.1122,0.0,95597.92,1.1358615,0
1777316743698000,1777316743698000,6620172,488.0887,0.0,95598.2,1.1358649,0
1777316743794000,1777316743748000,6620172,488.06055,0.0,95598.49,1.1358682,0
1777316743798000,1777316743798000,6620172,488.22018,0.0,95596.64,1.1358463,0
1777316743894000,1777316743848000,6620172,488.1122,0.0,95597.93,1.1358615,0
1777316743898000,1777316743898000,6620172,488.0934,0.0,95598.11,1.1358637,0
1777316743994000,1777316743948000,6620172,488.07935,0.0,95598.26,1.1358654,0
