timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1777320736989000,32767,32767,32767,32767,32767,32767
1777320736993000,32767,32767,32767,32767,32767,32767
1777320736997000,32767,32767,32767,32767,32767,32767
1777320737001000,32767,32767,32767,32767,32767,32767
1777320737005000,32767,32767,32767,32767,32767,32767
1777320737009000,32767,32767,32767,32767,32767,32767
1777320737013000,32767,32767,32767,32767,32767,32767
1777320737017000,32767,32767,32767,32767,32767,32767
1777320737021000,32767,32767,32767,32767,32767,32767
1777320737025000,32767,32767,32767,32767,32767,32767
1777320737029000,32767,32767,32767,32767,32767,32767
1777320737033000,32767,32767,32767,32767,32767,32767
1777320737037000,32767,32767,32767,32767,32767,32767
1777320737041000,32767,32767,32767,32767,32767,32767
1777320737045000,32767,32767,32767,32767,0,32767
1777320737049000,32767,32767,32767,32767,0,32767
1777320737053000,32767,32767,32767,32767,32767,32767
1777320737057000,32767,32767,32767,32767,32767,32767
1777320737061000,32767,32767,32767,32767,32767,32767
1777320737065000,32767,32767,32767,32767,32767,32767
1777320737069000,32767,32767,32767,32767,32767,32767
1777320737073000,32767,32767,32767,32767,32767,32767
1777320737077000,32767,32767,32767,0,32767,32767
1777320737081000,32767,32767,32767,0,32767,32767
1777320737085000,32767,32767,32767,32767,32767,32767
1777320737089000,32767,32767,32767,32767,32767,32767
1777320737093000,32767,32767,32767,32767,32767,32767
1777320737097000,32767,32767,32767,32767,32767,32767
1777320737101000,32767,32767,32767,32767,32767,32767
1777320737105000,32767,32767,32767,32767,32767,32767
1777320737109000,32767,32767,32767,32767,32767,32767
1777320737113000,32767,32767,32767,32767,32767,32767
1777320737117000,32767,32767,32767,32767,32767,32767
1777320737121000,32767,32767,32767,32767,32767,32767
1777320737125000,32767,32767,32767,32767,32767,32767
1777320737129000,32767,32767,32767,32767,32767,32767
1777320737133000,32767,32767,32767,32767,32767,32767
1777320737137000,32767,32767,32767,32767,32767,32767
1777320737141000,32767,32767,32767,32767,32767,32767
1777320737145000,32767,32767,32767,32767,32767,32767
1777320737149000,32767,32767,32767,32767,32767,32767
1777320737153000,32767,32767,32767,32767,32767,32767
1777320737157000,32767,32767,32767,32767,32767,32767
1777320737161000,32767,32767,32767,32767,32767,32767
1777320737165000,32767,32767,32767,32767,32767,32767
1777320737169000,32767,32767,32767,32767,32767,32767
1777320737173000,32767,32767,32767,32767,32767,32767
1777320737177000,32767,32767,32767,0,32767,32767
