timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1777227222445000,0,0,0,1,255
1777227224461000,0,0,0,1,255
1777227226477000,0,0,0,1,255
1777227228493000,0,0,0,1,255
1777227230517000,0,0,0,1,255
1777227232533000,0,0,0,1,255
1777227234557000,0,0,0,1,255
1777227236565000,0,0,0,1,255
1777227238589000,0,0,0,1,255
1777227240605000,0,0,0,1,255
1777227242613000,0,0,0,1,255
1777227244629000,0,0,0,1,255
1777227246645000,0,0,0,1,255
1777227248661000,0,0,0,1,255
1777227250677000,0,0,0,1,255
1777227252693000,0,0,0,1,255
1777227254709000,0,0,0,1,255
1777227256725000,0,0,0,1,255
1777227258749000,0,0,0,1,255
1777227260765000,0,0,0,1,255
1777227262781000,0,0,0,1,255
1777227264797000,0,0,0,1,255
1777227266813000,0,0,0,1,255
1777227268829000,0,0,0,1,255
1777227270837000,0,0,0,1,255
1777227272853000,0,0,0,1,255
1777227274869000,0,0,0,1,255
1777227276885000,0,0,0,1,255
1777227278901000,0,0,0,1,255
1777227280925000,0,0,0,1,255
1777227282941000,0,0,0,1,255
1777227283465000,0,0,0,1,255
