timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
1777320736981000,1777320736981000,6620172,488.0887,0.0,95598.17,1.1358644,0
1777320737077000,1777320737031000,6620172,488.07935,0.0,95598.26,1.1358654,0
1777320737081000,1777320737081000,6620172,488.12158,0.0,95597.78,1.1358598,0
1777320737177000,1777320737131000,6620172,488.07935,0.0,95598.27,1.1358657,0
1777320737181000,1777320737181000,6620172,488.21548,0.0,95596.71,1.1358471,0
1777320737277000,1777320737231000,6620172,488.07465,0.0,95598.32,1.1358662,0
1777320737281000,1777320737281000,6620172,487.9103,0.0,95600.23,1.1358888,0
1777320737381000,1777320737381000,6620172,488.25775,0.0,95596.25,1.1358416,0
1777320737477000,1777320737431000,6620172,488.1028,0.0,95598.0,1.1358624,0
1777320737481000,1777320737481000,6620172,488.19202,0.0,95597.0,1.1358505,0
1777320737577000,1777320737531000,6620172,488.06055,0.0,95598.51,1.1358684,0
1777320737581000,1777320737581000,6620172,488.0981,0.0,95598.07,1.1358632,0
1777320737677000,1777320737631000,6620172,488.07935,0.0,95598.28,1.1358657,0
1777320737681000,1777320737681000,6620172,487.90094,0.0,95600.33,1.13589,0
1777320737777000,1777320737731000,6620172,488.05588,0.0,95598.54,1.1358688,0
1777320737781000,1777320737781000,6620172,487.86337,0.0,95600.77,1.1358953,0
1777320737877000,1777320737831000,6620172,488.02768,0.0,95598.875,1.1358728,0
1777320737881000,1777320737881000,6620172,488.06055,0.0,95598.5,1.1358683,0
1777320737977000,1777320737931000,6620172,488.06995,0.0,95598.38,1.1358669,0
1777320737981000,1777320737981000,6620172,487.9103,0.0,95600.19,1.1358883,0
1777320738077000,1777320738031000,6620172,488.07935,0.0,95598.29,1.1358658,0
1777320738081000,1777320738081000,6620172,488.21548,0.0,95596.734,1.1358473,0
1777320738177000,1777320738131000,6620172,488.0887,0.0,95598.19,1.1358646,0
1777320738181000,1777320738181000,6620172,488.0887,0.0,95598.2,1.1358649,0
1777320738277000,1777320738231000,6620172,488.0981,0.0,95598.04,1.1358628,0
1777320738281000,1777320738281000,6620172,488.22488,0.0,95596.62,1.135846,0
1777320738377000,1777320738331000,6620172,488.06055,0.0,95598.47,1.135868,0
1777320738381000,1777320738381000,6620172,488.06525,0.0,95598.44,1.1358676,0
1777320738477000,1777320738431000,6620172,488.06995,0.0,95598.41,1.1358672,0
1777320738481000,1777320738481000,6620172,488.21548,0.0,95596.734,1.1358473,0
1777320738577000,1777320738531000,6620172,488.05118,0.0,95598.625,1.1358697,0
1777320738581000,1777320738581000,6620172,488.0089,0.0,95599.08,1.1358752,0
1777320738677000,1777320738631000,6620172,488.07465,0.0,95598.305,1.1358659,0
1777320738681000,1777320738681000,6620172,488.0887,0.0,95598.2,1.1358649,0
1777320738777000,1777320738731000,6620172,488.07935,0.0,95598.25,1.1358653,0
1777320738781000,1777320738781000,6620172,488.0934,0.0,95598.13,1.135864,0
1777320738877000,1777320738831000,6620172,488.04648,0.0,95598.68,1.1358705,0
1777320738881000,1777320738881000,6620172,488.14975,0.0,95597.45,1.1358558,0
1777320738977000,1777320738931000,6620172,488.07935,0.0,95598.29,1.1358658,0
1777320738981000,1777320738981000,6620172,488.05118,0.0,95598.61,1.1358696,0
1777320739081000,1777320739081000,6620172,488.14508,0.0,95597.49,1.1358564,0
1777320739177000,1777320739131000,6620172,488.07935,0.0,95598.28,1.1358657,0
1777320739181000,1777320739181000,6620172,487.87277,0.0,95600.66,1.135894,0
1777320739277000,1777320739231000,6620172,488.0887,0.0,95598.18,1.1358645,0
1777320739281000,1777320739281000,6620172,488.0183,0.0,95598.97,1.1358739,0
