timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1777320737141000,1777320737061000,13421772800,0.00020490639,0.00042287866,0.0011454743,0,0.7812347,7.1040225,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737149000,1777320737069000,13421772800,0.00019574045,0.00041151393,0.0011069882,0,0.81133413,7.106921,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737157000,1777320737077000,13421772800,0.00018283477,0.00040213668,0.0010697381,0,0.84537584,7.1099367,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737165000,1777320737085000,13421772800,0.0001701017,0.00039281076,0.0010336869,0,0.88288516,7.1130676,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737173000,1777320737093000,13421772800,0.00015759064,0.00038546804,0.0009984839,0,0.92342186,7.116315,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737181000,1777320737101000,13421772800,0.00014535,0.00037962518,0.00096468284,0,0.9665888,7.1196766,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737189000,1777320737109000,13421772800,0.0001334194,0.00037382627,0.0009319138,0,1.0120338,7.1231527,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737197000,1777320737117000,13421772800,0.00012183496,0.00036848034,0.0009003137,0,1.0594494,7.126743,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737205000,1777320737125000,13421772800,0.00011062464,0.00036340102,0.0008697767,0,1.108569,7.1304455,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777320737213000,1777320737133000,13421772800,9.9810626e-05,0.0003587904,0.0008401063,0,1.1591634,7.13426,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
