timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1777227220949000,1777227220797000,17764060236391,0.00010744474,0.00081366365,0.0017863708,0,0.12109158,0.1136405,0.0155435465,0.00989175,0.0043016355,0.0038438442,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.300808,63.1572,0.47513488,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227220957000,1777227220805000,17764060236391,0.00010461839,0.0007579889,0.001761882,0,0.1215017,0.11389396,0.0155435465,0.00989175,0.0043016355,0.0038438442,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.300808,63.1572,0.47513488,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227220973000,1777227220821000,17764060236391,0.00012352358,0.0011964215,0.0021614456,0,0.11968303,0.112819724,0.0155435465,0.009905177,0.0048103854,0.004059596,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.300808,63.1572,0.47513488,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227220981000,1777227220829000,17764060236391,0.00012043518,0.0010938378,0.0020460489,0,0.120083615,0.11307037,0.0155435465,0.009905177,0.0048103854,0.004059596,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.300808,63.1572,0.47513488,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227220989000,1777227220837000,17764060236391,0.000117462805,0.00099751,0.0019474906,0,0.120486945,0.11326301,0.0155435465,0.009905177,0.0048103854,0.0040207775,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.300808,63.1572,0.47513488,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227220997000,1777227220845000,17764060236391,0.00011379484,0.0009032406,0.0018630329,0,0.12089073,0.11351521,0.014542463,0.009905177,0.0048103854,0.0040207775,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.419212,63.1572,0.47991452,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221013000,1777227220861000,17764060236391,0.00010817985,0.00076356943,0.0017529597,0,0.12171102,0.11402216,0.014542463,0.009905177,0.0048103854,0.0040207775,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.419212,63.1572,0.47991452,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221021000,1777227220869000,17764060236391,0.00010550051,0.00071333774,0.0017234541,0,0.12212531,0.114276886,0.014542463,0.009905177,0.0048103854,0.0040207775,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.419212,63.1572,0.47991452,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221029000,1777227220877000,17764060236391,0.00012237695,0.0010028067,0.0018083152,0,0.11987884,0.11294318,0.014542463,0.009833855,0.004625619,0.004115126,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.419212,63.1572,0.47991452,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221037000,1777227220885000,17764060236391,0.00011968008,0.00091399235,0.0017056031,0,0.12028038,0.113135576,0.014542463,0.009833855,0.004625619,0.004118385,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.419212,63.1572,0.47991452,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221053000,1777227220901000,17764060236391,0.00011385901,0.0007471229,0.0015423049,0,0.121092394,0.113639966,0.014542463,0.009833855,0.004625619,0.004118385,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.419212,63.1572,0.47991452,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221061000,1777227220909000,17764060236391,0.0001698308,0.0007653451,0.0015655718,0,0.12150017,0.11389342,0.016245918,0.009833855,0.004625619,0.004118385,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.229965,63.1572,0.4850764,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221069000,1777227220917000,17764060236391,0.00016819633,0.0007046879,0.001525956,0,0.121913016,0.11414772,0.016245918,0.009833855,0.004625619,0.004118385,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.229965,63.1572,0.4850764,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221077000,1777227220925000,17764060236391,0.00017640449,0.0010135125,0.0016800856,0,0.119681634,0.1128192,0.016245918,0.009758034,0.004450794,0.004275199,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.229965,63.1572,0.4850764,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221093000,1777227220941000,17764060236391,0.00017051582,0.0008138688,0.0014405668,0,0.1204855,0.113262475,0.016245918,0.009758034,0.004450794,0.004197711,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.229965,63.1572,0.4850764,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221101000,1777227220949000,17764060236391,0.00016771053,0.0007289556,0.0013497323,0,0.12089155,0.11351468,0.016245918,0.009758034,0.004450794,0.004197711,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.229965,63.1572,0.4850764,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221109000,1777227220957000,17764060236391,0.00016496994,0.00065696734,0.00128086,0,0.12130035,0.11376772,0.016245918,0.009758034,0.004450794,0.004197711,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.229965,63.1572,0.4850764,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221117000,1777227220965000,17764060236391,0.00016229152,0.0005985778,0.0012365882,0,0.121711895,0.11402161,0.016245918,0.009758034,0.004450794,0.004197711,nan,nan,nan,0.0,1310988,1310988,6620172,197388,64.229965,63.1572,0.4850764,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221133000,1777227220981000,17764060236391,0.00016537467,0.00082623144,0.0013280151,0,0.11987749,0.11294265,0.01524213,0.009618018,0.004288108,0.004199384,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.378174,63.1572,0.48207444,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221141000,1777227220989000,17764060236391,0.00016244617,0.00073433854,0.0012143647,0,0.12027936,0.11313505,0.01524213,0.009618018,0.004288108,0.0042584753,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.378174,63.1572,0.48207444,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221149000,1777227220997000,17764060236391,0.00015951329,0.00065701007,0.0011269108,0,0.12068397,0.11338681,0.01524213,0.009618018,0.004288108,0.0042584753,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.378174,63.1572,0.48207444,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221157000,1777227221005000,17764060236391,0.00015684999,0.0005919771,0.0010651945,0,0.12109132,0.11363942,0.01524213,0.009618018,0.004288108,0.0042584753,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.378174,63.1572,0.48207444,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
1777227221173000,1777227221021000,17764060236391,0.00015175721,0.00051120337,0.0010281174,0,0.121914305,0.11414717,0.01524213,0.009618018,0.004288108,0.0042584753,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.378174,63.1572,0.48207444,0.48238713,0,959,2,1,3,2,2,0,0,0,0,0,0,0,0
