timestamp,speed_up,speed_down,want_takeoff
1777320738005000,3.0,1.5,0
1777320738965000,3.0,1.5,0
1777320739965000,3.0,1.5,0
1777320740965000,3.0,1.5,0
1777320741965000,3.0,1.5,0
1777320742965000,3.0,1.5,0
1777320743965000,3.0,1.5,0
1777320744965000,3.0,1.5,0
1777320745965000,3.0,1.5,0
1777320746965000,3.0,1.5,0
1777320747965000,3.0,1.5,0
1777320748965000,3.0,1.5,0
1777320749965000,3.0,1.5,0
1777320750965000,3.0,1.5,0
1777320751965000,3.6000001,1.8000001,0
1777320752965000,3.6000001,1.8000001,0
1777320753965000,3.6000001,1.8000001,0
1777320754965000,3.6000001,1.8000001,0
1777320755965000,3.6000001,1.8000001,0
1777320756965000,3.6000001,1.8000001,0
1777320757965000,3.6000001,1.8000001,1
1777320758965000,3.6000001,1.8000001,1
1777320759965000,3.6000001,1.8000001,1
1777320760965000,3.6000001,1.8000001,1
1777320761965000,3.6000001,1.8000001,1
1777320762965000,3.6000001,1.8000001,1
1777320763965000,3.6000001,1.8000001,1
1777320764965000,3.6000001,1.8000001,1
1777320765965000,3.6000001,1.8000001,1
1777320766965000,3.6000001,1.8000001,1
1777320767965000,3.6000001,1.8000001,1
1777320768965000,3.6000001,1.8000001,0
1777320769965000,3.6000001,1.8000001,0
1777320770965000,3.6000001,1.8000001,0
1777320771965000,3.6000001,1.8000001,0
1777320772965000,3.6000001,1.8000001,0
1777320773965000,3.6000001,1.8000001,0
1777320774965000,3.6000001,1.8000001,0
1777320775965000,3.6000001,1.8000001,0
1777320776965000,3.6000001,1.8000001,0
1777320777965000,3.6000001,1.8000001,0
1777320778965000,3.6000001,1.8000001,0
1777320779965000,3.6000001,1.8000001,0
1777320780965000,3.6000001,1.8000001,0
1777320781965000,3.6000001,1.8000001,0
1777320782965000,3.6000001,1.8000001,0
1777320783965000,3.6000001,1.8000001,0
1777320784965000,3.6000001,1.8000001,0
1777320785965000,3.6000001,1.8000001,0
1777320786965000,3.6000001,1.8000001,0
1777320787965000,3.6000001,1.8000001,0
1777320788965000,3.6000001,1.8000001,0
1777320789965000,3.6000001,1.8000001,0
1777320790965000,3.6000001,1.8000001,0
1777320791965000,3.6000001,1.8000001,0
1777320792965000,3.6000001,1.8000001,0
1777320793965000,3.6000001,1.8000001,0
1777320794965000,3.6000001,1.8000001,0
1777320795965000,3.6000001,1.8000001,0
1777320796965000,3.6000001,1.8000001,0
1777320797965000,3.6000001,1.8000001,0
1777320798965000,3.6000001,1.8000001,0
1777320799965000,3.6000001,1.8000001,0
1777320800965000,3.6000001,1.8000001,0
1777320801965000,3.6000001,1.8000001,0
1777320802965000,3.6000001,1.8000001,0
1777320803965000,3.6000001,1.8000001,0
1777320804965000,3.6000001,1.8000001,0
1777320805965000,3.6000001,1.8000001,0
1777320806965000,3.6000001,1.8000001,0
1777320807965000,3.6000001,1.8000001,0
