timestamp,geofence_violation_reason,primary_geofence_breached,primary_geofence_action,home_required
1777320751517000,0,0,2,0
1777320751765000,0,0,2,0
1777320752013000,0,0,2,0
1777320752221000,0,0,2,0
1777320752441000,0,0,2,0
1777320752689000,0,0,2,0
1777320752893000,0,0,2,0
1777320753141000,0,0,2,0
1777320753349000,0,0,2,0
1777320753597000,0,0,2,0
1777320753849000,0,0,2,0
1777320754101000,0,0,2,0
1777320754309000,0,0,2,0
1777320754557000,0,0,2,0
1777320754805000,0,0,2,0
1777320755053000,0,0,2,0
1777320755261000,0,0,2,0
1777320755517000,0,0,2,0
1777320755765000,0,0,2,0
1777320756017000,0,0,2,0
1777320756261000,0,0,2,0
1777320756469000,0,0,2,0
1777320756725000,0,0,2,0
1777320756973000,0,0,2,0
1777320757233000,0,0,2,0
1777320757477000,0,0,2,0
1777320757733000,0,0,2,0
1777320757981000,0,0,2,0
1777320758237000,0,0,2,0
1777320758485000,0,0,2,0
1777320758741000,0,0,2,0
1777320758989000,0,0,2,0
1777320759245000,0,0,2,0
1777320759493000,0,0,2,0
1777320759749000,0,0,2,0
1777320759997000,0,0,2,0
1777320760253000,0,0,2,0
1777320760501000,0,0,2,0
1777320760757000,0,0,2,0
1777320761005000,0,0,2,0
1777320761261000,0,0,2,0
1777320761509000,0,0,2,0
1777320761765000,0,0,2,0
1777320762013000,0,0,2,0
1777320762269000,0,0,2,0
1777320762517000,0,0,2,0
1777320762773000,0,0,2,0
1777320763021000,0,0,2,0
1777320763277000,0,0,2,0
1777320763525000,0,0,2,0
1777320763781000,0,0,2,0
1777320764029000,0,0,2,0
1777320764285000,0,0,2,0
1777320764533000,0,0,2,0
1777320764789000,0,0,2,0
1777320765037000,0,0,2,0
1777320765293000,0,0,2,0
1777320765541000,0,0,2,0
1777320765797000,0,0,2,0
1777320766045000,0,0,2,0
1777320766301000,0,0,2,0
1777320766549000,0,0,2,0
1777320766805000,0,0,2,0
1777320767053000,0,0,2,0
1777320767309000,0,0,2,0
1777320767557000,0,0,2,0
1777320767813000,0,0,2,0
1777320768061000,0,0,2,0
1777320768317000,0,0,2,0
1777320768533000,0,0,2,0
1777320768781000,0,0,2,0
1777320769037000,0,0,2,0
1777320769285000,0,0,2,0
1777320769541000,0,0,2,0
1777320769789000,0,0,2,0
1777320770045000,0,0,2,0
1777320770293000,0,0,2,0
1777320770525000,0,0,2,0
1777320770773000,0,0,2,0
1777320770981000,0,0,2,0
1777320771229000,0,0,2,0
1777320771485000,0,0,2,0
1777320771733000,0,0,2,0
1777320771989000,0,0,2,0
1777320772237000,0,0,2,0
1777320772493000,2,1,2,0
1777320772701000,2,1,2,0
1777320772957000,2,1,2,0
1777320773205000,2,1,2,0
1777320773461000,2,1,2,0
1777320773709000,2,1,2,0
1777320773965000,2,1,2,0
1777320774213000,2,1,2,0
1777320774469000,2,1,2,0
1777320774717000,2,1,2,0
1777320774973000,2,1,2,0
1777320775225000,2,1,2,0
1777320775477000,2,1,2,0
1777320775725000,2,1,2,0
1777320775981000,2,1,2,0
1777320776229000,2,1,2,0
1777320776485000,2,1,2,0
1777320776733000,2,1,2,0
1777320776989000,2,1,2,0
1777320777237000,2,1,2,0
1777320777493000,2,1,2,0
1777320777701000,2,1,2,0
1777320777949000,2,0,2,0
1777320778157000,2,0,2,0
1777320778405000,2,0,2,0
1777320778661000,2,0,2,0
1777320778909000,2,0,2,0
1777320779117000,2,0,2,0
1777320779365000,2,0,2,0
1777320779613000,2,1,2,0
1777320779829000,2,1,2,0
1777320780077000,2,1,2,0
1777320780285000,2,1,2,0
1777320780533000,2,1,2,0
1777320780789000,2,1,2,0
1777320781037000,2,1,2,0
1777320781293000,2,1,2,0
1777320781541000,2,1,2,0
1777320781797000,2,0,2,0
1777320782045000,2,0,2,0
1777320782293000,2,0,2,0
1777320782541000,2,0,2,0
1777320782797000,2,0,2,0
1777320783005000,2,1,2,0
1777320783237000,2,1,2,0
1777320783485000,2,1,2,0
1777320783741000,2,1,2,0
1777320783989000,2,1,2,0
1777320784245000,2,1,2,0
1777320784493000,2,1,2,0
1777320784749000,2,1,2,0
1777320784997000,2,1,2,0
1777320785253000,2,1,2,0
1777320785501000,2,1,2,0
1777320785757000,2,1,2,0
1777320786005000,2,0,2,0
1777320786261000,2,0,2,0
1777320786509000,2,0,2,0
1777320786765000,2,0,2,0
1777320787013000,2,0,2,0
1777320787269000,2,1,2,0
1777320787493000,2,1,2,0
1777320787753000,2,1,2,0
1777320787997000,2,1,2,0
1777320788245000,2,1,2,0
1777320788453000,2,1,2,0
1777320788701000,2,1,2,0
1777320788957000,2,1,2,0
1777320789205000,2,1,2,0
1777320789413000,2,1,2,0
1777320789661000,2,1,2,0
1777320789909000,2,1,2,0
1777320790165000,2,1,2,0
1777320790373000,2,0,2,0
1777320790581000,2,0,2,0
1777320790829000,2,0,2,0
1777320791085000,2,0,2,0
1777320791333000,2,0,2,0
1777320791589000,2,1,2,0
1777320791813000,2,1,2,0
1777320792069000,2,1,2,0
1777320792317000,2,1,2,0
1777320792565000,2,1,2,0
1777320792773000,2,1,2,0
1777320793021000,2,1,2,0
1777320793277000,2,1,2,0
1777320793525000,2,1,2,0
1777320793733000,2,1,2,0
1777320793981000,2,1,2,0
1777320794229000,2,1,2,0
1777320794485000,2,0,2,0
1777320794733000,2,0,2,0
1777320794981000,2,0,2,0
1777320795189000,2,0,2,0
1777320795437000,2,0,2,0
1777320795693000,2,1,2,0
1777320795917000,2,1,2,0
1777320796173000,2,1,2,0
1777320796421000,2,1,2,0
1777320796669000,2,1,2,0
1777320796877000,2,1,2,0
1777320797125000,2,1,2,0
1777320797381000,2,1,2,0
1777320797629000,2,1,2,0
1777320797837000,2,1,2,0
1777320798085000,2,1,2,0
1777320798333000,2,1,2,0
1777320798589000,2,0,2,0
1777320798837000,2,0,2,0
1777320799085000,2,0,2,0
1777320799293000,2,0,2,0
1777320799541000,2,0,2,0
1777320799797000,2,1,2,0
1777320800025000,2,1,2,0
1777320800277000,2,1,2,0
1777320800525000,2,1,2,0
1777320800773000,2,1,2,0
1777320800981000,2,1,2,0
1777320801229000,2,1,2,0
1777320801485000,2,1,2,0
1777320801733000,2,1,2,0
1777320801941000,2,1,2,0
1777320802189000,2,1,2,0
1777320802437000,2,1,2,0
1777320802693000,2,0,2,0
1777320802941000,2,0,2,0
1777320803189000,2,0,2,0
1777320803397000,2,0,2,0
1777320803645000,2,0,2,0
1777320803901000,2,1,2,0
1777320804125000,2,1,2,0
1777320804381000,2,1,2,0
1777320804629000,2,1,2,0
1777320804881000,2,1,2,0
1777320805085000,2,1,2,0
1777320805333000,2,1,2,0
1777320805589000,2,1,2,0
1777320805837000,2,1,2,0
1777320806045000,2,1,2,0
1777320806293000,2,1,2,0
1777320806541000,2,1,2,0
1777320806797000,2,0,2,0
1777320807045000,2,0,2,0
1777320807293000,2,0,2,0
1777320807501000,2,0,2,0
1777320807749000,2,0,2,0
1777320808009000,2,1,2,0
1777320808229000,2,1,2,0
1777320808485000,2,1,2,0
