timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
1777316741574000,1777316741494000,0.99980134,0.0015157426,0.0033001842,0.01959706,-0.001132885,-7.1953036e-05,-0.011118293,-3.4407258e-05,-3.2895218e-06,-0.00072307244,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,3.5687123e-08,0.0025903159,0.0025903238,0.001072222,25.020723,25.02073,10.000285,100.7813,100.7813,100.31247,1.0000003e-06,1.0000003e-06,9.904361e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741582000,1777316741502000,0.9998012,0.0014871964,0.0032942765,0.019607387,-0.0015148607,-0.00022039046,-0.011940695,-4.499824e-05,-4.458896e-06,-0.0008153084,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,3.6338985e-08,0.0026000696,0.0026000775,0.001033422,25.0231,25.023106,10.0003,100.86898,100.86898,100.34753,1.0000002e-06,1.0000003e-06,9.890632e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741590000,1777316741510000,0.9998013,0.0014562153,0.0033021884,0.019607626,-0.0017111868,1.5771308e-05,-0.012715347,-5.790243e-05,-5.2773726e-06,-0.00091393257,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,3.7407556e-08,0.002610323,0.0026103307,0.000997937,25.02561,25.025616,10.000316,100.96116,100.96116,100.38438,1.0000001e-06,1.0000003e-06,9.875723e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741598000,1777316741518000,0.9998012,0.0014817587,0.0033074778,0.019608738,-0.0020771478,7.166283e-05,-0.013182916,-7.305577e-05,-4.927636e-06,-0.0010175257,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,3.9060062e-08,0.002621076,0.0026210845,0.00096540904,25.028242,25.028248,10.000331,101.057816,101.057816,100.42302,1e-06,1.0000003e-06,9.859597e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741606000,1777316741526000,0.99980104,0.0015258623,0.0033173903,0.01961139,-0.0021884018,7.661327e-05,-0.013858266,-9.0117974e-05,-4.3345317e-06,-0.0011256904,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,4.1141377e-08,0.0026323288,0.0026323383,0.00093553134,25.031015,25.031021,10.000346,101.158936,101.158936,100.46345,9.999999e-07,1.0000003e-06,9.842215e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741614000,1777316741534000,0.99980026,0.00154973,0.0033321832,0.019645536,-0.00252887,-2.1797474e-05,-0.014522821,-0.000108987064,-4.1152684e-06,-0.0012392148,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,4.3375596e-08,0.0026440818,0.0026440916,0.0009080391,25.033922,25.033928,10.000361,101.264496,101.264496,100.505646,9.999998e-07,1.0000003e-06,9.823544e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741622000,1777316741542000,0.9998003,0.001525654,0.0033407656,0.019643623,-0.0026554537,-3.4119977e-05,-0.015547708,-0.00012972436,-4.338938e-06,-0.001359497,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,4.528042e-08,0.002656335,0.002656345,0.00088270224,25.03698,25.036985,10.000377,101.37447,101.37447,100.54961,9.999997e-07,1.0000003e-06,9.803551e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741630000,1777316741550000,0.99979997,0.0014912027,0.0033389858,0.019664628,-0.002923126,-0.00015957102,-0.015935086,-0.00015203867,-5.113702e-06,-0.0014854282,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,4.713684e-08,0.0026690888,0.002669098,0.0008593195,25.040148,25.040154,10.000392,101.488846,101.488846,100.59532,9.999995e-07,1.0000003e-06,9.782204e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741638000,1777316741558000,0.9997997,0.0014611962,0.0033266498,0.019678148,-0.0032688577,0.00010026629,-0.016598545,-0.00017680661,-5.350921e-06,-0.0016155627,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,4.9027143e-08,0.0026823427,0.0026823513,0.0008377146,25.043465,25.04347,10.000407,101.6076,101.6076,100.642784,9.999994e-07,1.0000003e-06,9.759474e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1777316741646000,1777316741566000,0.99979943,0.0014172985,0.00334387,0.019694418,-0.0033428306,4.3937616e-05,-0.017144985,-0.00020325337,-4.7741055e-06,-0.0017505368,0.0,0.0,0.0,0.0,0.0,0.0,0.21585341,0.0121765435,0.4346632,0.0,0.0,0.0,0.0,0.0,5.1535633e-08,0.0026960962,0.002696104,0.0008177329,25.046915,25.04692,10.0004225,101.730705,101.730705,100.691986,9.999993e-07,1.0000003e-06,9.735332e-07,4.0000004e-06,4.0000004e-06,4.0000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
