timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
1777320745709000,47.3977419,8.5455939,488.002,0.0,0.0,0.0,0.0,1,1,0,0
1777320745721000,47.3977419,8.545593799999999,488.006,0.0,0.0,0.0,0.0,1,1,0,0
1777320745733000,47.3977419,8.545593799999999,488.006,0.0,0.0,0.0,0.0,1,1,0,0
1777320745745000,47.3977419,8.545593799999999,488.006,0.0,0.0,0.0,0.0,1,1,0,0
1777320745757000,47.3977419,8.545593799999999,488.006,0.0,0.0,0.0,0.0,1,1,0,0
1777320745769000,47.3977419,8.545593799999999,488.006,0.0,0.0,0.0,0.0,1,1,0,0
1777320745781000,47.3977419,8.545594,488.01602,0.0,0.0,0.0,0.0,1,1,0,0
1777320745793000,47.3977419,8.545594,488.01602,0.0,0.0,0.0,0.0,1,1,0,0
1777320745805000,47.3977419,8.545594,488.01602,0.0,0.0,0.0,0.0,1,1,0,0
1777320745817000,47.3977419,8.545594,488.01602,0.0,0.0,0.0,0.0,1,1,0,0
1777320745829000,47.3977419,8.545594,488.00504,0.0,0.0,0.0,0.0,1,1,0,0
1777320745841000,47.3977419,8.545594,488.00504,0.0,0.0,0.0,0.0,1,1,0,0
1777320745853000,47.3977419,8.545594,488.00504,0.0,0.0,0.0,0.0,1,1,0,0
1777320745865000,47.3977419,8.545594,488.00504,0.0,0.0,0.0,0.0,1,1,0,0
1777320745877000,47.397742,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777320745889000,47.397742,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777320745901000,47.397742,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777320745913000,47.397742,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777320745925000,47.397742,8.545594,488.00003,0.0,0.0,0.0,0.0,1,1,0,0
1777320745937000,47.397742,8.545593799999999,487.98703,0.0,0.0,0.0,0.0,1,1,0,0
1777320745949000,47.397742,8.545593799999999,487.98703,0.0,0.0,0.0,0.0,1,1,0,0
1777320745961000,47.397742,8.545593799999999,487.98703,0.0,0.0,0.0,0.0,1,1,0,0
1777320745973000,47.397742,8.545593799999999,487.98703,0.0,0.0,0.0,0.0,1,1,0,0
1777320745985000,47.3977419,8.5455939,487.98303,0.0,0.0,0.0,0.0,1,1,0,0
1777320745997000,47.3977419,8.5455939,487.98303,0.0,0.0,0.0,0.0,1,1,0,0
1777320746009000,47.3977419,8.5455939,487.98303,0.0,0.0,0.0,0.0,1,1,0,0
1777320746021000,47.3977419,8.5455939,487.98303,0.0,0.0,0.0,0.0,1,1,0,0
1777320746033000,47.397742,8.545594,487.997,0.0,0.0,0.0,0.0,1,1,0,0
1777320746045000,47.397742,8.545594,487.997,0.0,0.0,0.0,0.0,1,1,0,0
1777320746057000,47.397742,8.545594,487.997,0.0,0.0,0.0,0.0,1,1,0,0
1777320746069000,47.397742,8.545594,487.997,0.0,0.0,0.0,0.0,1,1,0,0
1777320746081000,47.397742,8.545594,487.997,0.0,0.0,0.0,0.0,1,1,0,0
1777320746093000,47.397742,8.545594,487.99503,0.0,0.0,0.0,0.0,1,1,0,0
