timestamp,load,ram_usage
1777316742366000,0.16129032,0.13507578
1777316742866000,0.14516129,0.13560139
1777316743366000,0.13793103,0.13619901
1777316743866000,0.12962963,0.13632041
1777316744366000,0.13793103,0.13644318
1777316744866000,0.17910448,0.13658059
1777316745366000,0.14285715,0.136846
1777316745866000,0.14285715,0.1369777
1777316746366000,0.140625,0.13706778
1777316746866000,0.15789473,0.13709041
1777316747366000,0.15,0.13711374
1777316747866000,0.13333334,0.13711053
1777316748366000,0.13559322,0.13714413
1777316748866000,0.19117647,0.13726279
1777316749366000,0.13432837,0.13738808
1777316749866000,0.12903225,0.1375097
1777316750366000,0.15873016,0.13755794
1777316750866000,0.13846155,0.13760413
1777316751366000,0.11111111,0.13761076
1777316751866000,0.16923077,0.13782269
1777316752366000,0.13636364,0.13793997
1777316752866000,0.15,0.1379466
1777316753366000,0.109375,0.13794386
1777316753866000,0.16666667,0.13833572
1777316754366000,0.17307693,0.13833138
1777316754866000,0.13559322,0.13833961
1777316755366000,0.118644066,0.1383435
1777316755866000,0.14516129,0.1383387
1777316756366000,0.125,0.13836019
1777316756866000,0.14035088,0.13837162
1777316757366000,0.16393442,0.1383874
1777316757866000,0.13559322,0.13840774
1777316758366000,0.13846155,0.13840385
1777316758866000,0.121212125,0.13839403
1777316759366000,0.140625,0.13832681
1777316759866000,0.13333334,0.13840865
1777316760366000,0.14285715,0.13913384
1777316760866000,0.13559322,0.13915762
1777316761366000,0.140625,0.13915077
1777316761866000,0.15517241,0.13915534
1777316762366000,0.13333334,0.13915282
1777316762866000,0.11290322,0.13916998
1777316763366000,0.12903225,0.13917957
1777316763866000,0.14516129,0.13918552
1777316764366000,0.12903225,0.13918917
1777316764866000,0.121212125,0.13918437
1777316765366000,0.140625,0.13919146
1777316765866000,0.15517241,0.13941185
1777316766366000,0.14035088,0.139421
1777316766866000,0.104477614,0.13941231
1777316767366000,0.13793103,0.13940796
1777316767866000,0.12903225,0.13939607
1777316768366000,0.13846155,0.13941482
1777316768866000,0.13846155,0.1394258
1777316769366000,0.13846155,0.13942854
1777316769866000,0.14285715,0.13945323
1777316770366000,0.104477614,0.13946398
1777316770866000,0.15384616,0.13946603
1777316771366000,0.125,0.1394729
1777316771866000,0.13114753,0.13902181
1777316772366000,0.12698413,0.1390248
1777316772866000,0.125,0.13902
1777316773366000,0.11940298,0.13902526
1777316773866000,0.12307692,0.13901542
1777316774366000,0.125,0.1390081
1777316774866000,0.10769231,0.1390017
1777316775366000,0.13636364,0.13900833
1777316775866000,0.13636364,0.13901748
1777316776366000,0.125,0.13902342
1777316776866000,0.140625,0.13901336
1777316777366000,0.11940298,0.13902228
1777316777866000,0.14285715,0.13903165
1777316778366000,0.12698413,0.13903257
1777316778866000,0.13114753,0.13902913
1777316779366000,0.15,0.13903302
1777316779866000,0.121212125,0.13934258
1777316780366000,0.12698413,0.13935219
1777316780866000,0.12698413,0.13938944
