timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
1777316750174000,1777316750056000,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750222000,1777316750108000,0.00075268396,0.00060119625,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750278000,1777316750160000,0.001340555,0.00019828978,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750334000,1777316750212000,0.0018617982,4.157351e-06,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750382000,1777316750264000,0.0037236304,0.001497329,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750430000,1777316750316000,0.0037042676,0.0009890546,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750486000,1777316750368000,0.002459913,1.706509e-05,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750542000,1777316750420000,0.0014477603,0.00048351192,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750590000,1777316750472000,0.0029453174,0.0010821939,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750638000,1777316750524000,0.0029300016,0.0024742715,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750694000,1777316750576000,0.0014096829,0.0024614052,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750750000,1777316750628000,0.0014023525,0.0039500706,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750798000,1777316750680000,0.0021475523,0.0026294815,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750854000,1777316750732000,0.002136385,0.001016687,0.0,0,1,0,0,1,0,0,0,0,0,0
1777316750902000,1777316750784000,0.0028778678,0.0012097645,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316750958000,1777316750836000,0.004497993,0.001905378,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316751006000,1777316750888000,0.0052086357,0.0024936143,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316751062000,1777316750940000,0.0028138587,0.0016810871,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316751110000,1777316750992000,0.0020467024,0.0016723453,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316751166000,1777316751044000,0.0027885837,0.0017643571,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316751214000,1777316751096000,0.00051790744,0.002655451,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316751262000,1777316751148000,0.0005152143,0.0019397382,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316751318000,1777316751200000,0.001263861,0.00012911449,0.0,0,0,0,0,0,0,0,0,0,0,0
1777316751374000,1777316751252000,0.002009629,0.0013308356,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751422000,1777316751304000,0.003690918,0.0012232072,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751478000,1777316751356000,0.0027333894,0.0012168465,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751526000,1777316751408000,0.0012142017,0.0011098109,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751582000,1777316751460000,0.00045637263,0.0009056756,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751630000,1777316751512000,0.0016676841,9.8353834e-05,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751678000,1777316751564000,0.0011874054,0.0002992584,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751734000,1777316751616000,0.0022736455,0.0009965547,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751790000,1777316751668000,0.0019544961,0.0006923004,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751838000,1777316751720000,0.0022312,0.0004099324,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751894000,1777316751772000,0.002929956,0.000892248,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751942000,1777316751824000,0.0022290822,0.0027858014,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316751998000,1777316751876000,0.0033162306,0.0021731707,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752046000,1777316751928000,0.0011278405,0.0024609426,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752102000,1777316751980000,0.0021945182,0.0037481943,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752150000,1777316752032000,0.0011654866,0.002327947,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752206000,1777316752084000,0.001550639,0.00281633,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752254000,1777316752136000,0.00040690982,0.00060136756,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752302000,1777316752188000,0.0004047939,0.0013978009,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752358000,1777316752240000,0.0010890213,0.0012898243,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752406000,1777316752292000,0.0012645499,0.0022840938,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752462000,1777316752344000,0.0025758871,0.0014726559,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752510000,1777316752396000,0.00039415216,0.0012635821,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752566000,1777316752448000,0.004201454,0.0014584274,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752622000,1777316752500000,0.0046898606,0.00015079475,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752670000,1777316752552000,0.0046312846,0.00045118562,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752718000,1777316752604000,0.0034890596,0.00035377278,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752774000,1777316752656000,0.002757982,0.00015051714,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752830000,1777316752708000,0.0045751147,0.0007509307,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752878000,1777316752760000,0.002719991,0.0013451703,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752926000,1777316752812000,0.0020213178,0.0019393717,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316752982000,1777316752864000,0.0032631778,0.002329067,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753030000,1777316752916000,0.0038565842,0.0031165164,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753086000,1777316752968000,0.0026597027,0.0027005302,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753134000,1777316753020000,0.0017297405,0.0034860477,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753190000,1777316753072000,0.0025811158,0.0017680912,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753238000,1777316753124000,0.0012876729,0.0015605328,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753294000,1777316753176000,0.0002524892,0.0022512705,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753350000,1777316753228000,0.0009800878,0.0023402718,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753398000,1777316753280000,0.00097499136,0.0029262467,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753446000,1777316753332000,0.00025573408,0.0023128856,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753502000,1777316753384000,0.0020717229,0.003100419,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753558000,1777316753436000,0.00026057663,0.00088397926,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753606000,1777316753488000,0.0019427615,0.001678943,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753662000,1777316753540000,0.0026556589,0.0016702125,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753710000,1777316753592000,0.0022390846,0.00036147854,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753766000,1777316753644000,0.0019104898,0.0017603557,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753814000,1777316753696000,0.0024298062,0.0024500543,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753862000,1777316753748000,0.0018900159,0.0031392183,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753918000,1777316753800000,0.0012734061,0.0028207703,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316753974000,1777316753852000,0.0012667843,0.0017074693,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754022000,1777316753904000,0.0020129678,0.002296735,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754078000,1777316753956000,0.0020025002,0.002586916,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754126000,1777316754008000,0.0016537765,0.0016731955,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754174000,1777316754060000,0.0016451768,0.0022626393,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754230000,1777316754112000,0.00089810585,0.0025529976,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754278000,1777316754164000,0.002526062,0.0020392335,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754334000,1777316754216000,0.001220045,0.0020286294,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754382000,1777316754268000,0.0012137009,0.0031167134,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754438000,1777316754320000,0.0016130954,9.7735785e-05,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754486000,1777316754372000,0.0031009663,0.00090069725,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754542000,1777316754424000,0.0023352636,0.0011981376,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754590000,1777316754476000,0.0023231204,0.0017900518,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754646000,1777316754528000,0.0023110402,0.0018814515,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754702000,1777316754580000,0.0017644187,0.002573572,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754750000,1777316754632000,0.0002451938,0.0012601407,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754798000,1777316754684000,0.0007716208,0.0022515128,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754854000,1777316754736000,0.00024300822,0.0016416605,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754902000,1777316754788000,0.0011359038,0.0011326354,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316754958000,1777316754840000,0.001497736,0.0020270143,0.0,1,0,0,0,0,0,0,0,0,0,0
1777316755006000,1777316754892000,0.00075748883,0.0031151066,0.0,1,0,0,0,0,0,0,0,0,0,0
