timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1777320736989000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320736997000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737005000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737013000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737021000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737029000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737037000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737045000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737061000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737069000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737077000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737085000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737101000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737109000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737117000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737125000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737141000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737149000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737157000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737165000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737181000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737189000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777320737197000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
