timestamp,time_estimate,safe_time_estimate,valid
1777316742470000,0.0,0.0,0
1777316743478000,0.0,0.0,0
1777316744486000,0.0,0.0,0
1777316745494000,0.0,0.0,0
1777316746502000,0.0,0.0,0
1777316747510000,0.0,0.0,0
1777316748518000,0.0,0.0,0
1777316749526000,0.0,0.0,0
1777316750534000,0.0,0.0,0
1777316751542000,0.0,0.0,0
1777316752550000,0.0,0.0,0
1777316753558000,0.0,0.0,0
1777316754566000,0.0,0.0,0
1777316755574000,0.0,0.0,0
1777316756582000,0.017637715,100.0194,1
1777316757630000,0.026022812,100.028625,1
1777316758638000,0.03588497,100.039474,1
1777316759646000,0.03784865,100.04163,1
1777316760654000,0.0112563,100.01238,1
1777316761662000,0.014787108,100.016266,1
1777316762670000,0.025992619,100.028595,1
1777316763678000,0.016697146,100.018364,1
1777316764686000,0.019091513,100.021,1
1777316765694000,0.028944375,100.03184,1
1777316766702000,0.020228755,100.022255,1
1777316767718000,0.029190201,100.03211,1
1777316768726000,0.027100358,100.02981,1
1777316769734000,0.017182458,100.0189,1
1777316770742000,0.033603348,100.036964,1
1777316771766000,0.017198745,100.01892,1
1777316772774000,0.0015999163,100.00176,1
1777316773782000,0.022128182,100.02434,1
1777316774790000,0.044314265,100.048744,1
1777316775798000,0.7053241,100.775856,1
1777316776806000,2.38571,102.62428,1
1777316777814000,4.425991,104.86859,1
1777316778822000,6.577178,107.23489,1
1777316779830000,8.747351,109.622086,1
1777316780838000,10.935867,112.02946,1
1777316781846000,12.748539,114.02339,1
1777316782870000,13.620567,114.98262,1
1777316783902000,13.363667,114.700035,1
1777316784910000,13.352079,114.68729,1
1777316785918000,14.040972,115.44507,1
1777316786966000,36.545612,140.20018,1
1777316787974000,37.133385,140.84673,1
1777316788982000,36.961426,140.65756,1
1777316789990000,14.822447,116.30469,1
1777316790998000,13.834324,115.21776,1
1777316792046000,13.274093,114.6015,1
1777316793054000,13.732846,115.10613,1
1777316794066000,13.661217,115.027336,1
1777316795094000,13.208742,114.52962,1
1777316796102000,14.115566,115.52712,1
1777316797110000,14.6346855,116.09815,1
1777316798118000,14.359318,115.79525,1
1777316799126000,13.622048,114.98425,1
1777316800134000,13.42645,114.7691,1
1777316801174000,14.022186,115.42441,1
1777316802182000,13.839691,115.22366,1
1777316803222000,13.095715,114.40529,1
1777316804262000,13.917289,115.30902,1
1777316805270000,14.469856,115.91684,1
1777316806278000,14.256473,115.68212,1
1777316807326000,13.513069,114.86438,1
1777316808366000,13.458908,114.8048,1
1777316809374000,14.066537,115.47319,1
1777316810382000,13.921258,115.313385,1
1777316811430000,13.217074,114.53878,1
1777316812446000,13.7067,115.07737,1
1777316813486000,14.430144,115.87316,1
1777316814494000,14.3717375,115.808914,1
1777316815502000,13.757692,115.13346,1
1777316816550000,13.10469,114.41516,1
1777316817558000,13.867559,115.25432,1
1777316818566000,13.902643,115.29291,1
1777316819574000,13.325811,114.658394,1
1777316820614000,13.448441,114.79329,1
1777316821622000,14.225666,115.64823,1
1777316822630000,14.286556,115.71521,1
1777316823638000,13.729296,115.10223,1
1777316824662000,12.993694,114.29306,1
1777316825710000,13.74553,115.12009,1
