timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
1777320738013000,0.0,0.0,0.017192636,0.0,0.99996305,0.0,0.0,0.008596214,0.0,0.0,-0.001,0,0
1777320738021000,0.0,0.0,0.016993096,0.0,0.9999639,0.0,0.0,0.008496447,0.0,0.0,-0.001,0,0
1777320738061000,0.0,0.0,0.016423456,0.0,0.9999663,0.0,0.0,0.008211637,0.0,0.0,-0.001,0,0
1777320738109000,0.0,0.0,0.015497052,0.0,0.99997,0.0,0.0,0.007748449,0.0,0.0,-0.001,0,0
1777320738165000,0.0,0.0,0.014542823,0.0,0.99997354,0.0,0.0,0.0072713476,0.0,0.0,-0.001,0,0
1777320738213000,0.0,0.0,0.013671801,0.0,0.99997663,0.0,0.0,0.0068358476,0.0,0.0,-0.001,0,0
1777320738261000,0.0,0.0,0.013191652,0.0,0.99997824,0.0,0.0,0.006595779,0.0,0.0,-0.001,0,0
1777320738317000,0.0,0.0,0.012681549,0.0,0.9999799,0.0,0.0,0.0063407323,0.0,0.0,-0.001,0,0
1777320738365000,0.0,0.0,0.012447069,0.0,0.9999806,0.0,0.0,0.0062234956,0.0,0.0,-0.001,0,0
1777320738413000,0.0,0.0,0.0124251405,0.0,0.9999807,0.0,0.0,0.0062125307,0.0,0.0,-0.001,0,0
1777320738461000,0.0,0.0,0.012575719,0.0,0.9999803,0.0,0.0,0.006287819,0.0,0.0,-0.001,0,0
1777320738509000,0.0,0.0,0.012933971,0.0,0.9999791,0.0,0.0,0.006466941,0.0,0.0,-0.001,0,0
1777320738565000,0.0,0.0,0.013590227,0.0,0.99997693,0.0,0.0,0.0067950613,0.0,0.0,-0.001,0,0
1777320738613000,0.0,0.0,0.013699612,0.0,0.9999765,0.0,0.0,0.0068497523,0.0,0.0,-0.001,0,0
1777320738661000,0.0,0.0,0.0134219155,0.0,0.99997747,0.0,0.0,0.0067109074,0.0,0.0,-0.001,0,0
1777320738709000,0.0,0.0,0.013267795,0.0,0.999978,0.0,0.0,0.0066338493,0.0,0.0,-0.001,0,0
1777320738765000,0.0,0.0,0.012984208,0.0,0.9999789,0.0,0.0,0.0064920587,0.0,0.0,-0.001,0,0
1777320738813000,0.0,0.0,0.012052176,0.0,0.9999818,0.0,0.0,0.006026052,0.0,0.0,-0.001,0,0
1777320738861000,0.0,0.0,0.011169374,0.0,0.99998444,0.0,0.0,0.0055846586,0.0,0.0,-0.001,0,0
1777320738909000,0.0,0.0,0.010705885,0.0,0.9999857,0.0,0.0,0.0053529167,0.0,0.0,-0.001,0,0
1777320738965000,0.0,0.0,0.010540283,0.0,0.9999861,0.0,0.0,0.0052701174,0.0,0.0,-0.001,0,0
1777320739013000,0.0,0.0,0.010701207,0.0,0.9999857,0.0,0.0,0.0053505786,0.0,0.0,-0.001,0,0
1777320739061000,0.0,0.0,0.010876489,0.0,0.9999852,0.0,0.0,0.005438218,0.0,0.0,-0.001,0,0
1777320739117000,0.0,0.0,0.010930889,0.0,0.99998504,0.0,0.0,0.0054654176,0.0,0.0,-0.001,0,0
1777320739165000,0.0,0.0,0.010641302,0.0,0.9999858,0.0,0.0,0.005320626,0.0,0.0,-0.001,0,0
1777320739213000,0.0,0.0,0.0102531845,0.0,0.9999868,0.0,0.0,0.0051265704,0.0,0.0,-0.001,0,0
1777320739261000,0.0,0.0,0.009825001,0.0,0.99998796,0.0,0.0,0.0049124807,0.0,0.0,-0.001,0,0
1777320739317000,0.0,0.0,0.009527159,0.0,0.9999887,0.0,0.0,0.0047635618,0.0,0.0,-0.001,0,0
1777320739365000,0.0,0.0,0.009428966,0.0,0.99998885,0.0,0.0,0.0047144657,0.0,0.0,-0.001,0,0
1777320739413000,0.0,0.0,0.009443827,0.0,0.99998885,0.0,0.0,0.0047218963,0.0,0.0,-0.001,0,0
1777320739461000,0.0,0.0,0.009515398,0.0,0.9999887,0.0,0.0,0.0047576814,0.0,0.0,-0.001,0,0
1777320739517000,0.0,0.0,0.009744664,0.0,0.99998814,0.0,0.0,0.0048723132,0.0,0.0,-0.001,0,0
1777320739565000,0.0,0.0,0.009949363,0.0,0.9999876,0.0,0.0,0.004974661,0.0,0.0,-0.001,0,0
1777320739613000,0.0,0.0,0.009565165,0.0,0.99998856,0.0,0.0,0.0047825645,0.0,0.0,-0.001,0,0
