timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
1777316741542000,1777316741461123,0,0,0.21389823,0.009880006,0.43109837,0.0,0.0,0.0,-0.21389823,-0.009880006,-0.43109837,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316741614000,1777316741529132,0,0,0.21101955,0.009215554,0.43305436,0.0,0.0,0.0,0.0022712052,-0.0041217967,0.0030123293,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316741678000,1777316741597261,0,0,0.21486105,0.012155967,0.42954978,0.0,0.0,0.0,-0.0016698241,-0.0071263607,0.0065663457,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316741750000,1777316741665261,0,0,0.21165529,0.00067559216,0.42590597,0.0,0.0,0.0,0.0014126748,0.004543207,0.010268152,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316741814000,1777316741733377,0,0,0.21557897,0.010757806,0.4322174,0.0,0.0,0.0,-0.0025640726,-0.005437961,0.003981471,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316741886000,1777316741801377,0,0,0.21779247,0.0059918673,0.42633736,0.0,0.0,0.0,-0.004856184,-0.0006715623,0.009899884,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316741950000,1777316741869475,0,0,0.21640952,0.008764159,0.42966,0.0,0.0,0.0,-0.0035073608,-0.0035156384,0.0065947473,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742022000,1777316741937480,0,0,0.2141039,0.0045891227,0.4222268,0.0,0.0,0.0,-0.0012376755,0.00061296206,0.014046073,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742086000,1777316742005557,0,0,0.21548289,0.010059903,0.42919755,0.0,0.0,0.0,-0.0027604848,-0.004928882,0.007146269,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742158000,1777316742073557,0,0,0.20982024,0.016054451,0.43474853,0.0,0.0,0.0,0.0027814358,-0.010872469,0.001653552,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742222000,1777316742141627,0,0,0.21515504,0.010836415,0.42953032,0.0,0.0,0.0,-0.0027661026,-0.00570679,0.006975889,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742294000,1777316742209627,0,0,0.20887336,0.014090635,0.43442893,0.0,0.0,0.0,0.0035687387,-0.008984908,0.0020517707,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742430000,1777316742345686,0,0,0.21898381,0.015489166,0.42709106,0.0,0.0,0.0,-0.0064517856,-0.010345368,0.009345382,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742494000,1777316742413735,0,0,0.2148691,0.011135706,0.42865762,0.0,0.0,0.0,0.00080758333,-0.0021777144,0.0019288659,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742566000,1777316742481735,0,0,0.2136056,0.012328795,0.43001148,0.0,0.0,0.0,0.00045664608,-0.0028934777,0.0011410117,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742702000,1777316742617777,0,0,0.21598086,0.016139796,0.4297977,0.0,0.0,0.0,-0.001959771,-0.0063382275,0.0013670623,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742838000,1777316742753812,0,0,0.21388765,0.019901425,0.43482035,0.0,0.0,0.0,4.170835e-05,-0.009470271,-0.0036248267,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742902000,1777316742821842,0,0,0.21567233,0.009309979,0.43028715,0.0,0.0,0.0,-0.0018476695,0.0018068319,0.0009431541,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316742974000,1777316742889842,0,0,0.20544153,0.009208568,0.4271698,0.0,0.0,0.0,0.008347541,0.0018147742,0.004080564,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316743038000,1777316742957867,0,0,0.21328259,0.010815193,0.43075576,0.0,0.0,0.0,0.00045104325,0.0001406828,0.0005237758,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316743110000,1777316743025867,0,0,0.21672514,0.008026194,0.42911395,0.0,0.0,0.0,-0.0030543357,0.002955621,0.0021961033,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316743174000,1777316743093888,0,0,0.21534748,0.008799815,0.4300705,0.0,0.0,0.0,-0.001643315,0.002045651,0.0012264848,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316743246000,1777316743161888,0,0,0.21664159,0.01025857,0.42201358,0.0,0.0,0.0,-0.002730608,0.00054132193,0.0091819465,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316743310000,1777316743229905,0,0,0.21501613,0.011666501,0.42863083,0.0,0.0,0.0,-0.0011252314,-0.00066555664,0.0025696456,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316743382000,1777316743297906,0,0,0.21631078,0.009049352,0.42377084,0.0,0.0,0.0,-0.0022681206,0.0020027729,0.007352978,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
1777316743446000,1777316743365920,0,0,0.21538568,0.009608421,0.42968556,0.0,0.0,0.0,-0.0010925531,0.0013514413,0.00131616,0.0,0.0,0.0,inf,inf,inf,0,0,1,0
