timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
1777316751318000,1777316751200000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.0006024764,0.00051269896,0.0012217313,0.09106316,0.09106318,0.20773706,1.5944003e-07,1.154628e-07,2.8740703e-07,0,1,0,0
1777316751374000,1777316751252000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.00068850745,-0.00068165414,0.0012928247,0.091253504,0.09125351,0.20792453,2.0779149e-07,2.036754e-07,3.2153892e-07,0,1,0,0
1777316751422000,1777316751304000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0015607604,-0.0011795119,0.001072526,0.09142797,0.091427974,0.20808798,1.0657453e-06,6.0867507e-07,2.2112032e-07,0,1,0,0
1777316751478000,1777316751356000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0015064337,-0.0014319522,0.0013763532,0.09158849,0.0915885,0.20757826,9.911039e-07,8.955217e-07,3.6503786e-07,0,1,0,0
1777316751526000,1777316751408000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.00046982896,-0.0008718286,0.00059812516,0.09087611,0.09087612,0.2077348,9.7160516e-08,3.3455876e-07,6.888663e-08,0,1,0,0
1777316751582000,1777316751460000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0008953033,-0.0008307089,-0.00048337132,0.09102484,0.091024846,0.2079221,3.5224144e-07,3.0324784e-07,4.4949108e-08,0,1,0,0
1777316751630000,1777316751512000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0027734665,0.0009571961,-0.000556536,0.09116024,0.09116025,0.20809129,3.375207e-06,4.0202804e-07,5.953778e-08,0,1,0,0
1777316751678000,1777316751564000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0020692144,0.0015297801,0.00069643644,0.09126666,0.09126668,0.20755433,1.8765443e-06,1.0256655e-06,9.3474085e-08,0,1,0,0
1777316751734000,1777316751616000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0021584586,0.001082848,0.0019515902,0.0907703,0.090770304,0.20773238,2.0530697e-06,5.167151e-07,7.3338674e-07,0,1,0,0
1777316751790000,1777316751668000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.004001846,0.0017645822,0.002384171,0.090896375,0.0908964,0.20791982,7.0474853e-06,1.3702415e-06,1.0935505e-06,0,1,0,0
1777316751838000,1777316751720000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0046385946,0.0023703119,0.0017749593,0.09101085,0.091010876,0.20808317,9.4567e-06,2.4693218e-06,6.0561945e-07,0,1,0,0
1777316751894000,1777316751772000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0057520326,0.0026020226,0.0011309311,0.091124155,0.09112421,0.20757452,1.4523429e-05,2.971997e-06,2.464667e-07,0,1,0,0
1777316751942000,1777316751824000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.005597419,0.0028077404,0.0016377643,0.09070899,0.09070904,0.20773102,1.3816094e-05,3.4763484e-06,5.164894e-07,0,1,0,0
1777316751998000,1777316751876000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0066093616,0.0029447316,0.0020633712,0.09082221,0.09082228,0.20791863,1.9239196e-05,3.8190824e-06,8.190706e-07,0,1,0,0
1777316752046000,1777316751928000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.00682189,0.0021202522,0.0024742782,0.09092463,0.09092471,0.20808211,2.0473302e-05,1.9776667e-06,1.1768533e-06,0,1,0,0
1777316752102000,1777316751980000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.006992538,0.0017446466,0.0011937544,0.09102757,0.091027655,0.20757385,2.1486056e-05,1.3375239e-06,2.746106e-07,0,1,0,0
1777316752150000,1777316752032000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0057475367,0.0010874545,0.002661198,0.090672635,0.090672694,0.2077355,1.4572943e-05,5.216818e-07,1.3636521e-06,0,1,0,0
1777316752206000,1777316752084000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0069064805,0.0010597958,0.0026576668,0.09077821,0.0907783,0.20792322,2.1018028e-05,4.949056e-07,1.3588078e-06,0,1,0,0
1777316752254000,1777316752136000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.007284833,0.0017656962,0.003953226,0.09087346,0.09087355,0.20808683,2.3359424e-05,1.3723171e-06,3.0041294e-06,0,1,0,0
1777316752302000,1777316752188000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.008502306,0.0013906932,0.003509611,0.09095303,0.09095316,0.20755097,3.179189e-05,8.505599e-07,2.3738494e-06,0,1,0,0
1777316752358000,1777316752240000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0065345787,0.0008575335,0.003301473,0.09065083,0.0906509,0.20773432,1.8841843e-05,3.2448156e-07,2.0987818e-06,0,1,0,0
1777316752406000,1777316752292000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0068762964,0.0013926879,0.0035536215,0.09073692,0.09073699,0.2078943,2.0844196e-05,8.5503365e-07,2.4297399e-06,0,1,0,0
1777316752462000,1777316752344000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.007956706,0.0007283122,0.002553396,0.09084269,0.09084278,0.20809159,2.7876396e-05,2.3356336e-07,1.2532618e-06,0,1,0,0
1777316752510000,1777316752396000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.008424428,0.0014239491,0.0023029968,0.090919025,0.09091914,0.20755473,3.1223823e-05,8.920592e-07,1.0221486e-06,0,1,0,0
1777316752566000,1777316752448000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.006415916,0.00095498306,0.004240401,0.09063747,0.09063753,0.20773816,1.816643e-05,4.0247903e-07,3.4622435e-06,0,1,0,0
1777316752622000,1777316752500000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0076217754,0.0022229138,0.004535347,0.090735346,0.09073542,0.20792614,2.5609186e-05,2.1783537e-06,3.957054e-06,0,1,0,0
1777316752670000,1777316752552000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.008122696,0.0023451417,0.003425166,0.09082362,0.0908237,0.20809564,2.905772e-05,2.4221388e-06,2.2550712e-06,0,1,0,0
1777316752718000,1777316752604000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.009774362,0.0029685632,0.0022470132,0.09089796,0.09089808,0.20755792,4.204193e-05,3.8779112e-06,9.730428e-07,0,1,0,0
1777316752774000,1777316752656000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.006609222,0.0031323612,0.001273118,0.09062938,0.09062941,0.2077464,1.9279318e-05,4.330465e-06,3.1207844e-07,0,1,0,0
1777316752830000,1777316752708000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.008219336,0.0033138501,0.0016666651,0.09072538,0.09072545,0.20793444,2.9785486e-05,4.8416855e-06,5.343555e-07,0,1,0,0
1777316752878000,1777316752760000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.008886186,0.0036049061,0.001732558,0.09081184,0.09081192,0.20810404,3.4781504e-05,5.724072e-06,5.769724e-07,0,1,0,0
1777316752926000,1777316752812000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.008896053,0.0021687387,0.0018089116,0.09088473,0.090884835,0.2075644,3.4830824e-05,2.0700604e-06,6.3058235e-07,0,1,0,0
1777316752982000,1777316752864000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.005676904,0.001834752,0.0013206899,0.09062409,0.09062413,0.20774765,1.4224582e-05,1.485836e-06,3.3583473e-07,0,1,0,0
1777316753030000,1777316752916000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0060413466,0.0015912892,0.0022516772,0.09070498,0.09070503,0.20791315,1.60952e-05,1.1166751e-06,9.754169e-07,0,1,0,0
1777316753086000,1777316752968000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.005434047,0.0021444194,0.0038305447,0.09080406,0.09080411,0.20809896,1.300773e-05,2.0256944e-06,2.8204029e-06,0,1,0,0
1777316753134000,1777316753020000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.005158171,0.0017976922,0.00358627,0.09087612,0.09087617,0.2075652,1.1711208e-05,1.4224619e-06,2.478514e-06,0,1,0,0
1777316753190000,1777316753072000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0030156393,0.00093447696,0.0031076148,0.09062061,0.090620644,0.20774852,4.0141335e-06,3.8545178e-07,1.8594154e-06,0,1,0,0
1777316753238000,1777316753124000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0039029543,0.0019789152,0.0029141235,0.0907009,0.09070094,0.20790838,6.7179276e-06,1.7270407e-06,1.6338188e-06,0,1,0,0
1777316753294000,1777316753176000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0035758638,0.0038315328,0.003906511,0.0907992,0.090799235,0.20809998,5.633002e-06,6.467298e-06,2.9333644e-06,0,1,0,0
1777316753350000,1777316753228000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0038569472,0.004443902,0.004386723,0.09088564,0.09088568,0.20759264,6.547147e-06,8.691475e-06,3.7079042e-06,0,1,0,0
1777316753398000,1777316753280000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.002721542,0.0037623674,0.0035444498,0.090618476,0.09061849,0.20774938,3.2694397e-06,6.2483527e-06,2.4188998e-06,0,1,0,0
1777316753446000,1777316753332000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0039340975,0.0043862225,0.004220523,0.09069831,0.09069832,0.2079093,6.82576e-06,8.484809e-06,3.4270356e-06,0,1,0,0
1777316753502000,1777316753384000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0037447368,0.004435131,0.005401358,0.09079606,0.09079609,0.20810097,6.1778246e-06,8.665742e-06,5.607791e-06,0,1,0,0
1777316753558000,1777316753436000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0044969036,0.0049031987,0.005003527,0.09088215,0.09088218,0.2075886,8.90038e-06,1.0581329e-05,4.8240186e-06,0,1,0,0
1777316753606000,1777316753488000,0,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.0032719919,0.0037021153,0.0046367124,0.09061713,0.09061714,0.20774545,4.7257863e-06,6.0499183e-06,4.1395083e-06,0,1,0,0
