timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1777316756206000,1777316756206000,47.397742037938684,8.545593975387787,488.00693,488.00876,0.009172436,2.4996877,2.595076,nan,2,2,0,0
1777316756214000,1777316756214000,47.397742038706156,8.545593975736892,488.00693,488.00876,0.009172436,2.4997005,2.5950904,nan,2,2,0,0
1777316756222000,1777316756222000,47.39774203944196,8.545593976086442,488.0069,488.00873,0.009172436,2.4997141,2.5951054,nan,2,2,0,0
1777316756230000,1777316756230000,47.39774204014638,8.54559397640911,488.0069,488.00873,0.009172436,2.4997284,2.5950255,nan,2,2,0,0
1777316756238000,1777316756238000,47.39774204080113,8.545593976711716,488.0069,488.00873,0.009172436,2.4997432,2.5950418,nan,2,2,0,0
1777316756246000,1777316756246000,47.397742041423854,8.545593976960316,488.00687,488.0087,0.009172436,2.4997587,2.595059,nan,2,2,0,0
1777316756254000,1777316756254000,47.397742042033045,8.545593977148245,488.00687,488.0087,0.009172436,2.499775,2.5950766,nan,2,2,0,0
1777316756262000,1777316756262000,47.39774204244563,8.545593976849512,488.00684,488.00864,0.009172436,2.497093,2.593235,nan,2,2,0,0
1777316756270000,1777316756270000,47.39774204282143,8.54559397657535,488.00684,488.00864,0.009172436,2.497106,2.5932498,nan,2,2,0,0
1777316756278000,1777316756278000,47.39774204317954,8.545593976309002,488.00684,488.00864,0.009172436,2.49712,2.5931916,nan,2,2,0,0
1777316756286000,1777316756286000,47.39774204351715,8.545593976058122,488.00684,488.00864,0.009172436,2.4971344,2.5932076,nan,2,2,0,0
1777316756294000,1777316756294000,47.39774204383873,8.54559397581717,488.00684,488.00864,0.009172436,2.4971495,2.593224,nan,2,2,0,0
1777316756302000,1777316756302000,47.39774204414069,8.545593975598067,488.00684,488.00864,0.009172436,2.4971652,2.5932412,nan,2,2,0,0
1777316756310000,1777316756310000,47.397742044288485,8.545593974629288,488.00687,488.00867,0.009172436,2.4950402,2.591798,nan,2,2,0,0
