timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
1777320760797000,0,1777320760797000,0,473977419,85455937,487997,487997,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320761785000,0,1777320761785000,0,473977420,85455933,488215,488215,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,0.0,-0.08,-0.63,3.6016612,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320762773000,0,1777320762773000,0,473977419,85455928,489196,489196,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.02,-0.01,-1.35,2.6242766,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320763813000,0,1777320763813000,0,473977417,85455929,490689,490689,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.02,0.04,-1.4699999,2.024582,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320764801000,0,1777320764801000,0,473977414,85455937,492165,492165,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.01,0.07,-1.5,1.37881,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320765789000,0,1777320765789000,0,473977419,85455945,493655,493655,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.049999997,0.03,-1.5,0.57595867,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320766777000,0,1777320766777000,0,473977422,85455945,495149,495149,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.01,-0.02,-1.5,4.334699,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320767765000,0,1777320767765000,0,473977420,85455942,496566,496566,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.03,-0.03,-1.1999999,2.8860755,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320768805000,0,1777320768805000,0,473977418,85455936,497508,497508,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.04,-0.02,-0.58,2.4846501,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320769793000,0,1777320769793000,0,473977412,85455937,497436,497436,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.02,0.0,0.29,2.1704907,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320770781000,0,1777320770781000,0,473977412,85455934,497220,497220,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.03,-0.01,0.14,4.788485,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320771769000,0,1777320771769000,0,473977494,85455930,497161,497161,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,2.28,2.28,-0.08,0.01,5.1200976,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
1777320772809000,0,1777320772809000,0,473977855,85455912,497169,497169,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,5.25,5.25,-0.12,0.0,5.137551,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0
