timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1777316741578000,0.0,0.0,0.0,0.0
1777316741582000,0.0,0.0,0.0,0.0
1777316741778000,0.0,0.0,0.0,0.0
1777316741978000,0.0,0.0,0.0,0.0
1777316742178000,0.0,0.0,0.0,0.0
1777316742378000,0.0,0.0,0.0,0.0
1777316742578000,0.0,0.0,0.0,0.0
1777316742778000,0.0,0.0,0.0,0.0
1777316742978000,0.0,0.0,0.0,0.0
1777316743178000,0.0,0.0,0.0,0.0
1777316743374000,0.0,0.0,0.0,0.0
1777316743578000,0.0,0.0,0.0,0.0
1777316743778000,0.0,0.0,0.0,0.0
1777316743978000,0.0,0.0,0.0,0.0
1777316744178000,0.0,0.0,0.0,0.0
1777316744378000,0.0,0.0,0.0,0.0
1777316744578000,0.0,0.0,0.0,0.0
1777316744778000,0.0,0.0,0.0,0.0
1777316744978000,0.0,0.0,0.0,0.0
1777316745178000,0.0,0.0,0.0,0.0
1777316745374000,0.0,0.0,0.0,0.0
1777316745578000,0.0,0.0,0.0,0.0
1777316745778000,0.0,0.0,0.0,0.0
1777316745978000,0.0,0.0,0.0,0.0
1777316746178000,0.0,0.0,0.0,0.0
1777316746378000,0.0,0.0,0.0,0.0
1777316746578000,0.0,0.0,0.0,0.0
1777316746778000,0.0,0.0,0.0,0.0
1777316746978000,0.0,0.0,0.0,0.0
1777316747178000,0.0,0.0,0.0,0.0
1777316747378000,0.0,0.0,0.0,0.0
1777316747578000,0.0,0.0,0.0,0.0
1777316747778000,0.0,0.0,0.0,0.0
1777316747978000,0.0,0.0,0.0,0.0
1777316748178000,0.0,0.0,0.0,0.0
1777316748378000,0.0,0.0,0.0,0.0
1777316748578000,0.0,0.0,0.0,0.0
1777316748778000,0.0,0.0,0.0,0.0
1777316748978000,0.0,0.0,0.0,0.0
1777316749178000,0.0,0.0,0.0,0.0
1777316749378000,0.0,0.0,0.0,0.0
1777316749578000,0.0,0.0,0.0,0.0
1777316749778000,0.0,0.0,0.0,0.0
1777316749978000,0.0,0.0,0.0,0.0
1777316750178000,0.0,0.0,0.0,0.0
1777316750378000,0.0,0.0,0.0,0.0
1777316750574000,0.0,0.0,0.0,0.0
1777316750778000,0.0,0.0,0.0,0.0
