timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1777316741578000,32767,32767,32767,32767,32767,32767
1777316741582000,32767,32767,32767,32767,32767,32767
1777316741586000,32767,32767,32767,32767,32767,32767
1777316741590000,32767,32767,32767,32767,32767,32767
1777316741594000,32767,32767,32767,32767,32767,32767
1777316741598000,32767,32767,32767,0,32767,32767
1777316741602000,32767,32767,32767,32767,32767,32767
1777316741606000,32767,32767,32767,32767,32767,32767
1777316741610000,32767,32767,32767,32767,32767,32767
1777316741614000,32767,32767,32767,32767,32767,32767
1777316741618000,32767,32767,32767,32767,32767,32767
1777316741622000,32767,32767,32767,32767,32767,32767
1777316741626000,32767,32767,32767,32767,32767,32767
1777316741630000,32767,32767,32767,32767,32767,32767
1777316741634000,32767,32767,32767,32767,32767,32767
1777316741638000,32767,32767,32767,32767,32767,32767
1777316741642000,32767,32767,32767,32767,32767,32767
1777316741646000,32767,32767,32767,32767,32767,32767
1777316741650000,32767,32767,32767,32767,32767,32767
1777316741654000,32767,32767,32767,32767,32767,32767
1777316741658000,32767,32767,32767,32767,32767,32767
1777316741662000,32767,32767,32767,32767,32767,32767
1777316741666000,32767,32767,32767,32767,0,32767
1777316741670000,32767,32767,32767,32767,0,32767
1777316741674000,32767,32767,32767,32767,32767,32767
1777316741678000,32767,32767,32767,32767,32767,32767
1777316741682000,32767,32767,32767,32767,32767,32767
1777316741686000,32767,32767,32767,32767,32767,32767
1777316741690000,32767,32767,32767,32767,32767,32767
1777316741694000,32767,32767,32767,0,32767,32767
1777316741698000,32767,32767,32767,32767,32767,32767
1777316741702000,32767,32767,32767,-40,32767,32767
1777316741706000,32767,32767,32767,32767,32767,32767
1777316741710000,32767,32767,32767,32767,32767,32767
1777316741714000,32767,32767,32767,32767,32767,32767
1777316741718000,32767,32767,32767,32767,32767,32767
1777316741722000,32767,32767,32767,32767,32767,32767
1777316741726000,32767,32767,32767,32767,32767,32767
1777316741730000,32767,32767,32767,32767,32767,32767
1777316741734000,32767,32767,32767,32767,32767,32767
1777316741738000,32767,32767,32767,32767,32767,32767
1777316741742000,32767,32767,32767,32767,32767,32767
1777316741746000,32767,32767,32767,32767,32767,32767
1777316741750000,32767,32767,32767,32767,32767,32767
1777316741754000,32767,32767,32767,32767,32767,32767
1777316741758000,32767,32767,32767,32767,32767,32767
1777316741762000,32767,32767,32767,32767,32767,32767
1777316741766000,32767,32767,32767,32767,32767,32767
1777316741770000,32767,32767,32767,32767,32767,32767
1777316741774000,32767,32767,32767,32767,32767,32767
1777316741778000,32767,32767,32767,32767,32767,32767
1777316741782000,32767,32767,32767,32767,32767,32767
1777316741786000,32767,32767,32767,32767,32767,32767
1777316741790000,32767,32767,32767,32767,32767,32767
1777316741794000,32767,32767,32767,32767,32767,32767
1777316741798000,32767,32767,32767,0,32767,32767
1777316741802000,32767,32767,32767,32767,0,32767
1777316741806000,32767,32767,32767,32767,0,32767
1777316741810000,32767,32767,32767,32767,32767,32767
1777316741814000,32767,32767,32767,32767,32767,32767
1777316741818000,32767,32767,32767,32767,32767,32767
1777316741822000,32767,32767,32767,32767,32767,32767
1777316741826000,32767,32767,32767,32767,32767,32767
1777316741830000,32767,32767,32767,32767,32767,32767
1777316741834000,32767,32767,32767,32767,32767,32767
1777316741838000,32767,32767,32767,32767,32767,32767
1777316741842000,32767,32767,32767,32767,32767,32767
1777316741846000,32767,32767,32767,32767,32767,32767
1777316741850000,32767,32767,32767,32767,32767,32767
1777316741854000,32767,32767,32767,32767,32767,32767
1777316741858000,32767,32767,32767,32767,32767,32767
1777316741862000,32767,32767,32767,32767,32767,32767
1777316741866000,32767,32767,32767,32767,32767,32767
1777316741870000,32767,32767,32767,32767,32767,32767
1777316741874000,32767,32767,32767,32767,32767,32767
1777316741878000,32767,32767,32767,32767,32767,32767
1777316741882000,32767,32767,32767,32767,32767,32767
1777316741886000,32767,32767,32767,32767,32767,32767
1777316741890000,32767,32767,32767,32767,32767,32767
1777316741894000,32767,32767,32767,0,32767,32767
