timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
1777227222597000,1777227222445000,1777227222445000,0,-488.0252,12.354216,0.0043945312,0.0023397882,12.367027,6.246256e-08,3.8054654e-07,0,0,1
1777227222653000,1777227222497000,1777227222501000,0,-488.0205,12.354284,3.0517578e-05,0.0021222483,12.367125,3.0122528e-12,3.4469824e-07,0,0,1
1777227222701000,1777227222549000,1777227222549000,0,-487.997,12.354216,-0.023040771,-0.00024818117,12.367026,1.7170729e-06,1.5047341e-07,0,0,1
1777227222757000,1777227222601000,1777227222605000,0,-487.99252,12.354284,-0.02734375,-0.0028006625,12.367125,2.4182848e-06,-9.151107e-08,0,0,1
1777227222805000,1777227222653000,1777227222653000,0,-488.0303,12.354216,0.010437012,-0.0015536352,12.367026,3.523279e-07,-4.9700148e-08,0,0,1
1777227222861000,1777227222705000,1777227222709000,0,-488.0302,12.354284,0.010101318,-0.00045570475,12.367125,3.3002541e-07,-1.3928894e-08,0,0,1
1777227222909000,1777227222757000,1777227222757000,0,-488.05362,12.354216,0.033203125,0.0027150547,12.367026,3.5657642e-06,3.2328862e-07,0,0,1
1777227222965000,1777227222809000,1777227222813000,0,-488.01108,12.354284,-0.009552002,0.0015594623,12.367124,2.9510738e-07,2.6503392e-07,0,0,1
1777227223013000,1777227222861000,1777227222861000,0,-488.0487,12.354216,0.02810669,0.0040602884,12.367026,2.5551365e-06,4.807682e-07,0,0,1
1777227223069000,1777227222913000,1777227222917000,0,-487.97336,12.354284,-0.04711914,-0.00076096226,12.367124,7.1810177e-06,-2.4099432e-07,0,0,1
1777227223117000,1777227222965000,1777227222965000,0,-488.01132,12.354216,-0.009124756,-0.0015488559,12.367026,2.6930053e-07,-2.4366085e-07,0,0,1
1777227223173000,1777227223017000,1777227223021000,0,-488.02078,12.354284,0.0005493164,-0.001351202,12.367124,9.759699e-10,-2.2061535e-07,0,0,1
1777227223221000,1777227223069000,1777227223069000,0,-488.06772,12.354216,0.047790527,0.003278092,12.367026,7.3871743e-06,4.960605e-07,0,0,1
1777227223277000,1777227223121000,1777227223125000,0,-488.03445,12.354284,0.014587402,0.004343462,12.367124,6.8825153e-07,5.141655e-07,0,0,1
1777227223325000,1777227223173000,1777227223173000,0,-488.00616,12.354216,-0.0,0.0026607392,12.367026,5.9115627e-07,4.1004097e-07,0,0,1
1777227223381000,1777227223225000,1777227223229000,0,-488.0063,12.354284,-0.0,0.0011422833,12.367124,5.8582594e-07,3.162274e-07,0,0,1
1777227223429000,1777227223277000,1777227223277000,0,-488.03925,12.354216,0.019378662,0.0028602032,12.367026,1.2146252e-06,4.008591e-07,0,0,1
1777227223485000,1777227223329000,1777227223333000,0,-487.99683,12.354284,-0.0,0.00040875678,12.367124,1.7353016e-06,1.9962657e-07,0,0,1
1777227223533000,1777227223381000,1777227223381000,0,-487.997,12.354216,-0.0,-0.001780133,12.367026,1.6853808e-06,2.2053399e-08,0,0,1
1777227223589000,1777227223433000,1777227223437000,0,-488.0395,12.354284,0.019683838,0.0002418356,12.367124,1.2531724e-06,1.3802838e-07,0,0,1
1777227223637000,1777227223485000,1777227223485000,0,-488.044,12.354216,0.024383545,0.0025160548,12.367026,1.9230404e-06,3.061817e-07,0,0,1
1777227223693000,1777227223537000,1777227223541000,0,-488.00153,12.354284,-0.0,0.0005943761,12.367124,1.0343955e-06,1.7989544e-07,0,0,1
1777227223741000,1777227223589000,1777227223589000,0,-488.01108,12.354216,-0.0,-0.00023207412,12.367025,2.1635377e-07,1.4256761e-07,0,0,1
1777227223797000,1777227223641000,1777227223645000,0,-488.00647,12.354284,-0.0,-0.0014233964,12.367124,5.36434e-07,7.860369e-08,0,0,1
1777227223845000,1777227223693000,1777227223693000,0,-488.03943,12.354216,0.019958496,0.0005908399,12.367025,1.288399e-06,1.9256993e-07,0,0,1
1777227223901000,1777227223745000,1777227223749000,0,-488.0205,12.354284,0.00091552734,0.0006214264,12.367123,2.7110276e-09,1.7468467e-07,0,0,1
1777227223949000,1777227223797000,1777227223797000,0,-488.01578,12.354216,-0.0,0.00021503001,12.367025,4.4102745e-08,1.5407426e-07,0,0,1
1777227224005000,1777227223849000,1777227223853000,0,-487.98764,12.354284,-0.0,-0.0027778158,12.367123,3.2205685e-06,-1.6382691e-07,0,0,1
1777227224053000,1777227223901000,1777227223901000,0,-487.9926,12.354216,-0.0,-0.0049741296,12.367025,2.2020497e-06,-3.5583344e-07,0,0,1
1777227224109000,1777227223953000,1777227223957000,0,-488.02567,12.354284,0.0074768066,-0.0038012152,12.367123,1.8081049e-07,-3.0528003e-07,0,0,1
1777227224157000,1777227224005000,1777227224005000,0,-487.99744,12.354216,-0.0,-0.005349152,12.367025,1.3241036e-06,-4.0125616e-07,0,0,1
1777227224213000,1777227224057000,1777227224061000,0,-488.01642,12.354284,-0.0,-0.004908493,12.367123,1.4579304e-09,-3.63594e-07,0,0,1
1777227224261000,1777227224109000,1777227224109000,0,-488.01172,12.354216,-0.0,-0.004891699,12.367025,7.236995e-08,-3.3615987e-07,0,0,1
1777227224317000,1777227224161000,1777227224165000,0,-488.02582,12.354284,0.009674072,-0.0035195611,12.367123,3.0269828e-07,-2.7597758e-07,0,0,1
1777227224365000,1777227224213000,1777227224213000,0,-487.99292,12.354216,-0.0,-0.0053527663,12.367025,1.7079881e-06,-4.1087713e-07,0,0,1
1777227224421000,1777227224265000,1777227224269000,0,-488.02594,12.354284,0.010437012,-0.0038653235,12.367123,3.5232517e-07,-3.3898127e-07,0,0,1
1777227224469000,1777227224317000,1777227224317000,0,-488.02585,12.354216,0.010650635,-0.002497878,12.367025,3.6689832e-07,-2.7248535e-07,0,0,1
1777227224525000,1777227224369000,1777227224373000,0,-488.05396,12.354284,0.039001465,0.0014114808,12.367123,4.9198648e-06,2.1664914e-07,0,0,1
1777227224573000,1777227224421000,1777227224421000,0,-488.00195,12.354216,-0.0,7.970503e-05,12.367025,5.238018e-07,1.4689651e-07,0,0,1
1777227224629000,1777227224473000,1777227224477000,0,-487.988,12.354284,-0.0,-0.0024231686,12.367123,2.2695037e-06,-8.073542e-08,0,0,1
1777227224677000,1777227224525000,1777227224525000,0,-487.9976,12.354216,-0.0,-0.0037674392,12.367024,9.0130044e-07,-1.5803502e-07,0,0,1
1777227224733000,1777227224577000,1777227224581000,0,-488.0306,12.354284,0.016723633,-0.0018371207,12.367123,9.045916e-07,-5.7932503e-08,0,0,1
1777227224781000,1777227224629000,1777227224629000,0,-488.0164,12.354216,0.0024414062,-0.001434071,12.367024,1.9278573e-08,-5.0658997e-08,0,0,1
1777227224837000,1777227224681000,1777227224685000,0,-488.04926,12.354284,0.035308838,0.002027218,12.367122,4.03235e-06,3.3397228e-07,0,0,1
1777227224885000,1777227224733000,1777227224733000,0,-488.01138,12.354216,-0.0,0.0016120103,12.367024,1.8326693e-08,3.007847e-07,0,0,1
1777227224941000,1777227224785000,1777227224789000,0,-487.9879,12.354284,-0.0,-0.0009863385,12.367122,2.181477e-06,6.6948445e-08,0,0,1
1777227224989000,1777227224837000,1777227224837000,0,-488.0351,12.354216,0.021270752,0.0011103441,12.367024,1.4633913e-06,1.9849742e-07,0,0,1
