timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1777316742682000,1777316742682000,0.9999605,0.0012064758,0.0022277555,0.008534617,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742686000,1777316742686000,0.99996054,0.0012097841,0.0022294943,0.00851277,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742690000,1777316742690000,0.9999606,0.0012120428,0.0022513221,0.008501209,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742698000,1777316742698000,0.9999608,0.0012063481,0.0022680995,0.008488322,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742702000,1777316742702000,0.9999609,0.0012186674,0.0022547191,0.008469894,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742706000,1777316742706000,0.9999611,0.0012317861,0.0022424955,0.008447743,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742714000,1777316742714000,0.9999615,0.0012202199,0.002231099,0.008398272,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742718000,1777316742718000,0.9999621,0.0012119419,0.0022331825,0.008328306,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742726000,1777316742726000,0.99996305,0.0012293764,0.0022257231,0.008224024,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742730000,1777316742730000,0.9999633,0.0012406429,0.0022202092,0.008181199,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742734000,1777316742734000,0.9999638,0.0012471267,0.0022114695,0.0081314575,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742742000,1777316742742000,0.9999649,0.0012769614,0.0021674263,0.008002031,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742746000,1777316742746000,0.99996525,0.0012919491,0.0021841018,0.007946335,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742754000,1777316742754000,0.9999657,0.0013312546,0.0022046634,0.007875232,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742758000,1777316742758000,0.99996585,0.0013497062,0.002206387,0.00784865,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742762000,1777316742762000,0.9999661,0.0013541795,0.002211739,0.007821375,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742766000,1777316742766000,0.9999664,0.0013501692,0.00220958,0.0077850535,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742770000,1777316742770000,0.9999667,0.001352613,0.002209353,0.0077500436,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742778000,1777316742778000,0.9999671,0.0013639106,0.002219766,0.007695136,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742782000,1777316742782000,0.99996716,0.0013787383,0.0022155372,0.0076752035,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742786000,1777316742786000,0.9999673,0.0014026026,0.0022141265,0.007655394,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742790000,1777316742790000,0.9999674,0.0014120099,0.0022227245,0.0076361634,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742794000,1777316742794000,0.9999674,0.0014053724,0.0022423668,0.007630837,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742798000,1777316742798000,0.9999674,0.0013987232,0.0022630764,0.007623914,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742802000,1777316742802000,0.9999675,0.0013921044,0.0022741354,0.007605742,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742806000,1777316742806000,0.9999678,0.0013844203,0.0022825364,0.007578515,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742810000,1777316742810000,0.99996793,0.0013788173,0.0022955828,0.0075559765,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742814000,1777316742814000,0.99996805,0.001387115,0.00230287,0.0075371265,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742818000,1777316742818000,0.9999682,0.0014018355,0.0022988066,0.007507966,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742822000,1777316742822000,0.9999685,0.0014053537,0.0022952005,0.0074729747,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742830000,1777316742830000,0.99996877,0.0014126964,0.002318783,0.007437763,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742834000,1777316742834000,0.9999688,0.0014143477,0.0023427426,0.0074087325,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742842000,1777316742842000,0.9999696,0.0013764311,0.0023520652,0.007313777,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742846000,1777316742846000,0.9999699,0.0013623803,0.0023509017,0.0072691143,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742850000,1777316742850000,0.9999704,0.0013677193,0.0023606601,0.0072075357,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742854000,1777316742854000,0.99997085,0.0013745364,0.0023826985,0.0071326545,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742858000,1777316742858000,0.9999713,0.0013720659,0.0024074034,0.0070531247,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742862000,1777316742862000,0.99997187,0.0013643453,0.0024198266,0.0069693304,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742866000,1777316742866000,0.99997234,0.0013634857,0.0024163255,0.0068988963,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742870000,1777316742870000,0.9999728,0.0013648357,0.0024069585,0.006844429,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742878000,1777316742878000,0.99997336,0.0013532776,0.002397661,0.006763866,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742882000,1777316742882000,0.9999736,0.0013520339,0.0024025973,0.006726992,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742886000,1777316742886000,0.9999739,0.0013517874,0.0024150074,0.0066826683,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742890000,1777316742890000,0.9999743,0.0013694902,0.0024141963,0.006619481,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742894000,1777316742894000,0.99997467,0.0013930511,0.0024123627,0.0065530823,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742898000,1777316742898000,0.99997497,0.0014045925,0.0024300697,0.006498728,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742902000,1777316742902000,0.99997526,0.0014182051,0.0024563146,0.006442782,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
1777316742910000,1777316742910000,0.99997574,0.0014126493,0.0024491497,0.0063660834,0.99999946,1.5461411e-10,2.0008886e-10,-0.0010758463,1
