timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
1777320736901000,0.0,0,0,0,0,0,0,0,0,0
1777320737405000,0.0,0,0,0,0,0,0,0,0,0
1777320737909000,0.0,0,0,0,0,0,0,0,0,0
1777320738413000,0.0,0,0,0,0,0,0,0,0,0
1777320738917000,0.0,0,0,0,0,0,0,0,0,0
1777320739421000,0.0,0,0,0,0,0,0,0,0,0
1777320739925000,0.0,0,0,0,0,0,0,0,0,0
1777320740429000,0.0,0,0,0,0,0,0,0,0,0
1777320740933000,0.0,0,0,0,0,0,0,0,0,0
1777320741437000,0.0,0,0,0,0,0,0,0,0,0
1777320741941000,0.0,0,0,0,0,0,0,0,0,0
1777320742445000,0.0,0,0,0,0,0,0,0,0,0
1777320742949000,0.0,0,0,0,0,0,0,0,0,0
1777320743453000,0.0,0,0,0,0,0,0,0,0,0
1777320743957000,0.0,0,0,0,0,0,0,0,0,0
1777320744461000,0.0,0,0,0,0,0,0,0,0,0
1777320744965000,0.0,0,0,0,0,0,0,0,0,0
1777320745469000,0.0,0,0,0,0,0,0,0,0,0
1777320745973000,0.0,0,0,0,0,0,0,0,0,0
1777320746477000,0.0,0,0,0,0,0,0,0,0,0
1777320746981000,0.0,0,0,0,0,0,0,0,0,0
1777320747485000,0.0,0,0,0,0,0,0,0,0,0
1777320747989000,0.0,0,0,0,0,0,0,0,0,0
1777320748493000,0.0,0,0,0,0,0,0,0,0,0
1777320748997000,0.0,0,0,0,0,0,0,0,0,0
1777320749501000,0.0,0,0,0,0,0,0,0,0,0
1777320750005000,0.0,0,0,0,0,0,0,0,0,0
1777320750509000,0.0,0,0,0,0,0,0,0,0,0
1777320751013000,0.0,0,0,0,0,0,0,0,0,0
1777320751517000,0.0,0,0,0,0,0,0,0,0,0
1777320752021000,0.0,0,0,0,0,0,0,0,0,0
1777320752237000,0.0,0,0,0,0,0,0,0,0,0
1777320752741000,0.0,0,0,0,0,0,0,0,0,0
1777320753245000,0.0,0,0,0,0,0,0,0,0,0
1777320753749000,0.0,0,0,0,0,0,0,0,0,0
1777320754253000,0.0,0,0,0,0,0,0,0,0,0
1777320754757000,0.0,0,0,0,0,0,0,0,0,0
1777320755261000,0.0,0,0,0,0,0,0,0,0,0
1777320755765000,0.0,0,0,0,0,0,0,0,0,0
1777320756269000,0.0,0,0,0,0,0,0,0,0,0
1777320756773000,0.0,0,0,0,0,0,0,0,0,0
1777320757061000,0.0,0,0,0,0,0,0,0,0,0
1777320757073000,0.0,0,0,0,0,0,0,0,0,0
1777320757577000,0.0,0,0,0,0,0,0,0,0,0
1777320758081000,0.0,0,0,0,0,0,0,0,0,0
1777320758585000,0.0,0,0,0,0,0,0,0,0,0
1777320759089000,0.0,0,0,0,0,0,0,0,0,0
1777320759593000,0.0,0,0,0,0,0,0,0,0,0
1777320760097000,0.0,0,0,0,0,0,0,0,0,0
1777320760601000,0.0,0,0,0,0,0,0,0,0,0
1777320761105000,0.0,0,0,0,0,0,0,0,0,0
1777320761609000,0.0,0,0,0,0,0,0,0,0,0
1777320762113000,0.0,0,0,0,0,0,0,0,0,0
1777320762617000,0.0,0,0,0,0,0,0,0,0,0
1777320763121000,0.0,0,0,0,0,0,0,0,0,0
1777320763625000,0.0,0,0,0,0,0,0,0,0,0
1777320764129000,0.0,0,0,0,0,0,0,0,0,0
1777320764633000,0.0,0,0,0,0,0,0,0,0,0
1777320765137000,0.0,0,0,0,0,0,0,0,0,0
1777320765641000,0.0,0,0,0,0,0,0,0,0,0
1777320766145000,0.0,0,0,0,0,0,0,0,0,0
1777320766649000,0.0,0,0,0,0,0,0,0,0,0
1777320767153000,0.0,0,0,0,0,0,0,0,0,0
1777320767657000,0.0,0,0,0,0,0,0,0,0,0
1777320768161000,0.0,0,0,0,0,0,0,0,0,0
1777320768377000,0.0,0,0,0,0,0,0,0,0,0
1777320768881000,0.0,0,0,0,0,0,0,0,0,0
1777320769385000,0.0,0,0,0,0,0,0,0,0,0
1777320769889000,0.0,0,0,0,0,0,0,0,0,0
1777320770321000,0.0,0,0,0,0,0,0,0,0,0
1777320770825000,0.0,0,0,0,0,0,0,0,0,0
1777320771329000,0.0,0,0,0,0,0,0,0,0,0
1777320771833000,0.0,0,0,0,0,0,0,0,0,0
1777320772337000,0.0,0,0,0,0,0,0,0,0,0
1777320772589000,0.0,0,0,0,0,0,0,0,0,0
1777320772601000,0.0,0,0,0,0,0,0,0,0,0
1777320773105000,0.0,0,0,0,0,0,0,0,0,0
1777320773609000,0.0,0,0,0,0,0,0,0,0,0
1777320774113000,0.0,0,0,0,0,0,0,0,0,0
1777320774617000,0.0,0,0,0,0,0,0,0,0,0
1777320775121000,0.0,0,0,0,0,0,0,0,0,0
1777320775625000,0.0,0,0,0,0,0,0,0,0,0
1777320776129000,0.0,0,0,0,0,0,0,0,0,0
1777320776633000,0.0,0,0,0,0,0,0,0,0,0
1777320777137000,0.0,0,0,0,0,0,0,0,0,0
1777320777645000,0.0,0,0,0,0,0,0,0,0,0
1777320778005000,0.0,0,0,0,0,0,0,0,0,0
1777320778509000,0.0,0,0,0,0,0,0,0,0,0
1777320779013000,0.0,0,0,0,0,0,0,0,0,0
