timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1777320736989000,0,47.3977418,8.545593799999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320736997000,0,47.3977419,8.545593799999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737085000,0,47.3977419,8.5455939,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737189000,0,47.3977418,8.5455939,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737285000,0,47.3977418,8.545594,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737389000,0,47.3977419,8.5455942,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737485000,0,47.3977419,8.545594099999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737589000,0,47.397742,8.5455939,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737685000,0,47.3977418,8.545594,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737789000,0,47.3977417,8.545593799999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737885000,0,47.3977419,8.545593799999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320737989000,0,47.3977419,8.5455939,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320738085000,0,47.3977419,8.545594099999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320738189000,0,47.397742,8.5455939,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320738285000,0,47.397742,8.545594,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320738389000,0,47.3977419,8.545594,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320738485000,0,47.397742,8.5455939,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320738589000,0,47.397742099999995,8.545593799999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320738685000,0,47.397742,8.5455939,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1777320738789000,0,47.3977419,8.545594,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
