timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1777316741574000,1777316741494000,13421772800,0.00011638859,0.0005815544,0.00015554256,0,14.197274,10.015612,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741582000,1777316741502000,13421772800,0.00013693266,0.00058137736,0.00019440528,0,14.203449,10.017362,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741590000,1777316741510000,13421772800,0.00015889053,0.00057658396,0.00023203532,0,14.209937,10.0192,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741598000,1777316741518000,13421772800,0.00018166967,0.0005770383,0.00026802797,0,14.216738,10.021129,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741606000,1777316741526000,13421772800,0.00020297314,0.00056969887,0.0003027403,0,14.223848,10.023146,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741614000,1777316741534000,13421772800,0.00022221477,0.00056792895,0.00033545098,0,14.231268,10.02525,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741622000,1777316741542000,13421772800,0.0002127778,0.0008118266,0.00044461066,0,14.238994,10.027443,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741630000,1777316741550000,13421772800,0.00021265034,0.0007824781,0.0004351283,0,14.247024,10.029722,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741638000,1777316741558000,13421772800,0.0002112276,0.0007539323,0.0004265671,0,14.255357,10.032087,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
1777316741646000,1777316741566000,13421772800,0.00020855003,0.00072547497,0.00041787943,0,14.26399,10.034539,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,128,1,1,1,1,0,0,0,0,0,0,0,0
