timestamp,control_power[0],control_power[1],control_power[2]
1777227220721000,1.6257563e-05,5.3408917e-06,5.9440197e-08
1777227221221000,1.5698795e-05,4.790137e-06,1.3840415e-07
1777227221721000,1.14178265e-05,3.2846872e-06,4.558701e-08
1777227222221000,1.3195194e-05,4.5798015e-06,1.4137171e-07
1777227222721000,4.4438298e-06,8.123775e-06,2.8238391e-08
1777227223221000,5.794085e-06,6.0018465e-06,1.3685191e-07
1777227223721000,1.5708962e-05,1.1466554e-05,2.6511955e-07
1777227224221000,3.366762e-05,1.2986133e-05,2.062822e-08
1777227224721000,5.058644e-05,1.3230975e-05,5.4162054e-08
1777227225221000,2.5766241e-05,1.0877181e-05,1.0477959e-07
1777227225721000,7.673097e-06,6.303235e-06,7.5007904e-08
1777227226221000,8.130795e-06,8.121663e-06,8.9975785e-08
1777227226721000,5.2073005e-06,1.3336579e-05,4.5067505e-08
1777227227221000,5.721938e-06,1.2460952e-05,9.183301e-08
1777227227721000,6.755787e-06,7.942203e-06,1.0743957e-07
1777227228221000,5.892599e-06,6.24911e-06,1.7621835e-07
1777227228721000,6.0955863e-06,8.718075e-06,4.1840337e-07
1777227229221000,4.7548174e-06,5.545318e-06,2.691931e-07
1777227229721000,5.1109887e-06,6.948072e-06,2.1053704e-07
1777227230221000,7.2910852e-06,5.5302125e-06,1.878228e-07
1777227230721000,4.9716696e-06,4.922246e-06,3.537019e-08
1777227231221000,4.034588e-06,4.871118e-06,2.6892178e-07
1777227231721000,1.0254652e-05,1.8851617e-05,1.9348545e-07
1777227232221000,4.6816194e-06,7.735689e-06,2.2176557e-07
1777227232721000,5.323286e-06,1.707478e-05,9.924712e-08
1777227233221000,8.666338e-06,1.5923975e-05,1.0636866e-06
1777227233721000,4.4168246e-06,1.801544e-05,1.4663015e-06
1777227234221000,4.1823046e-06,2.6222458e-05,6.6383484e-07
1777227234721000,7.75269e-06,1.853519e-05,8.5453706e-07
1777227235221000,6.597292e-06,3.574152e-05,3.1933095e-07
1777227235721000,4.248195e-06,1.4520823e-05,4.7021445e-07
1777227236221000,6.609265e-06,3.0309937e-05,1.8855434e-07
1777227236721000,5.584199e-06,1.7142176e-05,1.33151e-07
1777227237221000,4.9959704e-06,1.6506474e-05,3.2023834e-07
1777227237721000,5.129199e-06,2.0464895e-05,3.8138816e-07
1777227238221000,7.74227e-06,2.682581e-05,3.342379e-07
1777227238721000,4.7045696e-06,1.6673712e-05,7.836809e-08
1777227239221000,6.190026e-06,2.6108075e-05,5.0014606e-08
1777227239721000,5.888053e-06,3.6686477e-05,3.4907364e-07
1777227240221000,4.077752e-06,1.6009752e-05,1.6935189e-07
1777227240721000,6.8755203e-06,1.0430037e-05,3.706552e-07
1777227241221000,1.0604535e-05,9.74425e-06,3.5484135e-07
1777227241721000,6.6541493e-06,1.0593137e-05,2.8681656e-08
1777227242221000,4.615878e-06,1.4702572e-05,1.3912076e-07
1777227242721000,7.0907836e-06,3.217414e-05,2.4025716e-05
1777227243221000,6.435635e-06,2.234461e-05,1.6664051e-05
1777227243721000,4.1502303e-06,3.3904107e-05,2.2540387e-06
1777227244221000,6.56202e-06,2.8709486e-05,2.4613655e-06
1777227244721000,4.326752e-06,1.9880303e-05,1.7467065e-07
1777227245221000,4.84309e-06,2.928135e-05,3.4519556e-07
1777227245721000,7.1785225e-06,1.6680538e-05,5.3388277e-07
1777227246221000,5.3381495e-06,1.9555095e-05,6.422818e-07
1777227246721000,7.2655894e-06,1.661645e-05,1.9617863e-07
1777227247221000,3.845537e-06,1.9878478e-05,2.0959169e-07
1777227247721000,5.4379843e-06,2.2040482e-05,2.9051293e-07
1777227248221000,8.442721e-06,1.7775723e-05,1.4295213e-07
1777227248721000,4.9461887e-06,1.9696166e-05,1.0659175e-07
1777227249221000,9.131081e-06,1.8247663e-05,8.7552294e-08
1777227249721000,3.9753963e-06,1.6645128e-05,9.721883e-08
1777227250221000,5.523458e-06,1.8451765e-05,1.1028217e-07
1777227250721000,6.842272e-06,2.4748018e-05,4.5282167e-07
1777227251221000,5.322228e-06,2.2474254e-05,6.4419856e-07
1777227251721000,6.7981987e-06,1.4729122e-05,5.556868e-07
1777227252221000,6.358555e-06,1.3854546e-05,8.255331e-07
1777227252721000,5.760569e-06,1.5555033e-05,2.190578e-06
1777227253221000,5.7868183e-06,1.6292845e-05,7.946712e-07
1777227253721000,7.584952e-06,1.4620879e-05,3.8990524e-06
1777227254221000,6.6679613e-06,1.00836805e-05,1.2166324e-05
1777227254721000,7.2211874e-06,1.8095405e-05,2.7615995e-06
1777227255221000,6.2261147e-06,7.492346e-06,5.2350515e-07
1777227255721000,5.9705703e-06,5.8112646e-06,4.5679008e-07
1777227256221000,5.0716976e-06,1.1799168e-05,3.9091879e-07
1777227256721000,4.02836e-06,8.639344e-06,5.2520016e-07
1777227257221000,6.3313178e-06,1.6622402e-05,3.072515e-07
1777227257721000,5.005318e-06,1.26981195e-05,1.6755007e-07
1777227258221000,5.7271764e-06,7.541885e-06,1.0008912e-07
1777227258721000,6.072843e-06,1.3642059e-05,2.0990855e-07
1777227259221000,7.407508e-06,1.2539168e-05,1.6070705e-07
1777227259721000,8.238068e-06,9.806601e-06,1.2739503e-07
1777227260221000,4.3947807e-06,1.0837884e-05,9.417781e-08
1777227260721000,6.6182483e-06,7.4450295e-06,1.9719624e-07
1777227261221000,6.6901803e-06,7.013188e-06,4.998412e-07
1777227261721000,8.576835e-06,1.0682307e-05,1.125267e-07
1777227262221000,6.243544e-06,7.2384705e-06,1.8000003e-07
1777227262721000,5.8447517e-06,7.864449e-06,1.018594e-07
1777227263221000,6.617112e-06,1.1723428e-05,1.6403358e-07
1777227263721000,4.894217e-06,1.47889405e-05,1.2427742e-07
1777227264221000,5.920878e-06,9.508555e-06,9.160496e-08
1777227264721000,5.7722496e-06,7.845767e-06,1.2810938e-07
1777227265221000,6.9150146e-06,4.0368595e-06,2.903362e-07
1777227265721000,9.434511e-06,3.1817438e-06,1.3974825e-07
1777227266221000,3.7470213e-06,7.392309e-06,4.457113e-08
1777227266721000,5.147846e-06,8.014384e-06,3.9449354e-08
1777227267221000,8.990968e-06,1.3549184e-05,1.3038495e-07
1777227267721000,5.1995985e-06,8.011284e-06,2.3645617e-07
1777227268221000,6.5989666e-06,1.1373538e-05,1.943285e-07
1777227268721000,6.149763e-06,9.824737e-06,1.3610499e-07
1777227269221000,4.7351755e-06,1.3104346e-05,3.1726674e-07
1777227269721000,5.5253613e-06,5.3880276e-06,3.0394492e-07
1777227270221000,4.350364e-06,7.687983e-06,2.6516275e-07
1777227270721000,3.5434227e-06,5.5285113e-06,1.6463353e-07
1777227271221000,6.791993e-06,9.035175e-06,1.17019155e-07
1777227271721000,5.7430602e-06,6.6092375e-06,7.97865e-08
1777227272221000,5.4091865e-06,1.2960966e-05,5.7784213e-08
1777227272721000,7.3750807e-06,8.62867e-06,2.2369717e-07
1777227273221000,6.681452e-06,6.2730774e-06,1.8398273e-07
1777227273721000,6.2444224e-06,9.989327e-06,1.6345035e-07
