timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1777320736989000,0.0,0.0,0.0,0.0
1777320736993000,0.0,0.0,0.0,0.0
1777320737189000,0.0,0.0,0.0,0.0
1777320737385000,0.0,0.0,0.0,0.0
1777320737589000,0.0,0.0,0.0,0.0
1777320737789000,0.0,0.0,0.0,0.0
1777320737989000,0.0,0.0,0.0,0.0
1777320738189000,0.0,0.0,0.0,0.0
1777320738389000,0.0,0.0,0.0,0.0
1777320738589000,0.0,0.0,0.0,0.0
1777320738785000,0.0,0.0,0.0,0.0
1777320738989000,0.0,0.0,0.0,0.0
1777320739189000,0.0,0.0,0.0,0.0
1777320739389000,0.0,0.0,0.0,0.0
1777320739585000,0.0,0.0,0.0,0.0
1777320739789000,0.0,0.0,0.0,0.0
1777320739985000,0.0,0.0,0.0,0.0
1777320740189000,0.0,0.0,0.0,0.0
1777320740389000,0.0,0.0,0.0,0.0
1777320740589000,0.0,0.0,0.0,0.0
1777320740789000,0.0,0.0,0.0,0.0
1777320740989000,0.0,0.0,0.0,0.0
1777320741189000,0.0,0.0,0.0,0.0
1777320741389000,0.0,0.0,0.0,0.0
1777320741589000,0.0,0.0,0.0,0.0
1777320741789000,0.0,0.0,0.0,0.0
1777320741985000,0.0,0.0,0.0,0.0
1777320742189000,0.0,0.0,0.0,0.0
1777320742389000,0.0,0.0,0.0,0.0
1777320742589000,0.0,0.0,0.0,0.0
1777320742789000,0.0,0.0,0.0,0.0
1777320742989000,0.0,0.0,0.0,0.0
1777320743189000,0.0,0.0,0.0,0.0
1777320743389000,0.0,0.0,0.0,0.0
1777320743585000,0.0,0.0,0.0,0.0
1777320743785000,0.0,0.0,0.0,0.0
1777320743989000,0.0,0.0,0.0,0.0
1777320744189000,0.0,0.0,0.0,0.0
1777320744389000,0.0,0.0,0.0,0.0
1777320744585000,0.0,0.0,0.0,0.0
1777320744789000,0.0,0.0,0.0,0.0
