timestamp,x,y,z,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],thrust[0],thrust[1],thrust[2],yaw,yawspeed
1777225995369000,0.008752944,-0.04802081,-0.042944927,0.007929518,-0.0014484286,-0.27086997,0.01180764,0.0060078567,2.2367537,0.00045998808,0.00023404695,-0.3859573,0.019630687,0.0
1777225995465000,0.008824916,-0.04808009,-0.0438537,0.008406549,-0.0012746183,-0.311259,0.0147537,0.010539059,2.0323486,0.0006099572,0.0004357127,-0.39637905,0.019412259,0.0
1777225995561000,0.008915058,-0.04815303,-0.047911238,0.008680071,-0.00078227394,-0.36670905,0.014814731,0.016943935,1.7521185,0.00061907683,0.0007080518,-0.41066682,0.020059478,0.0
1777225995665000,0.008994821,-0.0482162,-0.046385977,0.008507032,0.00023433089,-0.41240698,0.020734472,0.01466413,1.4966087,0.00090172543,0.00063773117,-0.4236942,0.020111438,0.0
1777225995761000,0.009077469,-0.048280112,-0.051513452,0.008206847,0.0010710673,-0.46862257,0.024037767,0.016914709,1.1984215,0.0010732657,0.0007552272,-0.43889752,0.019797046,0.0
1777225995865000,0.009150246,-0.048334904,-0.049255475,0.007947539,0.0018018287,-0.5136845,0.019819409,0.02552004,0.91277254,0.00091609714,0.0011795929,-0.45346156,0.01973459,0.0
1777225995961000,0.0092252465,-0.048389677,-0.054566212,0.007650129,0.0024183942,-0.5706967,0.023061216,0.027063359,0.5839014,0.0011044086,0.0012960725,-0.47022933,0.019110601,0.0
1777225996065000,0.009290895,-0.048435982,-0.05096553,0.0072556483,0.002963392,-0.61487633,0.021415733,0.029580887,0.29307866,0.0010531957,0.0014547466,-0.48505715,0.019426571,0.0
1777225996161000,0.009358101,-0.0484815,-0.057315506,0.0069435714,0.0032127341,-0.6726585,0.029744564,0.017689968,-0.03964162,0.0015192666,0.0009035526,-0.50202113,0.019110594,0.0
1777225996265000,0.009416489,-0.04851922,-0.054723125,0.006514144,0.0029687942,-0.7155672,0.017825902,0.01789309,-0.22827244,0.00092462864,0.00092811376,-0.51163864,0.019325664,0.0
1777225996369000,0.009484515,-0.04856052,-0.062914394,0.0057301675,0.0028484,-0.7768723,0.0044299765,0.03407307,-0.40122366,0.00023513139,0.001808508,-0.52045673,0.019447092,0.0
1777225996465000,0.009526772,-0.04858443,-0.0731056,0.004795332,0.0032218636,-0.81482697,-0.0005972786,0.047114626,-0.83548427,-3.3076838e-05,0.0026091726,-0.54259783,0.019603388,0.0
1777225996569000,0.0095854625,-0.048614822,-0.10006345,0.0036648943,0.0039542844,-0.8781779,-0.010523074,0.05781812,-0.7817097,-0.0005800222,0.0031868815,-0.5398561,0.019330313,0.0
1777225996665000,0.009621418,-0.048631404,-0.12544754,0.0025708957,0.0050344216,-0.91311395,-0.009231964,0.06774482,-0.6613574,-0.00050260726,0.0036881687,-0.53371984,0.018954795,0.0
1777225996761000,0.009664453,-0.048648592,-0.1737785,0.0014829077,0.0063625704,-0.9756948,-0.020410866,0.06931157,-0.67140937,-0.0011114681,0.0037743421,-0.5342324,0.019090727,0.0
1777225996865000,0.009700283,-0.04865998,-0.21104321,-3.99439e-05,0.0076607675,-1.0122535,-0.02630657,0.06887813,-0.5721489,-0.0014207665,0.0037199734,-0.52917147,0.01886921,0.0
1777225996961000,0.009734842,-0.048667446,-0.27569634,-0.0018331734,0.008300533,-1.076935,-0.028228952,0.06658828,-0.6131767,-0.0015305218,0.003610294,-0.5312633,0.018758161,0.0
