timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,motor_stop_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1777225992365000,-0.0027005705,-0.0022002764,0.0003037701,0.0,0.0,-1.1641532e-10,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225992373000,-0.0022445042,0.0,0.00019308683,0.0,0.0,-1.1641532e-10,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225992565000,-0.003747793,0.002837272,3.527598e-05,0.0,0.0,-2.3283064e-10,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777225992765000,-0.0026801284,-2.910383e-11,1.923424e-05,0.0,0.0,-1.1641532e-10,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225992965000,-0.003399655,-1.1641532e-10,0.00029086415,0.0,0.0,0.0,0,0,0,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777225993165000,-0.0014724366,1.4551915e-10,-0.000121334946,0.0,0.0,-1.1641532e-10,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225993365000,-0.0044222465,0.0029148865,0.00012308094,0.0,0.0,1.1641532e-10,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1777225993565000,3.0267984e-09,1.1641532e-10,3.929017e-10,0.0,0.0,-1.8626451e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225993765000,4.1909516e-09,1.3387762e-09,1.3387762e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225993965000,1.7462298e-10,-7.566996e-10,-4.0745363e-10,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225994165000,-3.259629e-09,5.47152e-09,-5.820766e-11,0.0,0.0,-1.4901161e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225994365000,6.7520887e-09,-1.19325705e-08,-1.0477379e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225994565000,1.5133992e-08,1.967419e-08,5.8789738e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225994765000,-5.122274e-09,6.0572347e-10,1.6269041e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225994965000,9.313226e-10,5.820766e-09,-4.831236e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225995165000,-1.3969839e-08,4.656613e-10,2.1464075e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225995365000,-2.0489097e-08,3.4924597e-09,-8.993084e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225995565000,-4.284084e-08,-9.080395e-09,1.5716068e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225995765000,-8.381903e-09,-1.5832484e-08,6.4028427e-10,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225995965000,1.8626451e-08,4.656613e-09,-7.21775e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225996165000,4.9592927e-08,-4.8661605e-08,2.4738256e-09,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225996365000,-5.005859e-09,-1.44355e-08,2.6775524e-09,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225996565000,-6.065238e-08,-1.3154931e-08,2.5174813e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225996765000,-5.1688403e-08,1.2572855e-08,-3.8999133e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225996965000,2.3283064e-09,4.1909516e-09,1.6233301e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225997165000,1.967419e-08,1.6763806e-08,-1.3940735e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225997365000,-1.200533e-08,1.8626451e-09,1.2980308e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225997565000,-2.4447218e-08,1.9324943e-08,-3.0180672e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225997765000,1.6298145e-08,-3.8649887e-08,-8.221832e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225997965000,-1.6065314e-08,2.0372681e-09,-7.785275e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225998165000,5.820766e-10,-1.3271347e-08,-1.17579475e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225998365000,-5.5879354e-09,1.6065314e-08,-4.242793e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225998565000,1.44355e-08,8.381903e-09,-7.792551e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225998765000,2.5029294e-09,8.614734e-09,1.7724233e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225998965000,-1.1874363e-08,-2.3283064e-09,-6.693881e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225999165000,1.6763806e-08,1.5832484e-08,-1.3707904e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225999365000,1.7898856e-08,1.4901161e-08,1.0826625e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225999565000,-2.7706847e-08,2.2584572e-08,1.4450052e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225999765000,2.4680048e-08,1.8626451e-09,-1.8975697e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777225999965000,-5.2386895e-09,1.7462298e-09,1.1306838e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226000165000,-8.731149e-09,-1.21071935e-08,6.330083e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226000365000,2.6193447e-08,-1.3504177e-08,3.2625394e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226000565000,6.676419e-08,1.3969839e-09,-2.3283064e-10,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226000765000,-1.0477379e-08,1.1990778e-08,-1.3830686e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226000965000,-3.0035153e-08,1.4202669e-08,1.7345883e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226001165000,1.8626451e-09,3.7252903e-09,-1.268927e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226001365000,-1.7462298e-10,3.608875e-09,2.2075255e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226001565000,-3.2014214e-10,1.5483238e-08,-4.0890882e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226001765000,1.5948899e-08,1.6298145e-08,-1.1817974e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226001965000,-6.9849193e-09,1.6996637e-08,-4.0745363e-10,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226002165000,8.381903e-09,4.656613e-09,-4.2491592e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226002365000,1.1641532e-08,-1.6298145e-08,-2.462184e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226002565000,-4.2724423e-08,-1.9557774e-08,1.2048986e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226002765000,1.792796e-08,6.5774657e-09,-4.773028e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226002965000,2.788147e-08,-1.5599653e-08,-1.6763806e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226003165000,3.8999133e-08,1.8626451e-09,1.6530976e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226003365000,-1.6354534e-08,-1.0826625e-08,-1.557055e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226003565000,-4.656613e-09,-9.313226e-10,2.5785994e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226003765000,2.2700988e-08,-1.2340024e-08,2.910383e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226003965000,1.5716068e-08,-9.313226e-09,-2.568413e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226004165000,-7.2759576e-10,-9.95351e-09,-1.9965228e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226004365000,-1.0221265e-07,-2.4447218e-09,-1.4377292e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226004565000,2.8288923e-08,-4.1676685e-08,-1.1175871e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226004765000,7.566996e-10,1.740409e-08,-2.537854e-08,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226004965000,3.806781e-08,-1.071021e-08,-1.5366822e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226005165000,2.0954758e-08,-7.3341653e-09,-4.3364707e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226005365000,-1.7229468e-08,-6.0535967e-09,3.7252903e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226005565000,-2.6018824e-08,-3.085006e-09,-1.4784746e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226005765000,-3.5797711e-09,7.1013346e-09,5.820766e-10,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226005965000,-6.672053e-09,-5.5879354e-09,3.783498e-09,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226006165000,-3.259629e-09,4.1909516e-09,-2.4738256e-10,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226006365000,-1.9557774e-08,-1.5541445e-08,8.563802e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226006565000,-4.3190084e-08,-1.071021e-08,-9.080395e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226006765000,-1.0593794e-08,4.8894435e-09,1.0360964e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226006965000,-3.3993274e-08,7.2759576e-10,1.2476448e-08,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226007165000,-1.2340024e-08,-7.741619e-09,-6.344635e-09,0.0,0.0,-5.9604645e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226007365000,2.3283064e-09,2.4214387e-08,-1.36788e-08,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226007565000,1.6647391e-08,1.4086254e-08,-7.965355e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226007765000,2.7474016e-08,-2.561137e-09,7.887138e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1777226007965000,9.662472e-09,5.5879354e-09,-2.8521754e-09,0.0,0.0,-2.9802322e-08,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
