timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
1777225992369000,-0.0034971351,0.0055756527,0.001910905,4000,0,0.040701427,-0.06464328,-9.810242,4000,0,0,0,1
1777225992373000,0.003427099,0.001847241,0.002709839,4000,0,0.017956514,-0.040701255,-9.821015,4000,0,0,0,1
1777225992377000,0.0044923606,0.0042440803,0.0059056412,4000,0,-0.009576809,-0.027533151,-9.835382,4000,0,0,0,1
1777225992381000,0.0012965719,-0.002946453,0.00031299653,4000,0,0.028730422,-0.05386937,-9.832989,4000,0,0,0,1
1777225992385000,-0.004562384,-0.009338039,-0.005013329,4000,0,0.05267244,-0.05985488,-9.823412,4000,0,0,0,1
1777225992389000,-0.009888696,-0.0021474962,-0.005279667,4000,0,0.017956512,-0.03112445,-9.804258,4000,0,0,0,1
1777225992393000,-0.005361334,0.0010482945,-0.001018588,4000,0,0.005985504,-0.020350542,-9.813835,4000,0,0,0,1
1777225992397000,0.006889207,0.00024933708,0.00084563054,4000,0,0.01436521,-0.05027807,-9.823412,4000,0,0,0,1
1777225992401000,0.010883949,0.001314609,-0.001284894,4000,0,0.009576809,-0.071825884,-9.828198,4000,0,0,0,1
1777225992405000,0.004226041,-0.0026801247,-0.003948068,4000,0,-0.0023942022,-0.059854876,-9.848549,4000,0,0,0,1
1777225992409000,0.0020955077,-0.0066748783,-0.002083851,4000,0,0.0035913028,-0.038307063,-9.822214,4000,0,0,0,1
1777225992413000,0.0010302479,-0.0021475062,0.0011119491,4000,0,-0.0047884043,-0.037109964,-9.776724,4000,0,0,0,1
1777225992417000,-0.0011002773,0.002912501,-0.0015512132,4000,0,-0.04548984,-0.047883864,-9.7803135,4000,0,0,0,1
1777225992421000,-0.0005676433,0.00078197435,0.0027098472,4000,0,-0.040701427,-0.04668677,-9.799467,4000,0,0,0,1
1777225992425000,0.00023130562,-0.0010822373,0.009634068,4000,0,-0.01316811,-0.033518657,-9.79827,4000,0,0,0,1
1777225992429000,0.00023129892,0.00078197103,0.0037751107,4000,0,-0.011971008,-0.02513895,-9.810242,4000,0,0,0,1
1777225992433000,-0.001632914,0.001580917,-0.0060785855,4000,0,0.0,-0.04429256,-9.836578,4000,0,0,0,1
1777225992437000,-0.0040297476,0.0050430363,-0.005812272,4000,0,0.01436521,-0.06703748,-9.817425,4000,0,0,0,1
1777225992441000,-0.004296055,0.010103043,-0.0026164842,4000,0,0.0011971012,-0.0897824,-9.798271,4000,0,0,0,1
1777225992445000,-0.00562767,0.0058419746,-0.00634489,4000,0,-0.009576809,-0.10654181,-9.846155,4000,0,0,0,1
1777225992449000,-0.006959253,-0.0037453962,-0.0050132987,4000,0,0.009576809,-0.0814027,-9.852142,4000,0,0,0,1
1777225992453000,-0.0026981912,-0.0072074994,0.0027098602,4000,0,0.02633622,-0.049080964,-9.818621,4000,0,0,0,1
1777225992457000,-0.00030134167,-0.0013485518,0.005905639,4000,0,0.0047884043,-0.065840386,-9.8198185,4000,0,0,0,1
1777225992461000,-0.001100291,0.0055756625,0.0069709015,4000,0,-0.016759416,-0.0945708,-9.805455,4000,0,0,0,1
1777225992465000,0.0010302634,0.0015809265,0.009101433,4000,0,-0.008379708,-0.118512824,-9.783907,4000,0,0,0,1
1777225992469000,0.005025005,-0.0024138105,0.010965644,4000,0,0.0035913025,-0.13766645,-9.751583,4000,0,0,0,1
1777225992473000,0.007688137,0.0034451485,0.006704599,4000,0,-0.0047884043,-0.084993996,-9.7324295,4000,0,0,0,1
1777225992477000,0.0018291821,0.009570402,0.0027098677,4000,0,-0.02274492,-0.04908096,-9.785105,4000,0,0,0,1
1777225992481000,-0.0072255526,0.012499877,0.0024435604,4000,0,-0.015562311,-0.08020559,-9.824609,4000,0,0,0,1
1777225992485000,-0.0034971414,0.00850513,-0.0023501653,4000,0,-0.0011971011,-0.07661429,-9.78989,4000,0,0,0,1
1777225992489000,0.001030234,-0.00028330093,-0.005279639,4000,0,0.010773908,-0.05027807,-9.7719345,4000,0,0,0,1
1777225992493000,-0.0029645066,-0.008006453,-0.0031491101,4000,0,0.039504327,-0.041898366,-9.794681,4000,0,0,0,1
1777225992497000,-0.0037634517,-0.00827277,0.0011119475,4000,0,0.033518832,-0.06344618,-9.783907,4000,0,0,0,1
