timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1777225992729000,1777225992729000,1310988,1310988,-2.677168e-05,2.6563699e-05,7.643577e-06,0.00025857383,4.789088e-06,-0.03919787,4000,4000,0,0,0,1
1777225993229000,1777225993229000,1310988,1310988,-4.8076956e-05,1.27153e-05,5.558049e-05,7.6614466e-05,-0.00020111229,-0.03923139,4000,4000,0,0,0,1
1777225993729000,1777225993729000,1310988,1310988,2.0099971e-05,-3.263723e-06,1.8676063e-07,-9.097968e-05,-0.00036391802,-0.039149992,4000,4000,0,0,0,1
1777225994229000,1777225994229000,1310988,1310988,-5.4665047e-06,2.1237323e-05,-2.3249091e-05,0.00015322893,-0.00039743684,-0.039240967,4000,4000,0,0,0,1
1777225994729000,1777225994729000,1310988,1310988,2.4361043e-05,-3.2637508e-06,2.4687806e-05,1.43652105e-05,-4.7877193e-06,-0.03918351,4000,4000,0,0,0,1
1777225995229000,1777225995229000,1310988,1310988,6.251584e-06,-1.9242656e-05,5.5130577e-06,6.703766e-05,-0.00011970942,-0.03929843,4000,4000,0,0,0,1
1777225995729000,1777225995729000,1310988,1310988,-1.1857976e-05,2.0626283e-06,-8.335362e-06,6.703766e-05,-0.00017238186,-0.03925055,4000,4000,0,0,0,1
1777225996229000,1777225996229000,1310988,1310988,-0.00019614882,-0.00011405127,2.4686784e-05,0.00014365211,-4.3094922e-05,-0.040797196,4000,4000,0,0,0,1
1777225996729000,1777225996729000,1310988,1310988,6.910224e-05,2.869426e-05,3.8536065e-05,0.0,-4.787661e-06,-0.042535387,4000,4000,0,0,0,1
1777225997229000,1777225997229000,1310988,1310988,-2.8902195e-05,2.4433186e-05,4.447784e-06,-9.576807e-05,-0.00018195862,-0.04225288,4000,4000,0,0,0,1
1777225997729000,1777225997729000,1310988,1310988,3.0557312e-06,4.041214e-05,-1.1531191e-05,-0.00017717094,-0.00014365137,-0.04181713,4000,4000,0,0,0,1
1777225998229000,1777225998229000,1310988,1310988,-2.8902214e-05,-1.3916299e-05,-8.785958e-07,-0.00013407531,0.00013886439,-0.03962404,4000,4000,0,0,0,1
1777225998729000,1777225998729000,1310988,1310988,-3.3358756e-06,2.0625664e-06,-2.6444872e-05,0.00012449849,0.0001628064,-0.039403778,4000,4000,0,0,0,1
1777225999229000,1777225999229000,1310988,1310988,7.3167835e-06,-1.2851086e-05,1.2520056e-06,-3.8307233e-05,0.00034476578,-0.039571367,4000,4000,0,0,0,1
1777225999729000,1777225999729000,1310988,1310988,2.6491494e-05,-2.3503766e-05,1.190471e-05,9.5768075e-05,-1.9152934e-05,-0.039111685,4000,4000,0,0,0,1
1777226000229000,1777226000229000,1310988,1310988,-1.4000945e-07,-1.924267e-05,6.5783343e-06,5.7460842e-05,6.703834e-05,-0.03945645,4000,4000,0,0,0,1
1777226000729000,1777226000729000,1310988,1310988,5.1863503e-06,-9.655284e-06,-2.6444868e-05,2.3942019e-05,-0.00011013261,-0.03898719,4000,4000,0,0,0,1
1777226001229000,1777226001229000,1310988,1310988,-1.079266e-05,2.5498455e-05,3.4275217e-05,-3.3518827e-05,-7.1825365e-05,-0.039485183,4000,4000,0,0,0,1
1777226001729000,1777226001729000,1310988,1310988,-6.0860133e-05,2.5498422e-05,-4.6684912e-05,3.8307233e-05,-1.915293e-05,-0.03931279,4000,4000,0,0,0,1
1777226002229000,1777226002229000,1310988,1310988,9.252164e-07,-6.078797e-05,-1.0465979e-05,0.0,1.4365895e-05,-0.039288856,4000,4000,0,0,0,1
1777226002729000,1777226002729000,1310988,1310988,5.1862758e-06,1.2715253e-05,-5.1396096e-06,2.873042e-05,0.00011971078,-0.03898239,4000,4000,0,0,0,1
1777226003229000,1777226003229000,1310988,1310988,-4.8076934e-05,-4.9070153e-05,-1.8987897e-05,-0.000114921684,0.0002825165,-0.039207447,4000,4000,0,0,0,1
1777226003729000,1777226003729000,1310988,1310988,-4.8076978e-05,-4.3289956e-06,2.0426709e-05,5.267244e-05,0.00029688174,-0.038862683,4000,4000,0,0,0,1
1777226004229000,1777226004229000,1310988,1310988,9.252325e-07,-4.8004815e-05,1.2521116e-06,0.00010534488,0.0002154789,-0.04076368,4000,4000,0,0,0,1
1777226004729000,1777226004729000,1310988,1310988,2.01e-05,-3.2637156e-06,2.5753065e-05,0.000119710094,3.3519544e-05,-0.040964797,4000,4000,0,0,0,1
