timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
1777225992353000,1777225992195000,1777225992201000,47.397742,8.5455937,0,0.25,0.25,0.007899564,0.00072653656,0.006315342,0.0014789322,0.2575036,0.25751242,9.693551e-06,8.1993e-08,1.3000199e-05,-2.202239e-07,0,0,1
1777225992401000,1777225992247000,1777225992249000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0034599155,0.00070660905,0.0053944844,0.0014061772,0.25747752,0.25748628,1.8597375e-06,7.756473e-08,1.160035e-05,-1.9217134e-07,0,0,1
1777225992457000,1777225992299000,1777225992305000,47.397742,8.5455936,0,0.25,0.25,0.007861406,0.008221396,0.0056268754,0.0020481907,0.25750384,0.25751254,9.600121e-06,1.0499117e-05,1.1411923e-05,8.149791e-07,0,0,1
1777225992505000,1777225992351000,1777225992353000,47.397742,8.5455937,0,0.25,0.25,0.007714661,0.00044654874,0.0058235507,0.0018973113,0.25747776,0.2574864,9.246001e-06,3.097729e-08,1.1207887e-05,7.4112387e-07,0,0,1
1777225992561000,1777225992403000,1777225992409000,47.3977419,8.5455936,0,0.25,0.25,0.018714197,0.007985091,0.0070378873,0.0024707979,0.25750363,0.25751242,5.4402524e-05,9.904249e-06,1.5276948e-05,1.6043169e-06,0,0,1
1777225992609000,1777225992455000,1777225992457000,47.397742099999995,8.5455936,0,0.25,0.25,-0.0040705428,0.007733644,0.005991441,0.0029665732,0.25747755,0.25748628,2.574099e-06,9.291251e-06,1.3595328e-05,2.3284485e-06,0,0,1
1777225992665000,1777225992507000,1777225992513000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0038850957,-0.000111893714,0.0050610425,0.0026765727,0.25750387,0.25751257,2.344659e-06,1.944791e-09,1.2093735e-05,2.1089188e-06,0,0,1
1777225992713000,1777225992559000,1777225992561000,47.397742099999995,8.5455939,0,0.25,0.25,-0.0037401428,-0.015212373,0.004231945,0.000991382,0.2574778,0.25748643,2.1731844e-06,3.5950055e-05,1.0749749e-05,-1.476347e-06,0,0,1
1777225992769000,1777225992611000,1777225992617000,47.397742,8.545593799999999,0,0.25,0.25,0.007595087,-0.0072902106,0.004548763,0.00021123199,0.25750366,0.25751242,8.960703e-06,8.255473e-06,1.0581216e-05,-2.1149604e-06,0,0,1
1777225992817000,1777225992663000,1777225992665000,47.397742,8.5455939,0,0.25,0.25,0.007398294,-0.0146447355,0.004817197,-0.0011882434,0.25747758,0.2574863,8.503226e-06,3.3317232e-05,1.0385464e-05,-5.054305e-06,0,0,1
1777225992873000,1777225992715000,1777225992721000,47.397742099999995,8.5455939,0,0.25,0.25,-0.0039035368,-0.014330017,0.0039956784,-0.0024262366,0.2575039,0.25751257,2.36697e-06,3.189738e-05,9.1841475e-06,-7.5830003e-06,0,0,1
1777225992921000,1777225992767000,1777225992769000,47.397742099999995,8.545594,0,0.25,0.25,-0.0037559816,-0.021580936,0.0032654495,-0.004230665,0.25747782,0.25748646,2.1916292e-06,7.235127e-05,8.112516e-06,-1.3684359e-05,0,0,1
