timestamp,nav_state,failure
1777225992201000,3,0
1777225992721000,3,0
1777225993225000,3,0
1777225993729000,3,0
1777225994233000,3,0
1777225994737000,3,0
1777225995241000,3,0
1777225995745000,3,0
1777225996249000,3,0
1777225996753000,3,0
1777225997257000,3,0
1777225997769000,3,0
1777225998273000,3,0
1777225998777000,3,0
1777225999281000,3,0
1777225999785000,3,0
1777226000289000,3,0
1777226000793000,3,0
1777226001297000,3,0
1777226001801000,3,0
1777226002305000,3,0
1777226002809000,3,0
1777226003313000,3,0
1777226003817000,3,0
1777226004321000,3,0
1777226004825000,3,0
1777226005329000,3,0
1777226005833000,3,0
1777226006337000,3,0
1777226006841000,3,0
1777226007345000,3,0
1777226007849000,3,0
1777226008353000,3,0
1777226008865000,3,0
1777226009369000,3,0
1777226009873000,3,0
1777226010377000,3,0
1777226010881000,3,0
1777226011385000,3,0
1777226011889000,3,0
1777226012393000,3,0
1777226012897000,3,0
1777226013401000,3,0
1777226013905000,3,0
1777226014409000,3,0
1777226014913000,3,0
1777226015417000,3,0
1777226015921000,3,0
1777226016425000,3,0
1777226016929000,3,0
1777226017433000,3,0
1777226017937000,3,0
1777226018441000,3,0
1777226018945000,3,0
1777226019449000,3,0
1777226019953000,3,0
1777226020457000,3,0
1777226020961000,3,0
1777226021465000,3,0
1777226021969000,3,0
1777226022473000,3,0
1777226022977000,3,0
1777226023481000,3,0
1777226023985000,3,0
1777226024489000,3,0
1777226024993000,3,0
1777226025497000,3,0
1777226025709000,4,0
1777226026241000,4,0
1777226026785000,4,0
1777226027297000,4,0
1777226027801000,4,0
1777226028305000,4,0
1777226028809000,4,0
1777226029313000,4,0
1777226029817000,4,0
1777226030321000,4,0
1777226030717000,5,0
1777226031233000,5,0
1777226031737000,5,0
1777226032241000,5,0
1777226032745000,5,0
1777226033249000,5,0
1777226033753000,5,0
1777226034257000,5,0
1777226034761000,5,0
1777226035265000,5,0
1777226035769000,5,0
1777226036273000,5,0
1777226036777000,5,0
1777226037281000,5,0
1777226037785000,5,0
1777226038289000,5,0
1777226038793000,5,0
1777226039297000,5,0
1777226039801000,5,0
1777226040305000,5,0
1777226040809000,5,0
1777226041313000,5,0
1777226041817000,5,0
1777226042321000,5,0
1777226042833000,5,0
1777226043337000,5,0
1777226043881000,5,0
1777226044393000,5,0
1777226044897000,5,0
1777226045401000,5,0
1777226045905000,5,0
1777226046409000,5,0
1777226046961000,5,0
1777226047465000,5,0
1777226047969000,5,0
1777226048481000,5,0
1777226048985000,5,0
1777226049489000,5,0
1777226049993000,5,0
1777226050497000,5,0
1777226051005000,5,0
1777226051553000,5,0
1777226052057000,5,0
1777226052561000,5,0
1777226053065000,5,0
1777226053569000,5,0
1777226054073000,5,0
1777226054577000,5,0
1777226055081000,5,0
1777226055585000,5,0
1777226056089000,5,0
1777226056593000,5,0
1777226057097000,5,0
1777226057601000,5,0
1777226058105000,5,0
1777226058609000,5,0
1777226059113000,5,0
1777226059617000,5,0
1777226060121000,5,0
1777226060625000,5,0
1777226061129000,5,0
1777226061633000,5,0
1777226062137000,5,0
1777226062641000,5,0
1777226063145000,5,0
1777226063649000,5,0
1777226064153000,5,0
1777226064657000,5,0
1777226065161000,5,0
1777226065665000,5,0
1777226066169000,5,0
1777226066673000,5,0
1777226067177000,5,0
1777226067685000,5,0
1777226068233000,5,0
1777226068745000,5,0
1777226069289000,5,0
1777226069801000,5,0
1777226070353000,5,0
1777226070857000,5,0
1777226071361000,5,0
1777226071865000,5,0
1777226072369000,5,0
1777226072873000,5,0
1777226073377000,5,0
1777226073881000,5,0
1777226074385000,5,0
1777226074889000,5,0
1777226075393000,5,0
1777226075897000,5,0
1777226076401000,5,0
1777226076905000,5,0
1777226077409000,5,0
1777226077913000,5,0
1777226078417000,5,0
1777226078921000,5,0
1777226079425000,5,0
1777226079929000,5,0
1777226080433000,5,0
1777226080937000,5,0
1777226081441000,5,0
1777226081945000,5,0
1777226082449000,5,0
1777226082953000,5,0
1777226083457000,5,0
1777226083961000,5,0
1777226084465000,5,0
1777226084969000,5,0
1777226085473000,5,0
1777226085977000,5,0
1777226086489000,5,0
1777226086993000,5,0
1777226087505000,5,0
1777226088009000,5,0
1777226088513000,5,0
1777226089017000,5,0
1777226089373000,3,0
1777226089877000,3,0
