timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
1777225993237000,1777225993237000,197388,0.21245036,0.005341523,0.43941543,0.0,0
1777225994233000,1777225994233000,197388,0.22059947,0.00072509376,0.4291072,0.0,0
1777225995237000,1777225995237000,197388,0.2176894,0.011367782,0.4229579,0.0,0
1777225996233000,1777225996233000,197388,0.21255039,0.005623942,0.43240047,0.0,0
1777225997237000,1777225997237000,197388,0.21948394,0.0055850693,0.42667586,0.0,0
1777225998237000,1777225998237000,197388,0.21748568,0.0034087512,0.42400026,0.0,0
1777225999237000,1777225999237000,197388,0.21664387,-0.0010999852,0.4326239,0.0,0
1777226000237000,1777226000237000,197388,0.21194082,0.008993915,0.42756888,0.0,0
1777226001237000,1777226001237000,197388,0.2104732,0.003262486,0.4262722,0.0,0
1777226002237000,1777226002237000,197388,0.22230214,0.001739648,0.41791356,0.0,0
1777226003233000,1777226003233000,197388,0.21148646,-0.007677937,0.43043476,0.0,0
1777226004237000,1777226004237000,197388,0.21594505,0.004338519,0.42362782,0.0,0
1777226005237000,1777226005237000,197388,0.21549378,0.009480329,0.4299373,0.0,0
1777226006237000,1777226006237000,197388,0.22198905,0.007964638,0.4325879,0.0,0
1777226007237000,1777226007237000,197388,0.21937639,0.007449127,0.4352552,0.0,0
1777226008237000,1777226008237000,197388,0.2203676,-0.0063602775,0.43140063,0.0,0
1777226009237000,1777226009237000,197388,0.34252807,0.015335206,0.32144466,0.0,0
1777226010237000,1777226010237000,197388,0.31216252,0.012474849,0.36371526,0.0,0
1777226011237000,1777226011237000,197388,0.20543428,0.00442376,0.43124726,0.0,0
1777226012237000,1777226012237000,197388,0.20146085,0.012604877,0.4385257,0.0,0
1777226013237000,1777226013237000,197388,0.2325722,0.00951439,0.42697647,0.0,0
1777226014237000,1777226014237000,197388,0.23130678,0.005144469,0.42106384,0.0,0
1777226015237000,1777226015237000,197388,0.22654496,0.011328313,0.41859347,0.0,0
1777226016237000,1777226016237000,197388,0.23405564,0.01567471,0.42260006,0.0,0
1777226017237000,1777226017237000,197388,0.22844361,0.016310446,0.42277873,0.0,0
1777226018237000,1777226018237000,197388,0.23429677,0.013080082,0.41646647,0.0,0
1777226019237000,1777226019237000,197388,0.23366743,0.009046251,0.42230296,0.0,0
1777226020237000,1777226020237000,197388,0.23182482,-0.0011604285,0.42332053,0.0,0
1777226021237000,1777226021237000,197388,0.22110365,0.009651574,0.41984814,0.0,0
1777226022237000,1777226022237000,197388,0.21952328,0.0078110835,0.43027437,0.0,0
1777226023233000,1777226023233000,197388,0.22270471,0.0056465063,0.41741446,0.0,0
1777226024237000,1777226024237000,197388,0.23617029,0.019856326,0.42671338,0.0,0
1777226025237000,1777226025237000,197388,0.2300545,0.010295525,0.42278025,0.0,0
1777226026237000,1777226026237000,197388,0.16971217,0.0046003093,0.44441238,0.0,0
1777226027237000,1777226027237000,197388,0.050679035,0.0052378117,0.47546145,0.0,0
1777226028237000,1777226028237000,197388,0.17290269,0.010076447,0.44506687,0.0,0
1777226029233000,1777226029233000,197388,0.23785506,0.006577965,0.4100066,0.0,0
1777226030237000,1777226030237000,197388,0.22916016,0.009017435,0.41119903,0.0,0
1777226031237000,1777226031237000,197388,0.20445532,0.013738894,0.43444777,0.0,0
1777226032237000,1777226032237000,197388,0.206397,0.006625189,0.43962833,0.0,0
1777226033237000,1777226033237000,197388,0.2140812,0.018826481,0.4362991,0.0,0
1777226034237000,1777226034237000,197388,0.22071467,0.017599653,0.42380562,0.0,0
1777226035237000,1777226035237000,197388,0.2160243,0.012164405,0.42429528,0.0,0
1777226036237000,1777226036237000,197388,0.2215571,0.01734125,0.44254532,0.0,0
1777226037237000,1777226037237000,197388,0.21319534,0.0072749634,0.41916996,0.0,0
1777226038237000,1777226038237000,197388,0.21516891,0.012563606,0.42794776,0.0,0
1777226039237000,1777226039237000,197388,0.21243319,0.0052967584,0.43380004,0.0,0
1777226040233000,1777226040233000,197388,0.053370647,-0.009816178,0.48361725,0.0,0
1777226041237000,1777226041237000,197388,0.08350238,-0.06251633,0.4660253,0.0,0
1777226042237000,1777226042237000,197388,-0.026355578,-0.22927508,0.41547188,0.0,0
1777226043237000,1777226043237000,197388,-0.18870391,-0.12506858,0.4208412,0.0,0
1777226044237000,1777226044237000,197388,-0.19878809,-0.018966453,0.4397034,0.0,0
1777226045237000,1777226045237000,197388,-0.18857923,0.0044234404,0.4430726,0.0,0
1777226046237000,1777226046237000,197388,-0.19543433,-0.015730336,0.438381,0.0,0
1777226047237000,1777226047237000,197388,-0.20669393,-0.0145868845,0.44138783,0.0,0
1777226048237000,1777226048237000,197388,-0.20454466,-0.014454079,0.43933862,0.0,0
1777226049237000,1777226049237000,197388,-0.20414092,-0.017080938,0.43101293,0.0,0
1777226050237000,1777226050237000,197388,-0.20161983,-0.0055860276,0.43713,0.0,0
1777226051237000,1777226051237000,197388,-0.20458683,-0.008777603,0.4250274,0.0,0
1777226052233000,1777226052233000,197388,-0.20215039,-0.010895966,0.42923334,0.0,0
1777226053237000,1777226053237000,197388,-0.20232892,-0.025811749,0.42941874,0.0,0
1777226054237000,1777226054237000,197388,-0.19715753,-0.008233586,0.42685264,0.0,0
1777226055237000,1777226055237000,197388,-0.20390323,-0.012512177,0.4441482,0.0,0
1777226056237000,1777226056237000,197388,-0.24907748,-0.008076007,0.41380414,0.0,0
1777226057237000,1777226057237000,197388,-0.2832845,-0.008118384,0.3874109,0.0,0
1777226058237000,1777226058237000,197388,-0.26633447,-0.008767085,0.40273157,0.0,0
1777226059233000,1777226059233000,197388,-0.241714,-0.019751804,0.42208213,0.0,0
1777226060237000,1777226060237000,197388,-0.19299898,-0.10218555,0.42472178,0.0,0
1777226061237000,1777226061237000,197388,-0.08175956,-0.20369941,0.43214792,0.0,0
1777226062237000,1777226062237000,197388,0.14490661,-0.17026342,0.4123852,0.0,0
1777226063237000,1777226063237000,197388,0.20820911,-0.06103988,0.42255914,0.0,0
1777226064237000,1777226064237000,197388,0.2281492,0.0059771347,0.4385287,0.0,0
1777226065237000,1777226065237000,197388,0.20850775,-0.0069526145,0.42394686,0.0,0
1777226066237000,1777226066237000,197388,0.21840543,0.012436755,0.43041763,0.0,0
