timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
1777225990841000,0,0,0,0,0,0
1777225991345000,0,0,0,0,0,0
1777225991853000,0,0,0,0,0,0
1777225992357000,0,0,0,0,0,0
1777225992861000,0,0,0,0,0,0
1777225993365000,0,0,0,0,0,0
1777225993869000,0,0,0,0,0,0
1777225994373000,0,0,0,0,0,0
1777225994877000,0,0,0,0,0,0
1777225995381000,0,0,0,0,0,0
1777225995885000,0,0,0,0,0,0
1777225996389000,0,0,0,0,0,0
1777225996893000,0,0,0,0,0,0
1777225997401000,0,0,0,0,0,0
1777225997905000,0,0,0,0,0,0
1777225998409000,0,0,0,0,0,0
1777225998913000,0,0,0,0,0,0
1777225999417000,0,0,0,0,0,0
1777225999921000,0,0,0,0,0,0
1777226000425000,0,0,0,0,0,0
1777226000929000,0,0,0,0,0,0
1777226001433000,0,0,0,0,0,0
1777226001937000,0,0,0,0,0,0
1777226002445000,0,0,0,0,0,0
1777226002949000,0,0,0,0,0,0
1777226003453000,0,0,0,0,0,0
1777226003957000,0,0,0,0,0,0
1777226004461000,0,0,0,0,0,0
1777226004965000,0,0,0,0,0,0
1777226005469000,0,0,0,0,0,0
1777226005973000,0,0,0,0,0,0
1777226006477000,0,0,0,0,0,0
1777226006981000,0,0,0,0,0,0
1777226007485000,0,0,0,0,0,0
1777226007993000,0,0,0,0,0,0
1777226008497000,0,0,0,0,0,0
1777226009001000,0,0,0,0,0,0
1777226009505000,0,0,0,0,0,0
1777226010009000,0,0,0,0,0,0
1777226010513000,0,0,0,0,0,0
1777226011017000,0,0,0,0,0,0
1777226011521000,0,0,0,0,0,0
1777226012025000,0,0,0,0,0,0
1777226012529000,0,0,0,0,0,0
1777226013033000,0,0,0,0,0,0
1777226013537000,0,0,0,0,0,0
1777226014041000,0,0,0,0,0,0
1777226014545000,0,0,0,0,0,0
1777226015049000,0,0,0,0,0,0
1777226015553000,0,0,0,0,0,0
1777226016057000,0,0,0,0,0,0
1777226016561000,0,0,0,0,0,0
1777226017065000,0,0,0,0,0,0
1777226017569000,0,0,0,0,0,0
1777226018073000,0,0,0,0,0,0
1777226018577000,0,0,0,0,0,0
1777226019081000,0,0,0,0,0,0
1777226019585000,0,0,0,0,0,0
1777226020089000,0,0,0,0,0,0
1777226020593000,0,0,0,0,0,0
1777226021097000,0,0,0,0,0,0
1777226021601000,0,0,0,0,0,0
1777226022105000,0,0,0,0,0,0
1777226022609000,0,0,0,0,0,0
1777226023113000,0,0,0,0,0,0
1777226023617000,0,0,0,0,0,0
1777226024121000,0,0,0,0,0,0
1777226024625000,0,0,0,0,0,0
1777226025129000,0,0,0,0,0,0
1777226025633000,0,0,0,0,0,0
1777226026141000,0,0,0,0,0,0
1777226026645000,0,0,0,0,0,0
1777226027149000,0,0,0,0,0,0
1777226027657000,0,0,0,0,0,0
1777226028161000,0,0,0,0,0,0
1777226028665000,0,0,0,0,0,0
1777226029169000,0,0,0,0,0,0
1777226029673000,0,0,0,0,0,0
1777226030177000,0,0,0,0,0,0
1777226030681000,0,0,0,0,0,0
1777226031185000,0,0,0,0,0,0
1777226031689000,0,0,0,0,0,0
1777226032193000,0,0,0,0,0,0
1777226032697000,0,0,0,0,0,0
1777226033201000,0,0,0,0,0,0
1777226033705000,0,0,0,0,0,0
1777226034209000,0,0,0,0,0,0
1777226034713000,0,0,0,0,0,0
1777226035217000,0,0,0,0,0,0
1777226035721000,0,0,0,0,0,0
1777226036225000,0,0,0,0,0,0
1777226036729000,0,0,0,0,0,0
1777226037233000,0,0,0,0,0,0
1777226037737000,0,0,0,0,0,0
1777226038241000,0,0,0,0,0,0
1777226038745000,0,0,0,0,0,0
1777226039249000,0,0,0,0,0,0
1777226039753000,0,0,0,0,0,0
1777226040257000,0,0,0,0,0,0
1777226040761000,0,0,0,0,0,0
1777226041265000,0,0,0,0,0,0
1777226041769000,0,0,0,0,0,0
1777226042273000,0,0,0,0,0,0
1777226042777000,0,0,0,0,0,0
1777226043281000,0,0,0,0,0,0
1777226043785000,0,0,0,0,0,0
1777226044293000,0,0,0,0,0,0
1777226044797000,0,0,0,0,0,0
1777226045301000,0,0,0,0,0,0
1777226045805000,0,0,0,0,0,0
1777226046317000,0,0,0,0,0,0
1777226046821000,0,0,0,0,0,0
1777226047325000,0,0,0,0,0,0
1777226047829000,0,0,0,0,0,0
1777226048337000,0,0,0,0,0,0
1777226048841000,0,0,0,0,0,0
1777226049349000,0,0,0,0,0,0
1777226049853000,0,0,0,0,0,0
1777226050357000,0,0,0,0,0,0
1777226050861000,0,0,0,0,0,0
1777226051365000,0,0,0,0,0,0
1777226051869000,0,0,0,0,0,0
1777226052373000,0,0,0,0,0,0
1777226052877000,0,0,0,0,0,0
1777226053381000,0,0,0,0,0,0
1777226053885000,0,0,0,0,0,0
1777226054389000,0,0,0,0,0,0
1777226054893000,0,0,0,0,0,0
1777226055397000,0,0,0,0,0,0
1777226055901000,0,0,0,0,0,0
1777226056405000,0,0,0,0,0,0
1777226056909000,0,0,0,0,0,0
1777226057413000,0,0,0,0,0,0
1777226057917000,0,0,0,0,0,0
1777226058421000,0,0,0,0,0,0
1777226058925000,0,0,0,0,0,0
1777226059429000,0,0,0,0,0,0
1777226059933000,0,0,0,0,0,0
1777226060437000,0,0,0,0,0,0
1777226060941000,0,0,0,0,0,0
1777226061445000,0,0,0,0,0,0
1777226061949000,0,0,0,0,0,0
1777226062453000,0,0,0,0,0,0
1777226062957000,0,0,0,0,0,0
1777226063461000,0,0,0,0,0,0
1777226063965000,0,0,0,0,0,0
1777226064469000,0,0,0,0,0,0
1777226064973000,0,0,0,0,0,0
1777226065477000,0,0,0,0,0,0
1777226065981000,0,0,0,0,0,0
1777226066485000,0,0,0,0,0,0
1777226066989000,0,0,0,0,0,0
1777226067493000,0,0,0,0,0,0
1777226067997000,0,0,0,0,0,0
1777226068501000,0,0,0,0,0,0
1777226069005000,0,0,0,0,0,0
1777226069509000,0,0,0,0,0,0
1777226070013000,0,0,0,0,0,0
1777226070517000,0,0,0,0,0,0
1777226071021000,0,0,0,0,0,0
1777226071525000,0,0,0,0,0,0
1777226072029000,0,0,0,0,0,0
1777226072533000,0,0,0,0,0,0
1777226073037000,0,0,0,0,0,0
1777226073541000,0,0,0,0,0,0
1777226074045000,0,0,0,0,0,0
1777226074549000,0,0,0,0,0,0
1777226075053000,0,0,0,0,0,0
1777226075557000,0,0,0,0,0,0
1777226076061000,0,0,0,0,0,0
1777226076565000,0,0,0,0,0,0
1777226077069000,0,0,0,0,0,0
1777226077573000,0,0,0,0,0,0
1777226078077000,0,0,0,0,0,0
1777226078581000,0,0,0,0,0,0
1777226079085000,0,0,0,0,0,0
1777226079589000,0,0,0,0,0,0
1777226080093000,0,0,0,0,0,0
1777226080597000,0,0,0,0,0,0
1777226081101000,0,0,0,0,0,0
1777226081605000,0,0,0,0,0,0
1777226082109000,0,0,0,0,0,0
1777226082613000,0,0,0,0,0,0
