timestamp,time_estimate,safe_time_estimate,valid
1777225992425000,0.0,0.0,0
1777225994441000,0.09487362,100.10436,1
1777225996457000,0.100137256,100.11015,1
1777225998473000,1.2187673,101.340645,1
1777226000489000,3.0933754,103.40271,1
1777226002513000,5.078193,105.58601,1
1777226004529000,7.1250734,107.83758,1
1777226006545000,8.994282,109.89371,1
1777226008561000,9.632994,110.59629,1
1777226010577000,10.890924,111.98002,1
1777226012593000,28.33297,131.16626,1
1777226014609000,30.212477,133.23373,1
1777226016625000,32.181686,135.39986,1
1777226018641000,34.162075,137.57828,1
1777226020657000,36.176956,139.79465,1
1777226022673000,38.20405,142.02444,1
1777226024689000,40.2166,144.23825,1
1777226026737000,42.184265,146.4027,1
1777226028761000,42.62002,146.88202,1
1777226030769000,42.5853,146.84383,1
1777226032793000,41.63153,145.79468,1
1777226034809000,39.655674,143.62125,1
1777226036825000,38.3482,142.18301,1
1777226038841000,37.85663,141.64229,1
1777226040857000,37.110184,140.8212,1
1777226042881000,35.07044,138.57748,1
1777226044897000,33.145077,136.4596,1
1777226046905000,31.175314,134.29285,1
1777226048929000,29.141111,132.05522,1
1777226050945000,27.12697,129.83966,1
1777226052961000,25.104643,127.61511,1
1777226054977000,23.094034,125.40344,1
1777226056993000,21.185976,123.30457,1
1777226059009000,19.970297,121.96733,1
1777226061025000,18.290161,120.11918,1
1777226063041000,16.32129,117.953415,1
1777226065057000,14.308919,115.73981,1
1777226067073000,12.300923,113.53101,1
1777226069089000,10.286357,111.314995,1
1777226071105000,8.274475,109.10192,1
1777226073121000,6.267212,106.893936,1
1777226075137000,4.645345,105.10988,1
1777226077153000,3.4924316,103.841675,1
1777226079169000,2.5639648,102.82036,1
1777226081185000,1.636149,101.79977,1
1777226083201000,0.71940106,100.79134,1
1777226085217000,0.095692955,100.10526,1
1777226087241000,0.18447876,100.20293,1
1777226089273000,0.0,0.0,0
