timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
1777227498785000,0.0,0.0,0.0
1777227498789000,0.0,0.0,0.0
1777227498985000,0.0,0.0,0.0
1777227499185000,0.0,0.0,0.0
1777227499385000,0.0,0.0,0.0
1777227499585000,0.0,0.0,0.0
1777227499785000,0.0,0.0,0.0
1777227499985000,0.0,0.0,0.0
1777227500185000,0.0,0.0,0.0
1777227500385000,0.0,0.0,0.0
1777227500585000,0.0,0.0,0.0
1777227500785000,0.0,0.0,0.0
1777227500985000,0.0,0.0,0.0
1777227501185000,0.00018041524,-8.614582e-05,-6.130256e-07
1777227501385000,0.001073319,-0.00052857253,5.699886e-05
1777227501585000,0.0020395683,-0.00089402724,6.052993e-05
1777227501785000,0.0031736568,-0.0013325218,5.6604556e-05
1777227501985000,0.004457726,-0.0016707274,3.1420393e-05
1777227502185000,0.0056400984,-0.001778916,7.363961e-05
1777227502385000,0.0070861257,-0.0018298082,0.00010985059
1777227502585000,0.008494231,-0.001862528,0.00011018498
1777227502785000,0.009867623,-0.0017096543,0.000109594876
1777227502985000,0.01134021,-0.0014014712,0.00011968318
1777227503185000,0.009692071,-0.0010946906,0.000109002314
1777227503385000,0.0065511204,-0.0008074584,9.818802e-05
1777227503585000,0.00482226,-0.00061655353,5.3414737e-05
1777227503785000,0.0037815915,-0.0004603604,5.955254e-05
1777227503985000,0.0029770362,-0.00037945423,9.867633e-05
1777227504185000,0.0023336406,-0.0002931735,0.000100849444
1777227504385000,0.0018459121,-0.00025050793,0.000102083126
1777227504585000,0.0015032348,-0.00014423594,2.876881e-05
1777227504785000,0.0012111113,-0.00015493353,3.2550568e-05
1777227504985000,0.0009465063,-0.00014069036,7.76013e-05
1777227505185000,0.00067368365,-5.346803e-05,3.311967e-05
1777227505385000,0.00064100034,-3.4891247e-05,3.6844296e-05
1777227505585000,0.0004894375,-3.2815173e-05,3.415279e-05
1777227505785000,0.00037361064,-7.1710296e-05,5.1829156e-06
1777227505985000,0.00029369013,-4.806066e-05,3.3357566e-05
1777227506185000,0.00017687054,6.1208026e-05,5.9901307e-05
1777227506385000,9.382457e-05,-1.2701188e-05,3.9741455e-05
1777227506585000,0.00011127082,1.9054596e-07,-2.5271185e-05
1777227506785000,7.5543416e-05,4.908489e-06,-2.5007153e-06
1777227506985000,1.9712375e-06,1.8193396e-05,1.2133311e-05
1777227507185000,2.0909762e-05,1.6649154e-05,3.0461215e-05
1777227507385000,8.089137e-06,-8.720573e-06,-7.441383e-06
1777227507585000,1.831614e-05,1.0421117e-05,-7.8967096e-05
1777227507785000,1.4978716e-05,5.766323e-06,-7.103545e-05
1777227507985000,3.1290263e-05,-5.6102024e-05,-6.245087e-05
1777227508185000,2.6919752e-05,2.583332e-06,5.9940257e-06
1777227508385000,-5.6377037e-05,-6.740927e-05,5.7932863e-05
1777227508585000,-0.00012852388,-6.0917897e-05,0.00012126897
1777227508781000,-6.19349e-05,-1.8879686e-05,1.199462e-05
1777227508985000,6.169372e-07,-2.9247181e-05,-7.6679156e-05
1777227509185000,4.1064755e-05,1.897005e-05,-6.638698e-05
1777227509385000,4.7745267e-05,5.497568e-05,-8.510112e-06
1777227509585000,2.0986525e-05,3.5365298e-05,1.9304915e-05
1777227509785000,3.7307796e-05,4.6535156e-06,1.789093e-06
1777227509985000,3.9777973e-05,-1.706449e-05,-1.7631597e-05
1777227510185000,5.2263393e-05,7.071364e-06,-7.147318e-05
1777227510385000,3.2968117e-05,2.506615e-05,-4.0100156e-05
1777227510585000,7.180522e-05,-3.5995687e-05,-5.7532172e-05
1777227510785000,6.1953433e-06,6.587228e-06,5.6237404e-06
1777227510985000,-5.1778665e-05,1.6759043e-06,8.020051e-05
1777227511185000,-7.579032e-05,-2.7396349e-05,4.7451766e-05
1777227511385000,-4.8914277e-05,-1.8428651e-05,3.4228688e-05
1777227511581000,-3.091387e-05,-6.234198e-05,-3.8373702e-05
1777227511785000,1.61764e-06,-2.4719146e-05,-1.682814e-05
1777227511985000,5.7652254e-05,-4.184743e-05,-5.372701e-06
1777227512185000,-3.2142703e-05,3.1622685e-06,-4.6927915e-05
1777227512385000,-2.606519e-05,4.3682903e-05,-7.037354e-05
1777227512585000,4.2400305e-05,2.8776356e-05,2.2959479e-05
1777227512781000,-1.6993949e-05,2.6234264e-05,4.872126e-05
1777227512985000,-2.5959514e-05,-4.6387486e-06,3.560269e-05
1777227513185000,-5.2109943e-05,-0.0012300368,0.00044544615
1777227513385000,-0.0004449031,-0.0026818712,0.0009254384
1777227513585000,-0.0004129464,-0.0026795699,0.00036242255
1777227513781000,7.17237e-05,-0.0020057443,-0.0002557061
1777227513985000,0.00039553677,-2.6704129e-05,-0.00055829016
1777227514185000,0.0003778489,0.0013932437,-0.00051691034
1777227514385000,0.00015912292,0.0017219784,-0.00028023057
1777227514585000,-5.5653945e-05,0.0015610078,-6.555512e-05
1777227514785000,-6.910346e-05,0.0012609535,0.00011445701
1777227514985000,-0.00013631815,0.0017728163,0.00015816
1777227515185000,2.2565466e-05,0.0028380675,6.8400586e-05
1777227515385000,0.00011390569,0.0026550698,-2.8182914e-05
1777227515585000,8.6014e-05,0.0022140588,-6.8010224e-05
1777227515785000,1.8124797e-06,0.0008848822,-5.79177e-05
1777227515985000,8.223796e-06,-0.0010303886,-8.389412e-05
1777227516185000,4.0978866e-05,-0.0013671959,-7.2605515e-05
1777227516385000,-6.445866e-05,-0.001186925,-1.1001406e-05
1777227516585000,-2.4398105e-05,-0.0009615359,-7.887225e-05
1777227516785000,5.20716e-05,-0.0008735111,-5.1623476e-05
1777227516985000,2.8824728e-05,-0.00078301324,3.6468078e-05
1777227517185000,-2.149833e-05,-0.00067648257,6.899665e-05
1777227517385000,-3.600023e-05,-0.0005615479,9.917657e-05
1777227517585000,1.1881855e-05,-0.0005156271,9.541111e-05
1777227517785000,-6.8532754e-05,-0.00035222148,2.2614771e-05
1777227517985000,-2.401145e-05,-0.0002813814,-8.9110334e-05
1777227518185000,5.5347515e-05,-0.0002051224,-9.723432e-05
1777227518385000,-3.2405605e-06,-0.000111825444,1.4103492e-05
