timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
1777227496901000,0,0,0,0,0,0
1777227497405000,0,0,0,0,0,0
1777227497909000,0,0,0,0,0,0
1777227498413000,0,0,0,0,0,0
1777227498917000,0,0,0,0,0,0
1777227499421000,0,0,0,0,0,0
1777227499925000,0,0,0,0,0,0
1777227500429000,0,0,0,0,0,0
1777227500933000,0,0,0,0,0,0
1777227501437000,0,0,0,0,0,0
1777227501941000,0,0,0,0,0,0
1777227502445000,0,0,0,0,0,0
1777227502949000,0,0,0,0,0,0
1777227503453000,0,0,0,0,0,0
1777227503957000,0,0,0,0,0,0
1777227504461000,0,0,0,0,0,0
1777227504965000,0,0,0,0,0,0
1777227505469000,0,0,0,0,0,0
1777227505973000,0,0,0,0,0,0
1777227506477000,0,0,0,0,0,0
1777227506981000,0,0,0,0,0,0
1777227507485000,0,0,0,0,0,0
1777227507989000,0,0,0,0,0,0
1777227508493000,0,0,0,0,0,0
1777227508997000,0,0,0,0,0,0
1777227509501000,0,0,0,0,0,0
1777227510005000,0,0,0,0,0,0
1777227510509000,0,0,0,0,0,0
1777227511013000,0,0,0,0,0,0
1777227511517000,0,0,0,0,0,0
1777227512021000,0,0,0,0,0,0
1777227512529000,0,0,0,0,0,0
1777227513033000,0,0,0,0,0,0
1777227513537000,0,0,0,0,0,0
1777227514041000,0,0,0,0,0,0
1777227514545000,0,0,0,0,0,0
1777227515049000,0,0,0,0,0,0
1777227515553000,0,0,0,0,0,0
1777227516057000,0,0,0,0,0,0
1777227516561000,0,0,0,0,0,0
1777227517065000,0,0,0,0,0,0
1777227517569000,0,0,0,0,0,0
1777227518073000,0,0,0,0,0,0
1777227518577000,0,0,0,0,0,0
1777227519081000,0,0,0,0,0,0
1777227519585000,0,0,0,0,0,0
1777227520089000,0,0,0,0,0,0
1777227520593000,0,0,0,0,0,0
1777227521097000,0,0,0,0,0,0
1777227521601000,0,0,0,0,0,0
1777227522105000,0,0,0,0,0,0
1777227522609000,0,0,0,0,0,0
1777227523113000,0,0,0,0,0,0
1777227523617000,0,0,0,0,0,0
1777227524121000,0,0,0,0,0,0
1777227524625000,0,0,0,0,0,0
1777227525129000,0,0,0,0,0,0
1777227525633000,0,0,0,0,0,0
1777227526137000,0,0,0,0,0,0
1777227526641000,0,0,0,0,0,0
1777227527145000,0,0,0,0,0,0
1777227527649000,0,0,0,0,0,0
1777227528153000,0,0,0,0,0,0
1777227528657000,0,0,0,0,0,0
1777227529161000,0,0,0,0,0,0
1777227529665000,0,0,0,0,0,0
1777227530169000,0,0,0,0,0,0
1777227530673000,0,0,0,0,0,0
1777227531177000,0,0,0,0,0,0
1777227531681000,0,0,0,0,0,0
1777227532185000,0,0,0,0,0,0
1777227532689000,0,0,0,0,0,0
1777227533193000,0,0,0,0,0,0
1777227533697000,0,0,0,0,0,0
1777227534201000,0,0,0,0,0,0
1777227534705000,0,0,0,0,0,0
1777227535209000,0,0,0,0,0,0
1777227535713000,0,0,0,0,0,0
1777227536217000,0,0,0,0,0,0
1777227536721000,0,0,0,0,0,0
1777227537225000,0,0,0,0,0,0
1777227537729000,0,0,0,0,0,0
1777227538233000,0,0,0,0,0,0
1777227538737000,0,0,0,0,0,0
1777227539241000,0,0,0,0,0,0
1777227539745000,0,0,0,0,0,0
1777227540249000,0,0,0,0,0,0
1777227540753000,0,0,0,0,0,0
1777227541257000,0,0,0,0,0,0
1777227541761000,0,0,0,0,0,0
1777227542265000,0,0,0,0,0,0
1777227542769000,0,0,0,0,0,0
1777227543273000,0,0,0,0,0,0
1777227543777000,0,0,0,0,0,0
1777227544281000,0,0,0,0,0,0
1777227544785000,0,0,0,0,0,0
1777227545289000,0,0,0,0,0,0
1777227545793000,0,0,0,0,0,0
1777227546297000,0,0,0,0,0,0
1777227546801000,0,0,0,0,0,0
1777227547305000,0,0,0,0,0,0
1777227547809000,0,0,0,0,0,0
1777227548313000,0,0,0,0,0,0
1777227548817000,0,0,0,0,0,0
1777227549321000,0,0,0,0,0,0
1777227549825000,0,0,0,0,0,0
1777227550329000,0,0,0,0,0,0
1777227550833000,0,0,0,0,0,0
1777227551337000,0,0,0,0,0,0
1777227551841000,0,0,0,0,0,0
1777227552345000,0,0,0,0,0,0
1777227552849000,0,0,0,0,0,0
1777227553353000,0,0,0,0,0,0
1777227553857000,0,0,0,0,0,0
1777227554361000,0,0,0,0,0,0
1777227554865000,0,0,0,0,0,0
1777227555369000,0,0,0,0,0,0
1777227555873000,0,0,0,0,0,0
1777227556377000,0,0,0,0,0,0
1777227556881000,0,0,0,0,0,0
1777227557385000,0,0,0,0,0,0
1777227557889000,0,0,0,0,0,0
1777227558393000,0,0,0,0,0,0
1777227558897000,0,0,0,0,0,0
1777227559401000,0,0,0,0,0,0
1777227559905000,0,0,0,0,0,0
1777227560409000,0,0,0,0,0,0
1777227560921000,0,0,0,0,0,0
1777227561425000,0,0,0,0,0,0
1777227561929000,0,0,0,0,0,0
1777227562433000,0,0,0,0,0,0
1777227562937000,0,0,0,0,0,0
1777227563441000,0,0,0,0,0,0
1777227563945000,0,0,0,0,0,0
1777227564449000,0,0,0,0,0,0
1777227564953000,0,0,0,0,0,0
1777227565457000,0,0,0,0,0,0
1777227565961000,0,0,0,0,0,0
1777227566465000,0,0,0,0,0,0
1777227566969000,0,0,0,0,0,0
1777227567473000,0,0,0,0,0,0
1777227567977000,0,0,0,0,0,0
1777227568481000,0,0,0,0,0,0
1777227568985000,0,0,0,0,0,0
1777227569489000,0,0,0,0,0,0
1777227569993000,0,0,0,0,0,0
1777227570497000,0,0,0,0,0,0
1777227571001000,0,0,0,0,0,0
1777227571505000,0,0,0,0,0,0
1777227572009000,0,0,0,0,0,0
1777227572513000,0,0,0,0,0,0
1777227573017000,0,0,0,0,0,0
1777227573521000,0,0,0,0,0,0
1777227574033000,0,0,0,0,0,0
1777227574537000,0,0,0,0,0,0
1777227575041000,0,0,0,0,0,0
1777227575545000,0,0,0,0,0,0
1777227576049000,0,0,0,0,0,0
1777227576553000,0,0,0,0,0,0
1777227577057000,0,0,0,0,0,0
1777227577561000,0,0,0,0,0,0
