timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
1777227498785000,89.45703,inf,0,201,12349,1024000,0,3,1,187
1777227499785000,402.53516,402.53516,0,201,3477,1024000,0,3,1,187
1777227500785000,705.35645,352.67822,0,202,3520,1024000,0,3,1,187
1777227501785000,1005.01855,335.0062,0,203,6813,1024000,0,3,1,187
1777227502785000,1308.919,327.22974,0,203,5003,1024000,0,3,1,187
1777227503785000,1612.6133,322.52264,0,203,3477,1024000,0,3,1,187
1777227504785000,1914.8486,319.14145,0,203,3520,1024000,0,3,1,187
1777227505785000,2217.4756,316.78223,0,203,3926,1024000,0,3,1,187
1777227506785000,2517.4648,314.6831,0,204,6669,1024000,0,3,1,187
1777227507785000,2823.1758,313.6862,0,204,3477,1024000,0,3,1,187
1777227508785000,3122.709,312.2709,0,205,6495,1024000,0,3,1,187
1777227509785000,3428.17,311.65182,0,206,3806,1024000,0,3,1,187
1777227510785000,3732.0244,311.002,0,206,2775,1024000,0,3,1,187
1777227511785000,4032.3252,310.17886,0,206,5003,1024000,0,3,1,187
1777227512785000,4336.116,309.7226,0,207,3597,1024000,0,3,1,187
1777227513785000,4639.37,309.29135,0,208,3477,1024000,0,3,1,187
1777227514785000,4940.794,308.79962,0,208,5003,1024000,0,3,1,187
1777227515785000,5243.746,308.45566,0,209,5155,1024000,0,3,1,187
1777227516785000,5547.823,308.2124,0,210,3477,1024000,0,3,1,187
1777227517785000,5850.2627,307.90857,0,211,3520,1024000,0,3,1,187
1777227518785000,6151.327,307.56638,0,212,5332,1024000,0,3,1,187
1777227519785000,6454.0303,307.33478,0,212,5264,1024000,0,3,1,187
1777227520785000,6755.58,307.0718,0,212,6332,1024000,0,3,1,187
1777227521785000,7060.999,306.99997,0,213,3520,1024000,0,3,1,187
1777227522785000,7363.4795,306.81165,0,214,3806,1024000,0,3,1,187
1777227523785000,7667.255,306.6902,0,214,2813,1024000,0,3,1,187
1777227524785000,7966.1045,306.38864,0,215,6608,1024000,0,3,1,187
1777227525785000,8271.646,306.3573,0,215,3492,1024000,0,3,1,187
1777227526785000,8574.238,306.22278,0,215,3477,1024000,0,3,1,187
1777227527785000,8875.663,306.05734,0,215,5155,1024000,0,3,1,187
1777227528785000,9178.474,305.94913,0,216,5003,1024000,0,3,1,187
1777227529785000,9482.515,305.88757,0,216,3597,1024000,0,3,1,187
1777227530785000,9785.107,305.7846,0,216,3520,1024000,0,3,1,187
1777227531785000,10087.743,305.6892,0,216,3806,1024000,0,3,1,187
1777227532785000,10389.146,305.56314,0,216,5264,1024000,0,3,1,187
1777227533785000,10691.878,305.48224,0,216,5003,1024000,0,3,1,187
1777227534785000,10995.807,305.43906,0,217,3520,1024000,0,3,1,187
1777227535785000,11299.672,305.39655,0,217,2623,1024000,0,3,1,187
1777227536785000,11599.786,305.25754,0,218,5264,1024000,0,3,1,187
1777227537785000,11900.773,305.14804,0,220,6593,1024000,0,3,1,187
1777227538785000,12206.483,305.16208,0,220,3477,1024000,0,3,1,187
1777227539785000,12506.04,305.02536,0,221,6495,1024000,0,3,1,187
1777227540785000,12810.294,305.00702,0,221,5231,1024000,0,3,1,187
1777227541785000,13111.51,304.91882,0,222,6593,1024000,0,3,1,187
1777227542785000,13416.991,304.9316,0,223,3477,1024000,0,3,1,187
1777227543785000,13719.505,304.8779,0,223,3558,1024000,0,3,1,187
1777227544785000,14019.327,304.76797,0,223,6724,1024000,0,3,1,187
1777227545785000,14323.582,304.75705,0,223,5264,1024000,0,3,1,187
1777227546785000,14626.255,304.71365,0,224,5123,1024000,0,3,1,187
1777227547785000,14927.551,304.6439,0,224,6375,1024000,0,3,1,187
1777227548785000,15232.819,304.65637,0,225,3806,1024000,0,3,1,187
1777227549785000,15534.01,304.5884,0,227,5264,1024000,0,3,1,187
1777227550785000,15836.696,304.55185,0,227,5003,1024000,0,3,1,187
1777227551785000,16140.78,304.54303,0,227,3477,1024000,0,3,1,187
1777227552785000,16442.205,304.4853,0,229,5046,1024000,0,3,1,187
1777227553785000,16745.365,304.46118,0,232,5155,1024000,0,3,1,187
1777227554785000,17046.66,304.40463,0,232,6593,1024000,0,3,1,187
1777227555785000,17352.371,304.42755,0,232,3477,1024000,0,3,1,187
1777227556785000,17651.904,304.34317,0,233,6495,1024000,0,3,1,187
1777227557785000,17957.328,304.3615,0,233,3882,1024000,0,3,1,187
1777227558785000,18257.375,304.28958,0,234,6593,1024000,0,3,1,187
1777227559785000,18561.271,304.28314,0,235,5100,1024000,0,3,1,187
1777227560785000,18862.438,304.23288,0,235,6462,1024000,0,3,1,187
1777227561785000,19167.922,304.25275,0,235,3817,1024000,0,3,1,187
1777227562785000,19471.926,304.24884,0,235,2623,1024000,0,3,1,187
1777227563785000,19774.594,304.22452,0,235,2623,1024000,0,3,1,187
1777227564785000,20076.234,304.18536,0,235,3477,1024000,0,3,1,187
1777227565785000,20377.338,304.13937,0,235,5046,1024000,0,3,1,187
1777227566785000,20680.12,304.1194,0,235,5313,1024000,0,3,1,187
1777227567785000,20982.695,304.09705,0,236,5161,1024000,0,3,1,187
1777227568785000,21286.508,304.093,0,237,3477,1024000,0,3,1,187
1777227569785000,21588.824,304.06793,0,239,3520,1024000,0,3,1,187
1777227570785000,21891.34,304.0464,0,239,3806,1024000,0,3,1,187
1777227571785000,22192.766,304.01047,0,239,5264,1024000,0,3,1,187
1777227572785000,22497.178,304.0159,0,239,3477,1024000,0,3,1,187
1777227573785000,22796.58,303.9544,0,241,6495,1024000,0,3,1,187
1777227574785000,23102.96,303.98633,0,241,3882,1024000,0,3,1,187
1777227575785000,23408.57,304.00742,0,242,2623,1024000,0,3,1,187
1777227576785000,23710.713,303.98352,0,242,5003,1024000,0,3,1,187
