timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
1777227498773000,1777227498617000,1777227498621000,0,-488.00574,12.354284,-0.018554688,-0.01450241,12.3670845,1.113525e-06,-2.0618054e-06,0,0,1
1777227498821000,1777227498669000,1777227498669000,0,-488.01526,12.354216,-0.009002686,-0.01398432,12.366987,2.621442e-07,-1.892272e-06,0,0,1
1777227498877000,1777227498721000,1777227498725000,0,-488.01535,12.354284,-0.009185791,-0.013532285,12.3670845,2.7291398e-07,-1.7397238e-06,0,0,1
1777227498925000,1777227498773000,1777227498773000,0,-488.06708,12.354216,0.04248047,-0.00825572,12.366987,5.836798e-06,-1.0259934e-06,0,0,1
1777227498981000,1777227498825000,1777227498829000,0,-487.9963,12.354284,-0.028503418,-0.010163112,12.3670845,2.627765e-06,-1.1768849e-06,0,0,1
1777227499029000,1777227498877000,1777227498877000,0,-487.98248,12.354216,-0.04232788,-0.013193126,12.366987,5.7949424e-06,-1.6119193e-06,0,0,1
1777227499085000,1777227498929000,1777227498933000,0,-487.9875,12.354284,-0.03744507,-0.015477729,12.3670845,4.535048e-06,-1.8872865e-06,0,0,1
1777227499133000,1777227498981000,1777227498981000,0,-487.97845,12.354216,-0.04660034,-0.018409569,12.366987,7.0238348e-06,-2.3711643e-06,0,0,1
1777227499189000,1777227499033000,1777227499037000,0,-487.97415,12.354284,-0.050872803,-0.0214677,12.3670845,8.370743e-06,-2.936342e-06,0,0,1
1777227499237000,1777227499085000,1777227499085000,0,-487.97458,12.354216,-0.05053711,-0.024206124,12.366987,8.2607e-06,-3.437912e-06,0,0,1
1777227499293000,1777227499137000,1777227499141000,0,-488.01724,12.354284,-0.008514404,-0.022727918,12.3670845,2.3447751e-07,-3.1361392e-06,0,0,1
1777227499341000,1777227499189000,1777227499189000,0,-487.98914,12.354216,-0.036865234,-0.024059694,12.366987,4.3957207e-06,-3.2547955e-06,0,0,1
1777227499397000,1777227499241000,1777227499245000,0,-488.0364,12.354284,0.010253906,-0.020827252,12.3670845,3.4007235e-07,-2.9161486e-06,0,0,1
1777227499445000,1777227499293000,1777227499293000,0,-488.02222,12.354216,-0.003967285,-0.019238994,12.366987,5.0907634e-08,-2.6462346e-06,0,0,1
1777227499501000,1777227499345000,1777227499349000,0,-488.04105,12.354284,0.014587402,-0.01605245,12.3670845,6.8825375e-07,-2.332116e-06,0,0,1
1777227499549000,1777227499397000,1777227499397000,0,-487.94702,12.354216,-0.07952881,-0.022032106,12.366987,2.0457146e-05,-4.0395466e-06,0,0,1
1777227499605000,1777227499449000,1777227499453000,0,-488.0463,12.354284,0.019378662,-0.018131092,12.3670845,1.2146195e-06,-3.544589e-06,0,0,1
1777227499653000,1777227499501000,1777227499501000,0,-488.03204,12.354216,0.004852295,-0.01596599,12.366987,7.6153604e-08,-3.2035045e-06,0,0,1
1777227499709000,1777227499553000,1777227499557000,0,-487.99445,12.354284,-0.033111572,-0.017581154,12.3670845,3.5461105e-06,-3.235779e-06,0,0,1
1777227499757000,1777227499605000,1777227499605000,0,-488.0182,12.354216,-0.0093688965,-0.016807536,12.366987,2.8390494e-07,-2.957704e-06,0,0,1
1777227499813000,1777227499657000,1777227499661000,0,-488.03235,12.354284,0.0047302246,-0.014778616,12.3670845,7.23696e-08,-2.6722623e-06,0,0,1
1777227499861000,1777227499709000,1777227499709000,0,-488.0511,12.354216,0.023620605,-0.011161298,12.366987,1.8045882e-06,-2.25053e-06,0,0,1
