timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
1777227498781000,1777227498629000,0.99998736,0.00032465952,0.0010188885,-0.0049102334,-0.01972106,0.012895684,-0.017599136,0.0,0.0,-488.0244,0.0009051535,2.9240096e-05,0.0007450881,-0.0025153803,-0.004328603,0.0094971135,0.21500568,0.010845276,0.4306361,1.7628789e-05,0.00017562768,-0.00096080365,0.0,0.0,-488.0144,9.559742e-06,9.417628e-06,0.00028304057,0.0032509926,0.0032622209,0.0024389105,0.0073031043,0.0073107984,0.012843605,1.4596738e-07,1.4583075e-07,3.0134098e-07,8.204148e-05,9.029324e-05,8.601592e-06,1.6359453e-06,3.7832374e-06,0.000100468096,1.1815957e-06,1.387352e-06,9.966976e-05,1.0,1.0,1e-04,25
1777227498789000,1777227498637000,0.9999871,0.0003131402,0.001008122,-0.0049602087,-0.019989558,0.012848258,-0.017392263,0.0,0.0,-488.02457,0.0009051535,2.9240096e-05,0.0007450881,-0.0025153803,-0.004328603,0.0094971135,0.21500568,0.010845276,0.4306361,1.7628789e-05,0.00017562768,-0.00096080365,0.0,0.0,-488.01456,9.581859e-06,9.4397055e-06,0.0002831421,0.0032751274,0.0032864644,0.0024470824,0.0073525347,0.007360376,0.01290066,1.4603138e-07,1.4589476e-07,3.0140498e-07,8.2042054e-05,9.029381e-05,8.602167e-06,1.6360093e-06,3.7833013e-06,0.00010046816,1.1815964e-06,1.3873527e-06,9.966976e-05,1.0,1.0,1e-04,25
1777227498797000,1777227498645000,0.999987,0.00029942225,0.0009829834,-0.0050069904,-0.020182876,0.012868697,-0.017353103,0.0,0.0,-488.02472,0.0009051535,2.9240096e-05,0.0007450881,-0.0025153803,-0.004328603,0.0094971135,0.21500568,0.010845276,0.4306361,1.7628789e-05,0.00017562768,-0.00096080365,0.0,0.0,-488.0147,9.603995e-06,9.461802e-06,0.00028324363,0.00329941,0.003310861,0.0024552555,0.0074024666,0.007410457,0.012958031,1.4609539e-07,1.4595877e-07,3.01469e-07,8.204263e-05,9.029439e-05,8.602743e-06,1.6360733e-06,3.7833652e-06,0.00010046823,1.1815971e-06,1.3873533e-06,9.966976e-05,1.0,1.0,1e-04,25
1777227498805000,1777227498653000,0.99998695,0.00031600246,0.0009627555,-0.005018764,-0.02024319,0.01318537,-0.017759327,0.0,0.0,-488.02487,0.0009040539,2.9085462e-05,0.0007431303,-0.0025156261,-0.004327563,0.009497115,0.21500573,0.010845398,0.43063608,1.7567088e-05,0.00017614076,-0.0009607705,0.0,0.0,-488.01486,9.6250815e-06,9.482884e-06,0.00028321327,0.0033237622,0.0033353318,0.0024634295,0.0074528554,0.0074609937,0.01301572,1.4606448e-07,1.4592807e-07,3.011294e-07,8.2043196e-05,9.029485e-05,8.603319e-06,1.6361371e-06,3.7834282e-06,0.00010046829,1.1815972e-06,1.3873256e-06,9.966976e-05,1.0,1.0,1e-04,25
1777227498813000,1777227498661000,0.9999869,0.00029909587,0.0009401037,-0.0050306423,-0.0194879,0.012433558,-0.017317178,0.0,0.0,-488.0241,0.00090510637,3.05963e-05,0.0007433266,-0.0025149935,-0.0043269927,0.009493902,0.2150055,0.010845324,0.4306363,1.7440725e-05,0.00017611343,-0.00096083083,0.0,0.0,-488.0141,9.506291e-06,9.366321e-06,0.00028329703,0.0031911186,0.0032017624,0.002419386,0.007181508,0.007188715,0.012715174,1.4574286e-07,1.4561179e-07,3.0118446e-07,8.204369e-05,9.029536e-05,8.600188e-06,1.6361922e-06,3.7834914e-06,0.00010046835,1.1815962e-06,1.3873258e-06,9.966976e-05,1.0,1.0,1e-04,25
1777227498821000,1777227498669000,0.9999869,0.00029834872,0.00094364455,-0.0050332127,-0.01977716,0.012607647,-0.017500207,0.0,0.0,-488.02426,0.00090510637,3.0596293e-05,0.0007433266,-0.002514992,-0.0043269927,0.009493881,0.2150055,0.010845324,0.4306363,1.7440658e-05,0.00017611345,-0.00096083083,0.0,0.0,-488.01425,9.528363e-06,9.3883555e-06,0.0002833987,0.003215062,0.0032258069,0.0024265477,0.0072297016,0.007237047,0.012758307,1.4580687e-07,1.456758e-07,3.0124846e-07,8.2044266e-05,9.029594e-05,8.600694e-06,1.6362562e-06,3.7835553e-06,0.000100468416,1.1815969e-06,1.3873265e-06,9.966976e-05,1.0,1.0,1e-04,25
1777227498837000,1777227498685000,0.9999868,0.00027498952,0.0009471104,-0.005047389,-0.019882152,0.012880415,-0.017422214,0.0,0.0,-488.02457,0.00090510637,3.0596293e-05,0.0007433266,-0.002514992,-0.0043269927,0.009493881,0.2150055,0.010845324,0.4306363,1.7440658e-05,0.00017611345,-0.00096083083,0.0,0.0,-488.01456,9.5725645e-06,9.432481e-06,0.00028360213,0.0032631916,0.003274173,0.0024428894,0.0073275664,0.0073351944,0.0128717795,1.4593488e-07,1.4580381e-07,3.0137647e-07,8.2045415e-05,9.0297086e-05,8.601845e-06,1.6363842e-06,3.783683e-06,0.00010046855,1.1815982e-06,1.3873279e-06,9.966976e-05,1.0,1.0,1e-04,25
1777227498845000,1777227498693000,0.9999867,0.00024986523,0.0009452312,-0.005073542,-0.019936787,0.012988734,-0.0170768,0.0,0.0,-488.02472,0.00090508437,3.062242e-05,0.0007434369,-0.0025151963,-0.004327283,0.009493883,0.21500579,0.010845642,0.43063658,1.7569897e-05,0.00017607497,-0.00096071535,0.0,0.0,-488.0147,9.590597e-06,9.447743e-06,0.00028292224,0.0032863915,0.0032978838,0.002451062,0.007376856,0.007384817,0.012928989,1.4598501e-07,1.458469e-07,3.0100287e-07,8.2045684e-05,9.029704e-05,8.602421e-06,1.6361001e-06,3.7831285e-06,0.000100468176,1.1815442e-06,1.3873048e-06,9.966971e-05,1.0,1.0,1e-04,25
1777227498853000,1777227498701000,0.9999866,0.00024484022,0.0009482645,-0.005091555,-0.020059649,0.012994716,-0.01700902,0.0,0.0,-488.02484,0.00090508437,3.062242e-05,0.0007434369,-0.0025151963,-0.004327283,0.009493883,0.21500579,0.010845642,0.43063658,1.7569897e-05,0.00017607497,-0.00096071535,0.0,0.0,-488.01483,9.6127405e-06,9.469846e-06,0.00028302375,0.003310717,0.0033223303,0.0024592355,0.0074270293,0.0074351416,0.012986516,1.4604902e-07,1.459109e-07,3.0106688e-07,8.204626e-05,9.029762e-05,8.602997e-06,1.6361641e-06,3.7831924e-06,0.00010046824,1.1815449e-06,1.3873055e-06,9.966971e-05,1.0,1.0,1e-04,25
1777227498861000,1777227498709000,0.99998677,0.0002291841,0.00094127964,-0.005059328,-0.019461848,0.01245185,-0.016662493,0.0,0.0,-488.0243,0.0009060277,3.2264084e-05,0.0007436143,-0.0025146673,-0.004326651,0.009491272,0.21500553,0.010845566,0.43063682,1.7434275e-05,0.00017603976,-0.0009607835,0.0,0.0,-488.01428,9.495051e-06,9.3543895e-06,0.00028310734,0.0031793094,0.0031899794,0.002415415,0.007157956,0.0071651433,0.012687461,1.4573033e-07,1.4559758e-07,3.0112193e-07,8.2046754e-05,9.029813e-05,8.599883e-06,1.6362193e-06,3.7832556e-06,0.0001004683,1.1815439e-06,1.3873057e-06,9.966971e-05,1.0,1.0,1e-04,25
