timestamp,timestamp_sample,device_id,pressure,temperature,error_count
1777227499685000,1777227499685000,6620428,95596.836,0.0,0
1777227500681000,1777227500681000,6620428,95597.02,0.0,0
1777227501685000,1777227501685000,6620428,95599.99,0.0,0
1777227502685000,1777227502685000,6620428,95598.43,0.0,0
1777227503685000,1777227503685000,6620428,95596.02,0.0,0
1777227504685000,1777227504685000,6620428,95584.805,0.0,0
1777227505681000,1777227505681000,6620428,95570.54,0.0,0
1777227506685000,1777227506685000,6620428,95555.48,0.0,0
1777227507685000,1777227507685000,6620428,95537.84,0.0,0
1777227508681000,1777227508681000,6620428,95521.445,0.0,0
1777227509685000,1777227509685000,6620428,95503.95,0.0,0
1777227510685000,1777227510685000,6620428,95486.98,0.0,0
1777227511685000,1777227511685000,6620428,95467.65,0.0,0
1777227512685000,1777227512685000,6620428,95451.01,0.0,0
1777227513681000,1777227513681000,6620428,95440.67,0.0,0
1777227514681000,1777227514681000,6620428,95436.8,0.0,0
1777227515685000,1777227515685000,6620428,95435.74,0.0,0
1777227516685000,1777227516685000,6620428,95433.91,0.0,0
1777227517685000,1777227517685000,6620428,95432.2,0.0,0
1777227518685000,1777227518685000,6620428,95431.21,0.0,0
1777227519685000,1777227519685000,6620428,95428.42,0.0,0
1777227520685000,1777227520685000,6620428,95428.98,0.0,0
1777227521685000,1777227521685000,6620428,95425.445,0.0,0
1777227522685000,1777227522685000,6620428,95421.57,0.0,0
1777227523685000,1777227523685000,6620428,95421.19,0.0,0
1777227524681000,1777227524681000,6620428,95420.64,0.0,0
1777227525681000,1777227525681000,6620428,95418.6,0.0,0
1777227526685000,1777227526685000,6620428,95416.42,0.0,0
1777227527685000,1777227527685000,6620428,95415.17,0.0,0
1777227528685000,1777227528685000,6620428,95414.055,0.0,0
1777227529681000,1777227529681000,6620428,95409.875,0.0,0
1777227530685000,1777227530685000,6620428,95409.695,0.0,0
1777227531685000,1777227531685000,6620428,95408.805,0.0,0
1777227532685000,1777227532685000,6620428,95407.51,0.0,0
1777227533685000,1777227533685000,6620428,95403.71,0.0,0
1777227534685000,1777227534685000,6620428,95404.15,0.0,0
1777227535685000,1777227535685000,6620428,95401.234,0.0,0
1777227536681000,1777227536681000,6620428,95400.34,0.0,0
1777227537685000,1777227537685000,6620428,95400.234,0.0,0
1777227538685000,1777227538685000,6620428,95395.766,0.0,0
1777227539681000,1777227539681000,6620428,95394.15,0.0,0
1777227540685000,1777227540685000,6620428,95392.375,0.0,0
1777227541685000,1777227541685000,6620428,95390.91,0.0,0
1777227542685000,1777227542685000,6620428,95390.09,0.0,0
1777227543685000,1777227543685000,6620428,95387.29,0.0,0
1777227544685000,1777227544685000,6620428,95387.23,0.0,0
1777227545685000,1777227545685000,6620428,95385.04,0.0,0
1777227546681000,1777227546681000,6620428,95384.89,0.0,0
1777227547685000,1777227547685000,6620428,95379.086,0.0,0
1777227548685000,1777227548685000,6620428,95376.35,0.0,0
1777227549685000,1777227549685000,6620428,95378.01,0.0,0
1777227550681000,1777227550681000,6620428,95375.85,0.0,0
1777227551685000,1777227551685000,6620428,95374.83,0.0,0
1777227552685000,1777227552685000,6620428,95372.25,0.0,0
1777227553685000,1777227553685000,6620428,95377.26,0.0,0
1777227554685000,1777227554685000,6620428,95395.37,0.0,0
1777227555685000,1777227555685000,6620428,95415.555,0.0,0
1777227556681000,1777227556681000,6620428,95432.4,0.0,0
1777227557685000,1777227557685000,6620428,95447.305,0.0,0
1777227558685000,1777227558685000,6620428,95461.15,0.0,0
1777227559681000,1777227559681000,6620428,95479.62,0.0,0
1777227560685000,1777227560685000,6620428,95496.16,0.0,0
1777227561685000,1777227561685000,6620428,95511.25,0.0,0
1777227562681000,1777227562681000,6620428,95523.86,0.0,0
1777227563685000,1777227563685000,6620428,95530.26,0.0,0
1777227564685000,1777227564685000,6620428,95542.87,0.0,0
1777227565685000,1777227565685000,6620428,95547.11,0.0,0
1777227566685000,1777227566685000,6620428,95556.164,0.0,0
1777227567685000,1777227567685000,6620428,95566.69,0.0,0
1777227568685000,1777227568685000,6620428,95572.24,0.0,0
1777227569685000,1777227569685000,6620428,95581.93,0.0,0
1777227570685000,1777227570685000,6620428,95586.555,0.0,0
1777227571685000,1777227571685000,6620428,95595.875,0.0,0
1777227572681000,1777227572681000,6620428,95598.87,0.0,0
1777227573681000,1777227573681000,6620428,95598.805,0.0,0
1777227574685000,1777227574685000,6620428,95600.11,0.0,0
1777227575681000,1777227575681000,6620428,95597.32,0.0,0
1777227576685000,1777227576685000,6620428,95600.85,0.0,0
