timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1777227498837000,0,0,0,1,255
1777227500877000,0,0,0,1,255
1777227502893000,0,0,0,1,255
1777227504909000,0,0,0,1,255
1777227506925000,0,0,0,1,255
1777227508941000,0,0,0,1,255
1777227510957000,0,0,0,1,255
1777227512973000,0,0,0,1,255
1777227514997000,0,0,0,1,255
1777227517013000,0,0,0,1,255
1777227519029000,0,0,0,1,255
1777227521045000,0,0,0,1,255
1777227523061000,0,0,0,1,255
1777227525077000,0,0,0,1,255
1777227527093000,0,0,0,1,255
1777227529109000,0,0,0,1,255
1777227531125000,0,0,0,1,255
1777227533141000,0,0,0,1,255
1777227535157000,0,0,0,1,255
1777227537173000,0,0,0,1,255
1777227539189000,0,0,0,1,255
1777227541205000,0,0,0,1,255
1777227543221000,0,0,0,1,255
1777227545237000,0,0,0,1,255
1777227547253000,0,0,0,1,255
1777227549269000,0,0,0,1,255
1777227551285000,0,0,0,1,255
1777227553325000,0,0,0,1,255
1777227555341000,0,0,0,1,255
1777227557357000,0,0,0,1,255
1777227559373000,0,0,0,1,255
1777227561389000,0,0,0,1,255
1777227563405000,0,0,0,1,255
1777227565421000,0,0,0,1,255
1777227567437000,0,0,0,1,255
1777227569453000,0,0,0,1,255
1777227571469000,0,0,0,1,255
1777227573485000,0,0,0,1,255
1777227575493000,0,0,0,1,255
