timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
1777225643881000,1777225643729000,1310988,0.0016253993,0.0012397424,3.788792e-05,0.15,7.4242635e-05,7.4242635e-05,7.205494e-05,1310988,0.00054283737,7.212106e-05,0.0030164889,0.4,0.038079288,0.0380794,0.0022765708,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
1777225644857000,1777225644705000,1310988,0.00094138004,0.0012254558,-0.0003377379,0.15,2.8055232e-05,2.8054881e-05,3.1593827e-05,1310988,0.00262045,0.00073093036,0.0028018982,0.4,0.035906862,0.036099117,0.0020184724,197388,0.0028766182,0.00062801497,-0.00067423616,0.5,0.0016757705,0.0019471974,0.001668786,1,0,1,0,1,0
1777225644921000,1777225644769000,1310988,0.00077786576,0.00097580475,-0.00023099588,0.15,2.4940931e-05,2.4940655e-05,2.7704164e-05,1310988,0.0017964895,0.0005026737,0.002802036,0.4,0.035718378,0.035957724,0.0020184412,197388,0.0016094907,0.00027853274,-0.0005881993,0.5,0.0015130165,0.0018623951,0.0015030714,1,0,1,0,1,0
1777225644993000,1777225644841000,1310988,0.00077564886,0.0009813565,-0.00022873539,0.15,2.4730138e-05,2.472947e-05,2.7704598e-05,1310988,0.0008972274,0.001097401,0.0027567085,0.4,0.035565637,0.035819855,0.001886519,197388,-7.559315e-05,0.0012386661,-0.0008930141,0.5,0.0014434191,0.0018174938,0.0014320945,1,0,1,0,1,0
1777225645945000,1777225645793000,1310988,0.00063698203,0.0008374513,-0.0001958875,0.15,9.699337e-06,9.836612e-06,1.7141658e-05,1310988,0.00063166796,0.0007156166,0.002740983,0.4,0.03400407,0.034241177,0.0012811297,197388,-9.438242e-05,0.00038114112,-0.0014409182,0.5,0.0013028112,0.001657453,0.0012897508,1,0,1,0,1,0
1777225646945000,1777225646793000,1310988,0.00066377776,0.0004968673,-7.282837e-05,0.15,4.3252903e-06,4.6088835e-06,1.23936925e-05,1310988,0.00033542828,0.00019791842,0.0022193517,0.4,0.032557625,0.03277412,0.0007432112,197388,-0.0002848248,0.00016992365,-0.0009958895,0.5,0.0012867175,0.0016251907,0.0012743542,1,0,1,0,1,0
1777225647945000,1777225647793000,1310988,0.0006856262,0.0002932442,-9.322551e-05,0.15,2.2800848e-06,2.44625e-06,9.676656e-06,1310988,0.00047972784,2.1496694e-06,0.001735932,0.4,0.03123134,0.031431336,0.00046983454,197388,-1.287941e-05,0.00010736032,-0.00092069554,0.5,0.0012792364,0.0016081766,0.001267457,1,0,1,0,1,0
1777225648945000,1777225648793000,1310988,0.00070299645,0.00020623778,0.00028952694,0.15,1.4861383e-06,1.5813082e-06,7.91249e-06,1310988,0.00052206183,0.00012089716,0.0013024049,0.4,0.030013695,0.030199097,0.00032815116,197388,-0.00014019577,3.1609945e-06,-0.0009438672,0.5,0.0012751647,0.0015986827,0.001263917,1,0,1,0,1,0
1777225649945000,1777225649793000,1310988,0.00071907026,0.00019355015,0.00032537704,0.15,9.78062e-07,1.0289942e-06,6.675004e-06,1310988,0.00040016137,-0.00018615875,0.0013701146,0.4,0.028885843,0.029055698,0.00024758856,197388,-0.00012489282,-0.000114155395,-0.00074220326,0.5,0.0012725756,0.0015907822,0.0012618417,1,0,1,0,1,0
1777225650945000,1777225650793000,1310988,0.0008519389,0.00019269294,0.00040923234,0.15,7.0353036e-07,7.331126e-07,5.7490765e-06,1310988,0.00016967289,-0.00020040377,0.0014345295,0.4,0.027840216,0.027995978,0.00020549062,197388,-7.335604e-05,-7.232401e-05,-0.00062203594,0.5,0.0012705243,0.0015834331,0.0012603098,1,0,1,0,1,0
1777225651945000,1777225651793000,1310988,0.000956213,0.00015251922,0.00042960688,0.15,5.384938e-07,5.5699627e-07,5.0300973e-06,1310988,8.7955166e-05,-0.00018013178,0.0015879922,0.4,0.026868112,0.02701387,0.00016920995,197388,-0.00017031547,-0.00010883454,-0.0006918951,0.5,0.0012689348,0.0015793522,0.0012591936,1,0,1,0,1,0
1777225652945000,1777225652793000,1310988,0.0009822786,0.00013439129,0.0004375474,0.15,4.503399e-07,4.62981e-07,4.465853e-06,1310988,-0.00025429123,0.00038339297,0.0017820715,0.4,0.025993224,0.026059916,0.00014528209,197388,-0.0007441631,0.00081589946,0.00041057408,0.5,0.0015035648,0.0018289268,0.0015014231,1,0,1,0,1,0
1777225653017000,1777225652865000,1310988,0.0009820882,0.0001340183,0.00043750403,0.15,4.502095e-07,4.6280675e-07,4.4664175e-06,1310988,-0.00041830863,0.00017188807,0.0017810104,0.4,0.025976863,0.026038438,0.00014439,197388,-0.00057831564,0.0003746555,0.0022205259,0.5,0.0012556424,0.0017239952,0.0012522218,1,0,1,0,1,0
1777225653153000,1777225653001000,1310988,0.0009788874,0.00012961484,0.0004369082,0.15,4.4766955e-07,4.600499e-07,4.3805144e-06,1310988,-0.00047405806,0.0006251456,0.0017670458,0.4,0.025964852,0.02602463,0.00014174217,197388,-0.00062064204,0.0013285874,0.002743825,0.5,0.0010787663,0.0016584255,0.001074333,1,0,1,0,1,0
