timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
1777225645353000,1777225645198999,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00007,100.00013,100.00013,10987097000.0,361981500.0,-4.0,-4.0,0,1,0
1777225645409000,1777225645250999,0,47.397742,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.000084,-100.000084,100.00017,100.00017,10987093000.0,361981380.0,-4.0,-4.0,0,1,0
1777225645457000,1777225645302999,0,47.3977419,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225645513000,1777225645354999,0,47.3977418,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225645561000,1777225645406999,0,47.3977419,8.5455937,0,100.0,100.0,-5240971.0,-951291.1,-100.00007,-100.00007,100.00013,100.00013,10987097000.0,361981440.0,-4.0,-4.0,0,1,0
1777225645617000,1777225645458999,0,47.3977419,8.5455937,0,100.0,100.0,-5240971.0,-951291.1,-100.000084,-100.000084,100.000175,100.00017,10987092000.0,361981300.0,-4.0,-4.0,0,1,0
1777225645665000,1777225645510999,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225645721000,1777225645563000,0,47.397742099999995,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225645769000,1777225645615000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00007,100.00013,100.00013,10987097000.0,361981500.0,-4.0,-4.0,0,1,0
1777225645825000,1777225645667000,0,47.397742,8.545594,0,100.0,100.0,-5240971.0,-951291.2,-100.000084,-100.000084,100.000175,100.00017,10987092000.0,361981380.0,-4.0,-4.0,0,1,0
1777225645873000,1777225645719000,0,47.397742099999995,8.545594099999999,0,100.0,100.0,-5240971.0,-951291.2,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981660.0,-4.0,-4.0,0,1,0
1777225645929000,1777225645771000,0,47.397742,8.5455942,0,100.0,100.0,-5240971.0,-951291.2,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981600.0,-4.0,-4.0,0,1,0
1777225645977000,1777225645823000,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.00007,-100.00007,100.00013,100.00013,10987097000.0,361981500.0,-4.0,-4.0,0,1,0
1777225646033000,1777225645875000,0,47.397742,8.5455939,0,100.0,100.0,-5240971.0,-951291.2,-100.000084,-100.000084,100.00017,100.00017,10987093000.0,361981380.0,-4.0,-4.0,0,1,0
1777225646081000,1777225645927000,0,47.3977419,8.5455937,0,100.0,100.0,-5240971.0,-951291.1,-100.00004,-100.00004,100.00008,100.00008,10987102000.0,361981630.0,-4.0,-4.0,0,1,0
1777225646137000,1777225645979000,0,47.397742,8.5455937,0,100.0,100.0,-5240971.0,-951291.1,-100.000046,-100.000046,100.0001,100.0001,10987100000.0,361981570.0,-4.0,-4.0,0,1,0
