timestamp,time_estimate,safe_time_estimate,valid
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
0,0.0,0.0,0
1777225653281000,0.0,0.0,0
1777225655285000,0.0,0.0,0
1777225657297000,0.0,0.0,0
1777225659313000,0.0,0.0,0
1777225661337000,0.0,0.0,0
1777225663353000,0.0,0.0,0
1777225665369000,0.0,0.0,0
1777225667385000,0.0,0.0,0
1777225669409000,0.0,0.0,0
1777225671425000,0.0,0.0,0
1777225673441000,0.0,0.0,0
1777225675457000,0.0,0.0,0
1777225677473000,0.0,0.0,0
1777225679489000,0.0,0.0,0
1777225681505000,0.0,0.0,0
1777225683521000,0.0,0.0,0
1777225685569000,0.0,0.0,0
1777225687625000,0.0070060845,100.007706,1
1777225689641000,0.11718121,100.1289,1
1777225691657000,1.6285024,101.79135,1
1777225693673000,3.5750198,103.932526,1
1777225695689000,5.596627,106.15629,1
1777225697705000,7.9528017,108.748085,1
1777225699721000,11.231447,112.35459,1
1777225701737000,13.31793,114.64973,1
1777225703761000,27.291925,130.02112,1
1777225705777000,29.15923,132.07515,1
1777225707793000,31.091024,134.20013,1
1777225709809000,33.03376,136.33713,1
1777225711825000,34.98209,138.4803,1
1777225713841000,36.925957,140.61856,1
1777225715857000,38.863247,142.74957,1
1777225717873000,40.80811,144.88892,1
1777225719889000,42.47968,146.72765,1
1777225721905000,43.04925,147.35419,1
1777225723913000,43.178936,147.49683,1
1777225725937000,41.58358,145.74194,1
1777225727953000,40.481297,144.52942,1
1777225729969000,39.84179,143.82597,1
1777225731985000,39.019085,142.92099,1
1777225734001000,36.930843,140.62393,1
1777225736025000,35.0912,138.60033,1
1777225738041000,33.10305,136.41336,1
1777225740057000,31.087072,134.19579,1
1777225742073000,29.060389,131.96643,1
1777225744089000,27.047659,129.75243,1
1777225746105000,25.026323,127.52895,1
1777225748121000,23.0178,125.31958,1
1777225750137000,21.11932,123.231255,1
1777225752153000,19.96824,121.965065,1
1777225754169000,18.242249,120.066475,1
1777225756185000,16.272806,117.900085,1
1777225758201000,14.258911,115.6848,1
1777225760217000,12.2491255,113.47404,1
1777225762241000,10.233235,111.25656,1
1777225764257000,8.218974,109.04087,1
1777225766273000,6.214762,106.836235,1
1777225768297000,4.5973105,105.057045,1
1777225770313000,3.4479573,103.792755,1
1777225772329000,2.5303142,102.78335,1
1777225774345000,1.6057943,101.76637,1
1777225776369000,0.67226154,100.73949,1
1777225778385000,0.10320028,100.11352,1
1777225780401000,0.0,0.0,0
1777225782441000,0.0,0.0,0
