timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1777225644021000,1777225644021000,0.0,0.0,-0.001
1777225644025000,1777225644025000,0.0,0.0,-0.001
1777225644045000,1777225644045000,0.0,0.0,-0.001
1777225644061000,1777225644061000,0.0,0.0,-0.001
1777225644081000,1777225644081000,0.0,0.0,-0.001
1777225644101000,1777225644101000,0.0,0.0,-0.001
1777225644121000,1777225644121000,0.0,0.0,-0.001
1777225644141000,1777225644141000,0.0,0.0,-0.001
1777225644161000,1777225644161000,0.0,0.0,-0.001
1777225644181000,1777225644181000,0.0,0.0,-0.001
1777225644201000,1777225644201000,0.0,0.0,-0.001
1777225644221000,1777225644221000,0.0,0.0,-0.001
1777225644241000,1777225644241000,0.0,0.0,-0.001
1777225644261000,1777225644261000,0.0,0.0,-0.001
1777225644281000,1777225644281000,0.0,0.0,-0.001
1777225644301000,1777225644301000,0.0,0.0,-0.001
1777225644321000,1777225644321000,0.0,0.0,-0.001
1777225644341000,1777225644341000,0.0,0.0,-0.001
1777225644361000,1777225644361000,0.0,0.0,-0.001
1777225644381000,1777225644381000,0.0,0.0,-0.001
1777225644397000,1777225644397000,0.0,0.0,-0.001
1777225644421000,1777225644421000,0.0,0.0,-0.001
1777225644441000,1777225644441000,0.0,0.0,-0.001
1777225644461000,1777225644461000,0.0,0.0,-0.001
1777225644481000,1777225644481000,0.0,0.0,-0.001
1777225644501000,1777225644501000,0.0,0.0,-0.001
1777225644521000,1777225644521000,0.0,0.0,-0.001
1777225644541000,1777225644541000,0.0,0.0,-0.001
1777225644561000,1777225644561000,0.0,0.0,-0.001
1777225644581000,1777225644581000,0.0,0.0,-0.001
1777225644601000,1777225644601000,0.0,0.0,-0.001
1777225644621000,1777225644621000,0.0,0.0,-0.001
1777225644641000,1777225644641000,0.0,0.0,-0.001
1777225644661000,1777225644661000,0.0,0.0,-0.001
1777225644677000,1777225644677000,0.0,0.0,-0.001
1777225644701000,1777225644701000,0.0,0.0,-0.001
1777225644721000,1777225644721000,0.0,0.0,-0.001
