timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1777225645217000,0,0,0,1,255
1777225647233000,0,0,0,1,255
1777225649249000,0,0,0,1,255
1777225651265000,0,0,0,1,255
1777225653953000,0,0,0,1,255
1777225655285000,0,0,0,1,255
1777225657297000,0,0,0,1,255
1777225659313000,0,0,0,1,255
1777225661337000,0,0,0,1,255
1777225663353000,0,0,0,1,255
1777225665369000,0,0,0,1,255
1777225667385000,0,0,0,1,255
1777225669409000,0,0,0,1,255
1777225671425000,0,0,0,1,255
1777225673441000,0,0,0,1,255
1777225675457000,0,0,0,1,255
1777225677473000,0,0,0,1,255
1777225679489000,0,0,0,1,255
1777225681505000,0,0,0,1,255
1777225683521000,0,0,0,1,255
1777225685885000,0,0,0,1,255
1777225687625000,0,0,0,1,255
1777225689641000,0,0,0,1,255
1777225691657000,0,0,0,1,255
1777225693673000,0,0,0,1,255
1777225695689000,0,0,0,1,255
1777225697705000,0,0,0,1,255
1777225699721000,0,0,0,1,255
1777225701737000,0,0,0,1,255
1777225703761000,0,0,0,1,255
1777225705777000,0,0,0,1,255
1777225707793000,0,0,0,1,255
1777225709809000,0,0,0,1,255
1777225711825000,0,0,0,1,255
1777225713841000,0,0,0,1,255
1777225715857000,0,0,0,1,255
1777225717873000,0,0,0,1,255
1777225719889000,0,0,0,1,255
1777225721905000,0,0,0,1,255
1777225723249000,0,0,0,1,255
1777225782441000,0,0,0,1,255
1777225782989000,0,0,0,1,255
