timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,nav_state_display,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,traffic_avoidance_system_present,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
1777225643953000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225644457000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225644961000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225645465000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225645969000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225646473000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225646977000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225647481000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225647985000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225648489000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225648993000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225649497000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225650001000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225650509000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225651013000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225651517000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225652021000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225652525000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225653029000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225653533000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1777225653881000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777225653953000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777225654277000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777225654781000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777225655285000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777225655789000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1777225656293000,0,0,1777225642957000,2147411327,8308095,0,1,0,0,4,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1
