timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1777225644017000,1777225643865000,2225397039105,0.0013321482,0.0031486289,0.00090939587,0,0.009423145,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.420883,nan,0.4811089,nan,0,129,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644025000,1777225643873000,2225397039105,0.0013056176,0.003122046,0.00091274694,0,0.009576642,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.420883,nan,0.4811089,nan,0,129,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644041000,1777225643889000,2225397039105,0.0012392963,0.003067699,0.0009177708,0,0.009915922,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.990032,nan,0.4800894,nan,0,129,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644049000,1777225643897000,2225397039105,0.0011995941,0.0030407514,0.00092017645,0,0.010101889,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.990032,nan,0.4800894,nan,0,129,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644057000,1777225643905000,2225397039105,0.0011583075,0.0030121803,0.00092190516,0,0.010298832,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.990032,nan,0.4800894,nan,25,1153,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644065000,1777225643913000,2225397039105,0.0011176477,0.0029824574,0.0009238749,0,0.01050679,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.990032,nan,0.4800894,nan,25,1153,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644073000,1777225643921000,2225397039105,0.0010758851,0.0029495184,0.00092528225,0,0.010725766,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.990032,nan,0.4800894,nan,25,1153,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644081000,1777225643929000,2225397039105,0.0011579599,0.00293619,0.0009119535,0,0.010930304,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.990032,nan,0.4800894,nan,25,1153,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644097000,1777225643945000,2225397039105,0.0010886273,0.0028746098,0.0009134186,0,0.011417255,4.4721365,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.990032,nan,0.4800894,nan,25,1153,2,1,2,1,0,1,0,0,0,0,0,0,0
1777225644105000,1777225643953000,2225397039105,0.0010546971,0.0028413301,0.00091411395,0,0.011676834,4.472137,nan,nan,nan,nan,nan,nan,nan,0.004,1310988,1310988,6620172,197388,63.437912,nan,0.47956353,nan,25,1153,2,1,2,1,0,1,0,0,0,0,0,0,0
