timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
1777227097937000,0.0050249863,0.014097764,0.007769884,4000,0,-0.03232173,-0.004788232,-9.836578,4000,0,0,0,1
1777227097941000,0.0002313091,0.005575656,0.0048403856,4000,0,-0.043095633,-0.040701255,-9.825806,4000,0,0,0,1
1777227097949000,-0.0003013306,-0.0024138193,-0.0044806898,4000,0,-0.047884032,0.0323219,-9.781511,4000,0,0,0,1
1777227097961000,0.003427094,-0.0016148749,0.0011119543,4000,0,0.011971008,0.027533494,-9.806652,4000,0,0,0,1
1777227097965000,0.0026281464,0.001314603,0.0024435322,4000,0,-0.010773908,0.01197118,-9.824609,4000,0,0,0,1
1777227097969000,0.007421834,0.0074398792,0.0021772159,4000,0,-0.056263745,-0.017956343,-9.835382,4000,0,0,0,1
1777227097973000,0.011949222,0.005309343,0.0051066764,4000,0,-0.047884032,-0.05386937,-9.806652,4000,0,0,0,1
1777227097977000,0.012215539,0.00078196544,0.0069708875,4000,0,-0.023942016,-0.04668677,-9.777922,4000,0,0,0,1
1777227097981000,0.008487098,0.0021135649,0.0016445876,4000,0,-0.009576809,-0.01316794,-9.77313,4000,0,0,0,1
1777227097989000,0.0020955156,-1.6977754e-05,0.0008456333,4000,0,0.009576809,0.05865812,-9.800665,4000,0,0,0,1
1777227097993000,0.0063565737,0.00078197016,0.0059056403,4000,0,-0.011971009,0.0395045,-9.827001,4000,0,0,0,1
1777227097997000,0.0130144805,-0.0010822286,0.0056393184,4000,0,-0.039504327,-0.019153446,-9.846155,4000,0,0,0,1
1777227098001000,0.01780817,-0.0005495842,0.0016445856,4000,0,-0.05985505,-0.038307063,-9.818621,4000,0,0,0,1
1777227098005000,0.010085,-0.0021475188,0.003508784,4000,0,-0.031124622,-0.038307063,-9.805454,4000,0,0,0,1
1777227098009000,-0.0016329124,0.00024933,0.0029761614,4000,0,0.0023942022,-0.07182589,-9.815032,4000,0,0,0,1
1777227098013000,0.0023618243,0.00903777,-0.003948065,4000,0,0.016759414,-0.08020559,-9.800665,4000,0,0,0,1
1777227098017000,0.008220777,0.007706185,-0.0063449205,4000,0,0.016759414,-0.039504156,-9.797075,4000,0,0,0,1
1777227098021000,0.0020955047,-0.0032127697,-0.00075227494,4000,0,0.010773908,-0.023941847,-9.810242,4000,0,0,0,1
1777227098025000,-0.005095027,-0.009870672,0.0029761514,4000,0,-0.0023942024,-0.01556214,-9.812637,4000,0,0,0,1
1777227098029000,-0.0064265938,-0.010136995,0.00084562926,4000,0,-0.019153617,0.0035914741,-9.821015,4000,0,0,0,1
1777227098033000,-0.0018992424,-0.005076972,0.00537301,4000,0,0.00957681,0.009576979,-9.79827,4000,0,0,0,1
