timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
1777227097541000,4.6780842259039e-310,6.90466926793133e-310,1.642e-42,1.0,-5.7395644e-11,3.0892e-41,-5.1127057e-11,211,1172,0,0,0,0,0
1777227118061000,0.0,0.0,1.0,4.0,4.0,0.0,0.0,176,0,1,1,255,0,1
1777227118149000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,0,1,1,255,0,1
1777227154033000,0.0,0.0,1.0,4.0,3.0,0.0,0.0,176,0,1,1,255,0,1
1777227154049000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,0,1,0,0
1777227154317000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777227154317000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777227154317000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777227178365000,0.0,0.0,157.0,4.0,6.0,0.0,0.0,176,190,1,0,255,1,1
1777227178637000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
1777227178637000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
1777227178637000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
