timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
1777227097749000,1777227097597000,1777227097597000,0,2.4089218e-07,100.0,-0.022162056,-0.0069611506,150.00003,3.638197e-07,-1.0742804e-07,0,0,1
1777227097957000,1777227097805000,1777227097805000,0,2.4089218e-07,100.0,-0.011257713,-0.008223417,133.33334,1.056134e-07,-1.0689493e-07,0,0,1
1777227098165000,1777227098013000,1777227098013000,0,2.4089218e-07,100.0,-0.0016153089,-0.006282052,125.00001,2.319309e-09,-7.617215e-08,0,0,1
