timestamp,speed_up,speed_down,want_takeoff
1777227098901000,3.0,1.5,0
1777227099885000,3.0,1.5,0
1777227100885000,3.0,1.5,0
1777227101885000,3.0,1.5,0
1777227102901000,3.0,1.5,0
1777227103885000,3.0,1.5,0
1777227104901000,3.0,1.5,0
1777227105885000,3.0,1.5,0
1777227106885000,3.0,1.5,0
1777227107885000,3.6000001,1.8000001,0
1777227108901000,3.6000001,1.8000001,0
1777227109885000,3.6000001,1.8000001,0
1777227110901000,3.6000001,1.8000001,0
1777227111901000,3.6000001,1.8000001,0
1777227112885000,3.6000001,1.8000001,0
1777227113885000,3.6000001,1.8000001,0
1777227114885000,3.6000001,1.8000001,0
1777227115885000,3.6000001,1.8000001,0
1777227116885000,3.6000001,1.8000001,0
1777227117885000,3.6000001,1.8000001,0
1777227118885000,3.6000001,1.8000001,1
1777227119885000,3.6000001,1.8000001,1
1777227120885000,3.6000001,1.8000001,1
1777227121885000,3.6000001,1.8000001,1
1777227122885000,3.6000001,1.8000001,1
1777227123885000,3.6000001,1.8000001,1
1777227124885000,3.6000001,1.8000001,1
1777227125885000,3.6000001,1.8000001,1
1777227126885000,3.6000001,1.8000001,1
1777227127885000,3.6000001,1.8000001,1
1777227128901000,3.6000001,1.8000001,1
1777227129885000,3.6000001,1.8000001,1
1777227130901000,3.6000001,1.8000001,1
1777227131885000,3.6000001,1.8000001,1
1777227132885000,3.6000001,1.8000001,1
1777227133885000,3.6000001,1.8000001,0
1777227134885000,3.6000001,1.8000001,0
1777227135885000,3.6000001,1.8000001,0
1777227136901000,3.6000001,1.8000001,0
1777227137885000,3.6000001,1.8000001,0
1777227138885000,3.6000001,1.8000001,0
1777227139885000,3.6000001,1.8000001,0
1777227140885000,3.6000001,1.8000001,0
1777227141885000,3.6000001,1.8000001,0
1777227142885000,3.6000001,1.8000001,0
1777227143885000,3.6000001,1.8000001,0
1777227144885000,3.6000001,1.8000001,0
1777227145885000,3.6000001,1.8000001,0
1777227146885000,3.6000001,1.8000001,0
1777227147885000,3.6000001,1.8000001,0
1777227148885000,3.6000001,1.8000001,0
1777227149885000,3.6000001,1.8000001,0
1777227150885000,3.6000001,1.8000001,0
1777227151885000,3.6000001,1.8000001,0
1777227152885000,3.6000001,1.8000001,0
1777227153885000,3.6000001,1.8000001,0
1777227154885000,3.6000001,1.8000001,0
1777227155901000,3.6000001,1.8000001,0
1777227156885000,3.6000001,1.8000001,0
1777227157901000,3.6000001,1.8000001,0
1777227158885000,3.6000001,1.8000001,0
1777227159885000,3.6000001,1.8000001,0
1777227160901000,3.6000001,1.8000001,0
1777227161885000,3.6000001,1.8000001,0
1777227162885000,3.6000001,1.8000001,0
1777227163885000,3.6000001,1.8000001,0
1777227164901000,3.6000001,1.8000001,0
1777227165901000,3.6000001,1.8000001,0
1777227166885000,3.6000001,1.8000001,0
1777227167885000,3.6000001,1.8000001,0
1777227168885000,3.6000001,1.8000001,0
1777227169885000,3.6000001,1.8000001,0
1777227170885000,3.6000001,1.8000001,0
1777227171885000,3.6000001,1.8000001,0
1777227172885000,3.6000001,1.8000001,0
1777227173885000,3.6000001,1.8000001,0
1777227174901000,3.6000001,1.8000001,0
1777227175885000,3.6000001,1.8000001,0
1777227176885000,3.6000001,1.8000001,0
1777227177901000,3.6000001,1.8000001,0
1777227178885000,3.6000001,1.8000001,0
1777227179885000,3.6000001,1.8000001,0
1777227180885000,3.6000001,1.8000001,0
1777227181885000,3.6000001,1.8000001,0
1777227182885000,3.6000001,1.8000001,0
1777227183901000,3.6000001,1.8000001,0
1777227184885000,3.6000001,1.8000001,0
1777227185885000,3.6000001,1.8000001,0
1777227186901000,3.6000001,1.8000001,0
1777227187885000,3.6000001,1.8000001,0
1777227188885000,3.6000001,1.8000001,0
1777227189885000,3.6000001,1.8000001,0
1777227190885000,3.6000001,1.8000001,0
1777227191885000,3.6000001,1.8000001,0
1777227192885000,3.6000001,1.8000001,0
1777227193901000,3.6000001,1.8000001,0
1777227194885000,3.6000001,1.8000001,0
1777227195901000,3.6000001,1.8000001,0
1777227196885000,3.6000001,1.8000001,0
1777227197885000,3.6000001,1.8000001,0
1777227198885000,3.6000001,1.8000001,0
1777227199885000,3.6000001,1.8000001,0
