timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
1777227098093000,1777227097941000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.0004842,1.000484,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098109000,1777227097957000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.0004846,1.0004843,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098117000,1777227097965000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000008,1.0004847,1.0004846,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098125000,1777227097973000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000008,1.0004845,1.0004843,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098133000,1777227097981000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000008,1.0004847,1.0004845,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098149000,1777227097997000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000008,1.0004852,1.000485,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098157000,1777227098005000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000008,1.0004853,1.0004852,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098165000,1777227098013000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000008,1.0004855,1.0004854,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098173000,1777227098021000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000008,1.0004835,1.0004833,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098189000,1777227098037000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.000484,1.0004839,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098197000,1777227098045000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.0004843,1.0004841,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098205000,1777227098053000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.250008,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.0004846,1.0004843,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098213000,1777227098061000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.0004848,1.0004847,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098229000,1777227098077000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.0004854,1.0004853,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098237000,1777227098085000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.0004858,1.0004855,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098245000,1777227098093000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075000003,1.000486,1.0004859,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098253000,1777227098101000,0.090933345,0.09093304,0.20311287,100.00005,100.00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075,1.0004864,1.0004863,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098269000,1777227098117000,0.090933345,0.09093304,0.20311287,100.00005,100.00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075,1.0004871,1.0004869,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098277000,1777227098125000,0.090933345,0.09093304,0.20311287,100.00005,100.00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075,1.0004874,1.0004872,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098285000,1777227098133000,0.090933345,0.09093304,0.20311287,100.00005,100.00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075,1.0004833,1.000483,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098293000,1777227098141000,0.090933345,0.09093304,0.20311287,100.00005,100.00005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075,1.0004835,1.0004833,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098309000,1777227098157000,0.09119788,0.09119753,0.20326473,100.00007,100.00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075,1.000484,1.0004838,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098317000,1777227098165000,0.09119788,0.09119753,0.20326473,100.00007,100.00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250015,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000003,0.0075,1.0004842,1.000484,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098325000,1777227098173000,0.09119788,0.09119753,0.20326473,100.00007,100.00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250015,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000008,0.0075000008,1.0004845,1.0004842,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098333000,1777227098181000,0.09119788,0.09119753,0.20326473,100.00007,100.00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250015,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000008,0.0075000008,1.000483,1.0004829,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098349000,1777227098197000,0.09119788,0.09119753,0.20326473,100.00007,100.00007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250015,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000008,0.0075000008,1.0004836,1.0004834,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098357000,1777227098205000,0.09142545,0.09142503,0.20338917,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250015,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000008,0.0075000008,1.0004839,1.0004838,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098365000,1777227098213000,0.09142545,0.09142503,0.20338917,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.250015,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000008,0.0075000008,1.0004842,1.000484,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098373000,1777227098221000,0.09142545,0.09142503,0.20338917,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25004,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000008,0.0075000008,1.0004845,1.0004843,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098389000,1777227098237000,0.09142545,0.09142503,0.20338917,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25004,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075,1.0004693,1.0004692,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098397000,1777227098245000,0.09142545,0.09142503,0.20338917,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25004,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075,1.0004696,1.0004694,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098405000,1777227098253000,0.09142545,0.09142503,0.20338917,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25004,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075,1.0004698,1.0004697,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098413000,1777227098261000,0.0912514,0.091251165,0.2035658,100.00006,100.00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25004,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075,1.0004702,1.00047,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098429000,1777227098277000,0.0912514,0.091251165,0.2035658,100.00006,100.00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25006,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075,1.0004706,1.0004705,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098437000,1777227098285000,0.0912514,0.091251165,0.2035658,100.00006,100.00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25006,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075,1.000471,1.0004709,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098445000,1777227098293000,0.0912514,0.091251165,0.2035658,100.00006,100.00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25006,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075,1.0004714,1.0004712,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098453000,1777227098301000,0.0912514,0.091251165,0.2035658,100.00006,100.00006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25006,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000008,0.0075,1.0004716,1.0004715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098469000,1777227098317000,0.091507085,0.091506794,0.20372875,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25006,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.0075000003,1.0004723,1.0004722,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098477000,1777227098325000,0.091507085,0.091506794,0.20372875,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.846924,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.0075000003,1.0004727,1.0004725,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098485000,1777227098333000,0.091507085,0.091506794,0.20372875,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.846924,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.0075000003,1.0004686,1.0004686,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098493000,1777227098341000,0.091507085,0.091506794,0.20372875,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.846924,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.0075000003,1.000469,1.0004689,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098509000,1777227098357000,0.091507085,0.091506794,0.20372875,100.00009,100.00009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.846924,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.0075000003,1.0004694,1.0004693,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098517000,1777227098365000,0.09180399,0.091803655,0.20393224,100.00013,100.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.846924,0.0,0.0,0.0,0.0,0.0,0.0075000008,0.0075000003,0.0075000003,1.0004697,1.0004696,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098525000,1777227098373000,0.09180399,0.091803655,0.20393224,100.00013,100.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.939018,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000008,0.0075000008,1.0004699,1.0004698,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1777227098533000,1777227098381000,0.09180399,0.091803655,0.20393224,100.00013,100.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.939018,0.0,0.0,0.0,0.0,0.0,0.0075000003,0.0075000008,0.0075000008,1.0004702,1.00047,1.0,0.0,0.0,0.0,0.0,0.0,0.0
