timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1777227099389000,0,0,0,1,255
1777227101405000,0,0,0,1,255
1777227103421000,0,0,0,1,255
1777227105437000,0,0,0,1,255
1777227107453000,0,0,0,1,255
1777227109469000,0,0,0,1,255
1777227111485000,0,0,0,1,255
1777227113501000,0,0,0,1,255
1777227115517000,0,0,0,1,255
1777227117533000,0,0,0,1,255
1777227119565000,0,0,0,1,255
1777227121581000,0,0,0,1,255
1777227123597000,0,0,0,1,255
1777227125613000,0,0,0,1,255
1777227127629000,0,0,0,1,255
1777227129645000,0,0,0,1,255
1777227131661000,0,0,0,1,255
1777227133677000,0,0,0,1,255
1777227135693000,0,0,0,1,255
1777227137709000,0,0,0,1,255
1777227139725000,0,0,0,1,255
1777227141741000,0,0,0,1,255
1777227143757000,0,0,0,1,255
1777227145773000,0,0,0,1,255
1777227147789000,0,0,0,1,255
1777227149805000,0,0,0,1,255
1777227151821000,0,0,0,1,255
1777227153837000,0,0,0,1,255
1777227155885000,0,0,0,1,255
1777227157901000,0,0,0,1,255
1777227159917000,0,0,0,1,255
1777227161933000,0,0,0,1,255
1777227163949000,0,0,0,1,255
1777227165965000,0,0,0,1,255
1777227167981000,0,0,0,1,255
1777227169997000,0,0,0,1,255
1777227172013000,0,0,0,1,255
1777227174029000,0,0,0,1,255
1777227176045000,0,0,0,1,255
1777227178061000,0,0,0,1,255
1777227180117000,0,0,0,1,255
1777227182133000,0,0,0,1,255
1777227184149000,0,0,0,1,255
1777227186157000,0,0,0,1,255
1777227188173000,0,0,0,1,255
1777227190189000,0,0,0,1,255
1777227192205000,0,0,0,1,255
1777227194221000,0,0,0,1,255
1777227196237000,0,0,0,1,255
1777227198253000,0,0,0,1,255
