timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1777225797569000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225798073000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225798581000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225799085000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225799589000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225800093000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225800597000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225801101000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225801605000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225802109000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225802613000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225803117000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225803621000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225804125000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225804629000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225805133000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225805637000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225806141000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225806645000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225807149000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225807653000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225808157000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225808661000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225809165000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225809669000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225810173000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225810677000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225811181000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225811685000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225812189000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225812693000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225813197000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225813701000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225814205000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225814709000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225815213000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225815717000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225816221000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225816725000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225817229000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225817733000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225818237000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225818741000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225819245000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225819749000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225820253000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225820757000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1777225821261000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
