timestamp,control_power[0],control_power[1],control_power[2]
1777225797525000,4.1083235e-06,4.748387e-06,1.9491723e-07
1777225798025000,5.085396e-06,3.9944543e-06,1.1056275e-07
1777225798525000,3.3809035e-06,4.7434955e-06,8.619867e-08
1777225799025000,4.062635e-06,4.7186695e-06,1.8104848e-07
1777225799525000,5.283982e-06,4.46759e-06,1.8061967e-07
1777225800025000,3.6393722e-06,5.451792e-06,8.773288e-08
1777225800525000,3.1236334e-06,1.1379233e-05,5.5160175e-08
1777225801025000,6.0644434e-06,2.2563745e-05,1.12152726e-07
1777225801525000,5.7756165e-06,1.905348e-05,7.12299e-08
1777225802025000,5.488516e-06,7.561565e-06,1.0813923e-07
1777225802525000,8.283114e-06,4.6715923e-06,5.819407e-08
1777225803025000,5.426107e-06,8.0565005e-06,1.02339214e-07
1777225803525000,6.000217e-06,3.4927243e-06,1.1568853e-07
1777225804025000,5.554743e-06,4.3185964e-06,6.719533e-08
1777225804525000,3.6784395e-06,6.113137e-06,8.7573746e-08
1777225805025000,7.450799e-06,8.046222e-06,3.5080276e-08
1777225805525000,6.7582573e-06,9.271299e-06,2.0695029e-07
1777225806025000,4.4867024e-06,8.105578e-06,2.5214558e-07
1777225806525000,5.3666495e-06,7.4159634e-06,1.4605752e-07
1777225807025000,3.4648092e-06,5.2206374e-06,3.2597214e-07
1777225807525000,5.8885666e-06,1.3391202e-05,5.4378484e-07
1777225808025000,6.2212457e-06,7.774374e-06,1.0546432e-07
1777225808525000,4.6918e-06,6.546949e-06,1.0039369e-07
1777225809025000,3.5384166e-06,6.7548995e-06,9.268099e-08
1777225809525000,5.4585284e-06,1.3186035e-05,9.663144e-08
1777225810025000,5.03591e-06,6.588312e-06,2.1177867e-07
1777225810525000,6.342926e-06,6.0851785e-06,3.2013045e-07
1777225811025000,4.3370496e-06,6.4947935e-06,4.1597693e-07
1777225811525000,5.5866935e-06,8.825826e-06,9.854122e-08
1777225812025000,8.815942e-06,7.1381887e-06,1.1520978e-07
1777225812525000,3.5800515e-06,1.1438477e-05,5.312095e-08
1777225813025000,5.130686e-06,1.3023878e-05,1.5663903e-07
1777225813525000,8.793132e-06,3.0461e-05,5.0783892e-05
1777225814025000,8.801903e-06,3.0034582e-05,4.7146652e-05
1777225814525000,4.2299994e-06,2.1806012e-05,4.4363046e-06
1777225815025000,5.839084e-06,2.0305912e-05,2.434448e-06
1777225815525000,5.4737066e-06,1.9359024e-05,7.128375e-07
1777225816025000,4.4134554e-06,3.3764998e-05,1.8174856e-07
1777225816525000,4.418041e-06,2.6146035e-05,7.5517626e-08
1777225817025000,4.586881e-06,1.9481437e-05,2.0203473e-07
1777225817525000,4.9228415e-06,1.7016484e-05,2.0133506e-07
1777225818025000,8.054697e-06,2.9152827e-05,1.7633286e-07
1777225818525000,4.7664416e-06,1.7935648e-05,1.4686248e-07
1777225819025000,5.309429e-06,2.0790005e-05,9.4192416e-08
1777225819525000,6.3670573e-06,2.653487e-05,9.089009e-08
