timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
1777225798633000,0,0,0,1,255
1777225800649000,0,0,0,1,255
1777225802665000,0,0,0,1,255
1777225804681000,0,0,0,1,255
1777225806697000,0,0,0,1,255
1777225808713000,0,0,0,1,255
1777225810729000,0,0,0,1,255
1777225812745000,0,0,0,1,255
1777225814761000,0,0,0,1,255
1777225816777000,0,0,0,1,255
1777225818793000,0,0,0,1,255
1777225820809000,0,0,0,1,255
1777225822825000,0,0,0,1,255
1777225824841000,0,0,0,1,255
1777225826857000,0,0,0,1,255
1777225828873000,0,0,0,1,255
1777225830889000,0,0,0,1,255
1777225832913000,0,0,0,1,255
1777225834929000,0,0,0,1,255
1777225836937000,0,0,0,1,255
1777225838953000,0,0,0,1,255
1777225841009000,0,0,0,1,255
1777225843025000,0,0,0,1,255
1777225845041000,0,0,0,1,255
1777225847057000,0,0,0,1,255
1777225849073000,0,0,0,1,255
1777225851089000,0,0,0,1,255
1777225853105000,0,0,0,1,255
1777225855121000,0,0,0,1,255
1777225857161000,0,0,0,1,255
1777225859201000,0,0,0,1,255
1777225860269000,0,0,0,1,255
1777225933849000,0,0,0,1,255
