timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4],yaw_composite_valid
1777225797689000,1777225797537000,-0.0059160795,0.005584351,-0.037783317,-0.01055359,-0.0058609406,-0.0012391236,0.025020922,0.00085476326,0.00082008995,0.0008140546,0.00080808986,0.00077387993,0.0012618635,0.0012846675,0.0012885024,0.0012922504,0.0013130232,6.9898456e-06,0.003235061,0.99412525,0.0026296524,3.0616939e-06,1
1777225797697000,1777225797545000,-0.0059160795,0.005584351,-0.03772374,-0.01049401,-0.005801362,-0.0011795451,0.025080496,0.00085476326,0.00082008995,0.0008140546,0.00080808986,0.00077387993,0.0012618635,0.0012846675,0.0012885024,0.0012922504,0.0013130232,6.9898456e-06,0.003235061,0.99412525,0.0026296524,3.0616939e-06,1
1777225797705000,1777225797553000,-0.0059160795,0.005584351,-0.03766628,-0.010436552,-0.0057439045,-0.0011220862,0.025137963,0.00085476326,0.00082008995,0.0008140546,0.00080808986,0.00077387993,0.0012618635,0.0012846675,0.0012885024,0.0012922504,0.0013130232,6.9898456e-06,0.003235061,0.99412525,0.0026296524,3.0616939e-06,1
1777225797713000,1777225797561000,-0.0057322024,0.0055881874,-0.03765143,-0.010421694,-0.0057290467,-0.0011072286,0.025152817,0.00036000804,0.00032903877,0.00032367848,0.0003183894,0.00028821587,0.0011325529,0.0011419344,0.0011434664,0.0011449496,0.0011529152,6.9898447e-06,0.0032350607,0.9941252,0.0026296522,3.0616936e-06,1
1777225797721000,1777225797569000,-0.0057322024,0.0055881874,-0.03766526,-0.010435529,-0.005742883,-0.0011210652,0.02513898,0.00036000804,0.00032903877,0.00032367848,0.0003183894,0.00028821587,0.0011325529,0.0011419344,0.0011434664,0.0011449496,0.0011529152,6.9898447e-06,0.0032350607,0.9941252,0.0026296522,3.0616936e-06,1
1777225797729000,1777225797577000,-0.0057322024,0.0055881874,-0.03777506,-0.010545312,-0.0058526676,-0.001230849,0.0250292,0.00036000804,0.00032903877,0.00032367848,0.0003183894,0.00028821587,0.0011325529,0.0011419344,0.0011434664,0.0011449496,0.0011529152,6.9898447e-06,0.0032350607,0.9941252,0.0026296522,3.0616936e-06,1
1777225797737000,1777225797585000,-0.0057322024,0.0055881874,-0.037741028,-0.010511287,-0.0058186417,-0.0011968226,0.025063224,0.00036000804,0.00032903877,0.00032367848,0.0003183894,0.00028821587,0.0011325529,0.0011419344,0.0011434664,0.0011449496,0.0011529152,6.9898447e-06,0.0032350607,0.9941252,0.0026296522,3.0616936e-06,1
1777225797745000,1777225797593000,-0.0057322024,0.0055881874,-0.037773054,-0.0105433045,-0.0058506588,-0.00122884,0.025031207,0.00036000804,0.00032903877,0.00032367848,0.0003183894,0.00028821587,0.0011325529,0.0011419344,0.0011434664,0.0011449496,0.0011529152,6.9898447e-06,0.0032350607,0.9941252,0.0026296522,3.0616936e-06,1
1777225797753000,1777225797601000,-0.0057322024,0.0055881874,-0.037717763,-0.010488018,-0.0057953736,-0.0011735552,0.025086498,0.00036000804,0.00032903877,0.00032367848,0.0003183894,0.00028821587,0.0011325529,0.0011419344,0.0011434664,0.0011449496,0.0011529152,6.9898447e-06,0.0032350607,0.9941252,0.0026296522,3.0616936e-06,1
1777225797761000,1777225797609000,-0.0057322024,0.0055881874,-0.03767951,-0.010449762,-0.005757117,-0.0011352986,0.025124755,0.00036000804,0.00032903877,0.00032367848,0.0003183894,0.00028821587,0.0011325529,0.0011419344,0.0011434664,0.0011449496,0.0011529152,6.9898447e-06,0.0032350607,0.9941252,0.0026296522,3.0616936e-06,1
